Nation,Position,Squad,Age_x,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG.1,MarketValue,Player,ID,Name,Age_y,Overall rating,Potential,Height,Weight,foot,Best overall,Best position,Growth,Value,Wage,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Total defending,Defensive awareness,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Weak foot,Attacking work rate,Defensive work rate,International reputation,Source_League
be BEL,"MF,FW",Oostende,21,2000,8,3,323,3.6,1,0,1,1,0,0,0,0,0.28,0.0,0.28,0.28,0.28,,,,,,,,,,,,,450000.0,Alessandro Albanese,2206,A. Albanese,21,66,74,174,70,Right,68,FW,8,1900000,3000,264,58,58,32,63,53,342,72,69,66,65,70,377,80,75,82,55,85,323,68,71,64,52,68,284,60,49,56,64,55,143,40,54,49,57,13,9,10,14,11,4,High,High,1,BelgianProLeague
be BEL,FW,OH Leuven,20,2001,4,2,128,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,150000.0,Arthur Allemeersch,3435,A. Allemeersch,19,58,69,183,73,Right,60,FW,11,450000,2000,267,38,64,62,43,60,233,57,48,38,32,58,290,62,65,54,50,59,280,61,64,51,61,43,203,21,24,54,47,57,46,12,16,18,56,15,7,12,11,11,3,Medium,Medium,1,BelgianProLeague
be BEL,"MF,FW",Anderlecht,21,1999,31,8,"1,142",12.7,5,3,8,5,0,0,6,0,0.39,0.24,0.63,0.39,0.63,,,,,,,,,,,,,5500000.0,Francis Amuzu,1549,F. Amuzu,21,71,78,170,66,Right,72,FW,7,3800000,11000,286,63,62,32,68,61,335,73,63,62,66,71,421,91,88,93,63,86,344,68,90,73,53,60,260,51,23,66,62,58,115,28,41,46,57,10,13,10,12,12,5,High,Medium,1,BelgianProLeague
gm GAM,FW,Kortrijk,22,1998,22,14,"1,199",13.3,1,1,2,1,0,0,4,0,0.08,0.08,0.15,0.08,0.15,,,,,,,,,,,,,400000.0,Muhammed Badamosi,2567,M. Badamosi,23,64,70,198,85,Right,66,FW,6,925000,3000,305,38,63,70,67,67,227,57,38,34,31,67,276,53,55,63,61,44,306,68,58,52,81,47,247,51,23,64,48,61,68,18,28,22,54,13,6,13,13,9,2,Medium,Medium,1,BelgianProLeague
sn SEN,FW,Charleroi,19,2001,9,5,547,6.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2000000.0,Youssouph Badji,2015,Y. Badji,19,67,78,192,80,Right,69,FW,11,2200000,6000,301,46,66,70,61,58,244,67,36,38,36,67,322,68,76,62,63,53,336,74,67,68,76,51,276,63,28,62,60,63,65,26,21,18,48,5,12,7,12,12,3,High,Medium,1,BelgianProLeague
be BEL,"FW,MF",Antwerp,20,2001,26,20,"1,755",19.5,4,3,7,4,0,0,3,0,0.21,0.15,0.36,0.21,0.36,,,,,,,,,,,,,4000000.0,Michel-Ange Balikwisha,1490,M. Balikwisha,20,72,83,178,69,Right,75,FW,11,5000000,13000,311,69,66,42,72,62,296,74,58,22,68,74,405,87,84,84,66,84,342,71,81,77,47,66,290,67,34,63,71,55,82,17,37,28,49,14,6,6,13,10,5,High,High,1,BelgianProLeague
,FW,Sint-Truiden,22,1999,10,1,240,2.7,1,0,1,1,0,0,0,0,0.37,0.0,0.37,0.37,0.37,,,,,,,,,,,,,150000.0,Nelson Balongo,3058,N. Balongo,22,61,68,187,75,Right,63,FW,7,675000,2000,280,43,65,61,58,53,227,61,41,31,30,64,340,77,78,69,53,63,283,58,73,33,66,53,209,29,19,55,49,57,58,20,20,18,51,11,7,12,11,10,3,Medium,Medium,1,BelgianProLeague
de GER,"MF,FW",Oostende,21,2000,30,20,"1,925",21.4,2,4,6,2,0,0,4,0,0.09,0.19,0.28,0.09,0.28,,,,,,,,,,,,,1500000.0,Nick Bätzner,1752,N. Bätzner,21,69,78,175,63,Right,71,FW,9,3100000,5000,288,66,56,37,76,53,344,72,67,56,75,74,362,76,68,79,58,81,306,57,63,70,54,62,264,41,46,53,70,54,149,55,54,40,43,9,8,12,7,7,4,Medium,Medium,1,BelgianProLeague
be BEL,"MF,FW",R.F.C. Seraing,23,1997,29,23,"1,869",20.8,1,2,3,1,0,0,3,0,0.05,0.1,0.14,0.05,0.14,,,,,,,,,,,,,600000.0,Antoine Bernier,2216,A. Bernier,23,66,71,170,68,Right,67,FW,5,1300000,4000,278,61,60,49,61,47,319,72,64,63,56,64,388,85,80,82,60,81,333,63,80,71,58,61,228,32,26,60,55,55,79,24,29,26,46,11,6,8,11,10,3,High,Medium,1,BelgianProLeague
ge GEO,"MF,FW",Gent,21,1999,8,4,286,3.2,0,2,2,0,0,0,0,1,0.0,0.63,0.63,0.0,0.63,,,,,,,,,,,,,2000000.0,Giorgi Chakvetadze,1802,G. Chakvetadze,21,69,75,183,78,Right,71,FW,6,2200000,8000,305,69,62,39,71,64,348,73,76,59,67,73,347,72,70,74,60,71,310,75,71,34,63,67,263,38,30,67,70,58,102,29,41,32,52,10,8,13,8,13,3,Medium,Medium,1,BelgianProLeague
