Nation,Position,Squad,Age_x,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG.1,MarketValue,Player,ID,Name,Age_y,Overall rating,Potential,Height,Weight,foot,Best overall,Best position,Growth,Value,Wage,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Total defending,Defensive awareness,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Weak foot,Attacking work rate,Defensive work rate,International reputation,Source_League
be BEL,"FW,MF",Cercle Brugge,20,2000,9,8,576,6.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,600000.0,Olivier Deman,2556,O. Deman,20,64,74,181,70,Left,66,FW,10,1300000,2000,299,56,59,57,65,62,291,68,58,48,48,69,340,74,72,74,52,68,324,73,70,64,60,57,232,37,26,66,58,45,81,29,25,27,53,10,15,5,10,13,3,Medium,Medium,1,BelgianProLeague
tg TOG,FW,Cercle Brugge,19,2000,13,1,201,2.2,2,0,2,2,0,0,0,0,0.9,0.0,0.9,0.9,0.9,,,,,,,,,,,,,2200000.0,Kévin Denkey,2028,K. Denkey,19,67,76,181,81,Right,69,FW,9,2200000,3000,272,30,69,57,55,61,252,68,45,38,31,70,330,72,72,59,65,62,336,72,63,62,74,65,240,37,18,70,47,68,57,33,12,12,46,5,14,13,7,7,2,Medium,Medium,1,BelgianProLeague
ng NGA,"FW,MF",Club Brugge,22,1997,9,6,432,4.8,0,2,2,0,0,0,2,0,0.0,0.42,0.42,0.0,0.42,,,,,,,,,,,,,5000000.0,Emmanuel Dennis,310,E. Dennis,22,74,79,175,66,Right,76,FW,5,6500000,21000,344,67,73,74,64,66,311,76,62,41,58,74,429,93,92,88,77,79,374,78,94,71,63,68,260,68,13,69,54,56,110,38,45,27,55,13,7,11,11,13,3,Medium,Low,1,BelgianProLeague
sn SEN,"FW,MF",Club Brugge,21,1999,19,17,"1,498",16.6,9,2,11,9,0,0,0,0,0.54,0.12,0.66,0.54,0.66,,,,,,,,,,,,,18000000.0,Krépin Diatta,147,K. Diatta,21,77,85,175,69,Right,78,FW,8,23500000,35000,338,68,71,62,69,68,331,83,62,42,66,78,427,92,95,91,72,77,393,78,94,88,60,73,301,57,48,68,69,59,137,55,32,50,52,10,8,11,11,12,4,High,Medium,1,BelgianProLeague
be BEL,FW,Anderlecht,22,1997,14,4,373,4.1,2,1,3,1,1,1,2,0,0.48,0.24,0.72,0.24,0.48,,,,,,,,,,,,,3000000.0,Landry Dimata,1506,L. Dimata,22,73,79,185,81,Right,75,FW,6,4900000,18000,353,63,73,76,71,70,282,70,43,42,58,69,348,73,75,71,64,65,359,79,75,63,80,62,307,73,16,73,66,79,91,27,34,30,54,12,15,12,5,10,3,High,High,1,BelgianProLeague
be BEL,"MF,FW",Anderlecht,18,2002,7,7,605,6.7,2,3,5,2,0,0,1,0,0.3,0.45,0.74,0.3,0.74,,,,,,,,,,,,,22000000.0,Jeremy Doku,303,J. Doku,18,74,86,171,60,Right,74,FW,12,10000000,16000,284,63,63,37,67,54,312,85,60,44,48,75,435,94,90,95,68,88,341,73,75,69,65,59,253,58,18,65,61,51,75,22,28,25,50,11,10,8,9,12,3,High,Medium,1,BelgianProLeague
nl NED,FW,Mechelen,22,1998,14,5,528,5.9,3,0,3,2,1,1,2,0,0.51,0.0,0.51,0.34,0.34,,,,,,,,,,,,,2000000.0,Ferdy Druijf,2037,F. Druijf,22,67,73,190,83,Right,69,FW,6,1700000,4000,304,36,75,72,56,65,257,59,58,33,43,64,272,52,55,54,62,49,344,70,61,68,81,64,266,52,24,66,57,67,85,37,25,23,43,9,8,9,7,10,3,Medium,Medium,1,BelgianProLeague
us USA,"FW,MF",Waasland-Bev,23,1996,26,12,"1,175",13.1,2,4,6,2,0,0,1,0,0.15,0.31,0.46,0.15,0.46,,,,,,,,,,,,,500000.0,Joe Efford,2221,J. Efford,23,66,70,176,72,Right,69,FW,4,1200000,3000,304,56,66,53,67,62,304,64,63,58,56,63,380,78,82,74,70,76,366,68,79,87,69,63,269,52,24,68,61,64,73,23,24,26,42,10,5,9,8,10,4,High,High,1,BelgianProLeague
ma MAR,"MF,FW",Excel Mouscron,21,1999,27,11,"1,140",12.7,1,3,4,1,0,0,0,0,0.08,0.24,0.32,0.08,0.32,,,,,,,,,,,,,500000.0,Imad Faraj,2390,I. Faraj,21,65,72,177,64,Right,66,FW,7,1500000,2000,272,59,58,39,64,52,309,70,62,53,56,68,350,67,68,74,63,78,245,63,46,51,30,55,241,41,19,63,61,57,84,27,30,27,43,6,5,13,7,12,3,Medium,Medium,1,BelgianProLeague
ml MLI,"FW,MF",Cercle Brugge,23,1996,2,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1300000.0,Alimani Gory,2106,A. Gory,23,67,73,182,72,Right,69,FW,6,1600000,5000,300,59,65,66,59,51,286,71,53,44,48,70,378,80,90,82,57,69,318,65,73,59,70,51,229,28,11,69,54,67,53,22,18,13,39,7,8,11,8,5,3,Medium,Medium,1,BelgianProLeague
sn SEN,FW,Oostende,22,1997,31,27,"2,192",24.4,12,2,14,7,5,5,6,1,0.49,0.08,0.57,0.29,0.37,,,,,,,,,,,,,2000000.0,Makhtar Gueye,1685,M. Gueye,22,70,75,195,91,Right,72,FW,5,2500000,7000,323,54,73,72,58,66,267,63,47,38,54,65,267,55,70,47,64,31,360,78,57,68,89,68,304,72,25,70,55,82,71,26,24,21,51,14,10,15,5,7,2,High,Low,1,BelgianProLeague
be BEL,"MF,FW",Anderlecht,18,2002,22,16,"1,406",15.6,3,0,3,3,0,0,2,0,0.19,0.0,0.19,0.19,0.19,,,,,,,,,,,,,6000000.0,Anouar Ait El Hadj,1773,A. Ait El Hadj,18,69,83,169,70,Right,72,FW,14,3200000,4000,283,63,57,32,73,58,348,76,65,63,68,76,386,78,68,83,65,92,331,66,73,83,53,56,267,62,44,57,68,36,132,46,48,38,50,6,14,9,13,8,3,Medium,Medium,1,BelgianProLeague
my MAS,FW,Kortrijk,18,2002,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,150000.0,Luqman Hakim,3551,L. Hakim,18,56,70,170,65,Right,59,FW,14,325000,1000,276,54,59,50,56,57,298,65,62,60,49,62,346,75,69,80,37,85,283,56,67,52,47,61,202,32,13,47,51,59,45,12,16,17,48,12,11,7,7,11,3,Medium,Low,1,BelgianProLeague
be BEL,"MF,FW",Waasland-Bev,21,1999,30,25,"2,139",23.8,8,5,13,8,0,0,4,0,0.34,0.21,0.55,0.34,0.55,,,,,,,,,,,,,1000000.0,Daan Heymans,2039,D. Heymans,21,67,74,193,79,Right,70,FW,7,2100000,3000,328,57,69,66,68,68,330,66,67,62,67,68,309,57,65,62,66,59,339,72,60,72,68,67,314,65,62,71,64,52,153,42,59,52,50,5,13,14,12,6,3,Medium,High,1,BelgianProLeague
mr MTN,"MF,FW",Waasland-Bev,21,1998,27,20,"1,783",19.8,7,1,8,7,0,0,3,0,0.35,0.05,0.4,0.35,0.4,,,,,,,,,,,,,1200000.0,Aboubakary Koita,1787,A. Koita,21,69,76,175,73,Right,70,FW,7,2800000,4000,283,65,69,32,63,54,350,73,73,76,60,68,400,87,85,89,63,76,382,84,83,64,72,79,245,47,29,63,60,46,117,42,36,39,50,14,8,8,14,6,4,Medium,Medium,1,BelgianProLeague
at AUT,FW,Oostende,23,1996,27,7,861,9.6,4,1,5,4,0,0,2,0,0.42,0.1,0.52,0.42,0.52,,,,,,,,,,,,,500000.0,Marko Kvasina,2381,M. Kvasina,23,65,70,195,88,Right,67,FW,5,1100000,3000,288,32,67,76,57,56,271,65,53,34,52,67,257,50,54,60,57,36,333,66,58,59,86,64,246,48,22,64,56,56,71,23,25,23,46,11,7,12,10,6,2,Medium,Low,1,BelgianProLeague
cm CMR,"FW,MF",Antwerp,23,1996,18,17,"1,519",16.9,7,4,11,7,0,0,4,0,0.41,0.24,0.65,0.41,0.65,,,,,,,,,,,,,4500000.0,Didier Lamkel Zé,1477,D. Lamkel Zé,23,73,78,192,79,Right,75,FW,5,4700000,17000,342,68,74,67,68,65,362,81,74,64,70,73,335,75,83,68,57,52,378,79,61,86,75,77,332,82,48,75,63,64,136,38,58,40,54,11,6,12,12,13,4,High,Medium,1,BelgianProLeague
nl NED,FW,Club Brugge,21,1999,24,21,"1,749",19.4,14,7,21,13,1,1,6,1,0.72,0.36,1.08,0.67,1.03,,,,,,,,,,,,,22000000.0,Noa Lang,1390,N. Lang,21,77,85,179,69,Right,78,FW,8,23500000,14000,344,66,76,48,74,80,350,81,65,57,67,80,403,85,78,87,73,80,341,72,66,71,63,69,342,65,57,73,76,71,143,47,53,43,57,13,7,13,12,12,3,High,Medium,1,BelgianProLeague
