Nation,Position,Squad,Age_x,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Source_League,MarketValue,Player,ID,Name,Age_y,Overall rating,Potential,Height,Weight,foot,Best overall,Best position,Growth,Value,Wage,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Total defending,Defensive awareness,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Weak foot,Attacking work rate,Defensive work rate,International reputation
gw GNB,GK,Clermont Foot,23,1998,24,23,"2,116",23.5,36,1.53,99,65,65.7,6.0,4.0,13.0,5,21.7,2,2,0,0,0.0,Ligue1,1800000.0,Ouparine Djoco,726,O. Djoco,23,66,71,188,90,Left,66,G,5,1000000,3000,64,12,10,14,21,7,81,14,15,16,20,16,158,30,22,21,62,23,209,50,55,29,67,8,96,21,9,4,33,29,33,10,12,11,326,66,64,67,61,68,2,Medium,Medium,1
it ITA,GK,Paris S-G,22,1999,17,17,"1,530",17.0,17,1.0,61,45,73.8,13.0,2.0,2.0,5,29.4,1,1,0,0,0.0,Ligue1,50000000.0,Gianluigi Donnarumma,2,G. Donnarumma,22,88,92,196,90,Right,88,G,4,106000000,110000,80,12,12,12,36,8,118,28,12,14,34,30,292,50,55,64,85,38,255,59,72,34,72,18,154,30,26,14,60,24,50,20,14,16,426,90,83,79,85,89,3,Medium,Medium,3
eng ENG,GK,Saint-Étienne,21,2000,15,15,"1,197",13.3,27,2.03,67,42,61.2,2.0,5.0,8.0,1,6.7,1,1,0,0,0.0,Ligue1,7000000.0,Etienne Green,315,E. Green,20,74,82,192,78,Right,74,G,8,8000000,13000,64,14,6,12,27,5,74,15,12,13,17,17,186,28,22,38,69,29,211,56,37,34,74,10,78,23,7,4,32,12,33,9,13,11,368,73,71,74,73,77,3,Medium,Medium,1
fr FRA,GK,Nantes,22,1999,38,38,"3,420",38.0,48,1.26,155,105,71.6,15.0,10.0,13.0,8,21.1,7,4,3,0,42.9,Ligue1,16000000.0,Alban Lafont,82,A. Lafont,22,79,85,196,90,Right,79,G,6,23000000,20000,95,13,6,13,54,9,100,14,13,12,51,10,275,48,45,60,69,53,243,51,73,40,70,9,109,20,17,4,52,16,46,20,14,12,388,83,76,68,76,85,3,Medium,Medium,2
fr FRA,GK,Bordeaux,22,1999,13,13,"1,170",13.0,29,2.23,61,32,55.7,3.0,5.0,5.0,2,15.4,4,2,2,0,50.0,Ligue1,1000000.0,Gaëtan Poussin,672,G. Poussin,22,67,75,184,85,Right,67,G,8,2000000,5000,71,12,7,14,29,9,76,13,13,11,22,17,167,17,25,22,57,46,193,48,58,22,59,6,78,21,10,7,24,16,33,7,12,14,331,68,66,64,67,66,2,Medium,Medium,1
fr FRA,GK,Guingamp,19,2001,2,1,95,1.1,1,0.95,2,1,50.0,0.0,1.0,0.0,0,0.0,0,0,0,0,,Ligue2,150000.0,Hugo Barbet,3552,H. Barbet,20,57,68,189,81,Right,57,G,11,300000,750,56,10,7,10,24,5,63,8,11,10,15,19,174,28,31,25,54,36,182,42,49,24,61,6,73,25,9,5,23,11,29,5,12,12,283,59,55,56,54,59,3,Medium,Medium,1
fr FRA,GK,Valenciennes,19,2001,30,30,"2,700",30.0,35,1.17,113,83,73.5,9.0,11.0,10.0,9,30.0,5,5,0,0,0.0,Ligue2,2500000.0,Lucas Chevalier,2454,L. Chevalier,19,65,81,192,78,Right,65,G,16,1600000,2000,67,12,9,12,25,9,82,14,15,14,22,17,204,40,36,31,59,38,185,48,53,33,43,8,98,23,10,7,42,16,31,10,10,11,324,66,65,64,62,67,3,Medium,Medium,1
fr FRA,GK,Nîmes,22,1999,9,8,765,8.5,16,1.88,53,38,71.7,1.0,0.0,7.0,0,0.0,1,1,0,0,0.0,Ligue2,500000.0,Lucas Dias,2791,L. Dias,22,63,72,185,80,Right,63,G,9,925000,1000,65,14,7,11,26,7,71,10,13,10,20,18,197,27,30,36,55,49,184,44,64,27,43,6,85,20,12,8,34,11,35,11,13,11,310,64,63,59,61,63,2,Medium,Medium,1
ci CIV,GK,Le Havre,20,2000,35,35,"3,099",34.4,35,1.02,125,94,75.2,12.0,11.0,12.0,14,40.0,4,4,0,0,0.0,Ligue2,18000000.0,Yahia Fofana,144,Y. Fofana,22,77,82,176,69,Right,80,M,5,16000000,41000,312,66,64,58,78,46,354,77,66,56,77,78,368,71,71,72,77,77,367,76,62,84,76,69,370,77,78,74,77,64,228,74,80,74,45,12,7,12,5,9,3,Medium,High,2
sn SEN,GK,Pau FC,19,2001,1,1,90,1.0,1,1.0,9,8,88.9,0.0,1.0,0.0,0,0.0,0,0,0,0,,Ligue2,400000.0,Massamba Ndiaye,3252,M. Ndiaye,19,60,68,202,80,Right,60,G,8,450000,500,54,11,7,11,17,8,65,7,12,11,16,19,148,19,33,23,50,23,182,48,32,23,73,6,95,25,12,6,33,19,29,6,11,12,302,54,60,64,60,64,2,Medium,Medium,1
fr FRA,GK,Caen,21,1999,6,5,495,5.5,6,1.09,21,15,71.4,1.0,2.0,2.0,1,20.0,0,0,0,0,,Ligue2,400000.0,Sullivan Péan,2616,S. Péan,21,64,73,190,82,Right,64,G,9,1100000,800,68,10,14,13,17,14,72,15,13,10,16,18,166,33,24,38,44,27,186,44,32,29,64,17,112,35,13,10,44,10,36,12,14,10,324,68,62,59,64,71,3,Medium,Medium,1
eng ENG,GK,Nancy,22,1998,22,22,"1,980",22.0,45,2.05,112,68,61.6,4.0,4.0,14.0,3,13.6,3,2,0,1,0.0,Ligue2,500000.0,Nathan Trott,2626,N. Trott,22,64,74,188,75,Left,64,G,10,1100000,8000,69,12,8,12,30,7,106,22,19,11,24,30,205,40,33,38,52,42,190,50,65,30,38,7,104,25,13,14,40,12,38,15,12,11,323,64,63,66,62,68,3,Medium,Medium,1
cf CTA,GK,Guingamp,21,2000,5,5,450,5.0,6,1.2,15,9,60.0,1.0,2.0,2.0,2,40.0,0,0,0,0,,Ligue2,400000.0,Dominique Youfeigane,3096,D. Youfeigane,21,61,69,188,84,Right,61,G,8,650000,800,64,12,6,14,27,5,59,7,11,10,16,15,198,42,37,38,54,27,167,43,36,22,59,7,79,25,14,6,19,15,28,6,12,10,299,63,61,57,56,62,2,Medium,Medium,1
nl NED,GK,Feyenoord,23,1998,22,22,"1,980",22.0,22,1.0,66,47,72.7,14.0,3.0,5.0,9,40.9,4,4,0,0,0.0,Netherlands,13000000.0,Justin Bijlow,1357,J. Bijlow,23,79,86,188,76,Right,79,G,7,30000000,9000,74,10,10,11,33,10,96,11,10,10,44,21,281,58,58,56,77,32,235,58,67,30,70,10,116,22,10,10,58,16,42,16,12,14,390,82,75,77,76,80,2,Medium,Medium,1
