Nation,Position,Squad,Age_x,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Source_League,MarketValue,Player,ID,Name,Age_y,Overall rating,Potential,Height,Weight,foot,Best overall,Best position,Growth,Value,Wage,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Total defending,Defensive awareness,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Weak foot,Attacking work rate,Defensive work rate,International reputation
be BEL,GK,Charleroi,19,2004,1,0,1,0.0,0,0.0,0,0,,0.0,0.0,0.0,0,,0,0,0,0,,BelgianProLeague,100000.0,Martin Delavallée,3488,M. Delavallée,19,58,72,180,77,Right,58,G,14,425000,750,78,13,6,16,35,8,105,20,18,10,42,15,239,47,44,51,53,44,181,47,54,20,52,8,112,30,19,7,39,17,43,16,12,15,293,59,55,62,58,59,2,Medium,Medium,1
se SWE,GK,Union SG,21,2001,1,0,21,0.2,0,0.0,1,1,100.0,0.0,0.0,0.0,0,,0,0,0,0,,BelgianProLeague,200000.0,Joachim Imbrechts,3256,J. Imbrechts,21,60,68,183,73,Right,60,G,8,475000,1000,57,9,4,13,23,8,57,8,12,11,15,11,202,37,40,25,56,44,145,42,41,17,38,7,77,17,7,7,28,18,33,6,15,12,292,64,57,56,53,62,2,Medium,Medium,1
be BEL,GK,OH Leuven,21,2002,16,16,"1,440",16.0,18,1.13,80,63,78.8,4.0,5.0,7.0,5,31.3,1,1,0,0,0.0,BelgianProLeague,2500000.0,Tobe Leysen,2014,T. Leysen,21,67,76,189,84,Left,67,G,9,2000000,2000,68,15,7,15,21,10,71,10,13,9,28,11,182,33,25,37,52,35,186,47,49,28,48,14,93,22,15,5,33,18,34,8,11,15,335,68,63,62,68,74,2,Medium,Medium,1
us USA,GK,Eupen,19,2004,28,28,"2,520",28.0,56,2.0,161,108,67.1,6.0,2.0,20.0,4,14.3,5,3,1,1,25.0,BelgianProLeague,4000000.0,Gaga Slonina,1834,G. Slonina,19,68,81,193,89,Right,68,G,13,2500000,10000,65,14,7,11,25,8,75,13,10,14,23,15,254,44,47,49,69,45,219,47,62,34,68,8,121,39,15,5,50,12,41,19,10,12,330,69,64,63,65,69,2,Medium,Medium,1
jp JPN,GK,Sint-Truiden,20,2002,22,22,"1,980",22.0,35,1.59,96,66,68.8,7.0,8.0,7.0,5,22.7,5,5,0,0,0.0,BelgianProLeague,2500000.0,Zion Suzuki,1694,Z. Suzuki,20,69,78,190,91,Right,69,G,9,2600000,4000,58,12,6,12,21,7,72,14,13,11,23,11,269,55,58,59,64,33,235,53,73,23,78,8,89,26,7,7,31,18,31,8,12,11,346,70,66,71,65,74,3,Medium,Medium,1
be BEL,GK,Genk,21,2002,30,30,"2,700",30.0,31,1.03,114,86,74.6,12.0,11.0,7.0,10,33.3,3,2,1,0,33.3,BelgianProLeague,11000000.0,Maarten Vandevoordt,1312,M. Vandevoordt,21,75,84,192,80,Right,75,G,9,11000000,8000,95,21,7,15,48,4,131,22,10,8,64,27,237,41,39,52,68,37,217,55,61,37,59,5,111,16,14,5,61,15,39,11,10,18,373,77,74,73,73,76,3,Medium,Medium,1
br BRA,GK,Flamengo,22,2001,3,3,270,3.0,3,1.0,10,7,70.0,2.0,0.0,1.0,2,66.7,0,0,0,0,,BrazilSerieA,45000000.0,Matheus Cunha,1344,Mardial Cunha,23,74,74,183,77,Right,74,D,0,4200000,10000,275,59,35,74,67,40,275,40,58,49,65,63,328,77,72,68,70,41,314,54,86,54,76,44,249,53,72,33,46,45,236,79,78,79,61,19,10,11,11,10,3,Medium,Medium,1
de GER,GK,Freiburg,21,2002,34,34,"3,060",34.0,58,1.71,158,99,65.2,11.0,9.0,14.0,10,29.4,5,3,2,0,40.0,Bundesliga,10000000.0,Noah Atubolu,379,N. Atubolu,21,73,81,190,99,Right,73,G,8,6000000,11000,68,12,8,13,27,8,81,11,13,12,31,14,204,35,36,32,70,31,237,53,67,29,79,9,112,26,13,9,50,14,36,12,12,12,358,73,69,70,72,74,3,Medium,Medium,1
il ISR,GK,Bayern Munich,23,2000,1,0,17,0.2,0,0.0,0,0,,0.0,0.0,0.0,1,,0,0,0,0,,Bundesliga,3000000.0,Daniel Peretz,452,D. Peretz,22,72,81,187,75,Right,72,G,9,4600000,21000,65,8,8,11,32,6,86,14,15,8,30,19,214,30,42,35,68,39,221,52,61,30,71,7,93,22,11,7,41,12,31,9,8,14,353,74,74,69,63,73,3,Medium,Medium,1
de GER,GK,Osnabrück,19,2004,1,0,7,0.1,0,0.0,0,0,,,,,0,,0,0,0,0,,Bundesliga2,50000.0,Luca Böggemann,3666,L. Böggemann,19,56,69,195,80,Right,56,G,13,300000,650,50,10,5,10,18,7,78,8,11,13,29,17,151,20,29,39,39,24,185,39,50,26,63,7,78,19,9,8,23,19,28,7,11,10,283,58,60,52,50,63,3,Medium,Medium,1
de GER,GK,Hertha BSC,20,2003,27,27,"2,430",27.0,48,1.78,126,83,65.1,10.0,8.0,9.0,4,14.8,6,4,1,1,20.0,Bundesliga2,2500000.0,Tjark Ernst,1898,T. Ernst,20,68,79,193,87,Right,68,G,11,2300000,3000,58,10,8,10,22,8,83,10,10,10,32,21,183,31,24,26,51,51,181,44,51,24,54,8,95,27,21,5,32,10,34,10,13,11,336,72,68,58,67,71,3,Medium,Medium,1
de GER,GK,Kaiserslautern,23,2000,30,29,"2,660",29.6,54,1.83,144,97,67.4,11.0,6.0,12.0,1,3.4,7,7,0,0,0.0,Bundesliga2,900000.0,Julian Krahl,1889,J. Krahl,23,68,75,194,87,Right,68,G,7,2100000,4000,64,12,8,14,23,7,71,9,10,9,21,22,181,27,36,32,53,33,206,48,58,19,68,13,93,31,12,8,28,14,42,15,14,13,341,72,65,64,69,71,3,Medium,Medium,1
de GER,GK,Elversberg,23,1999,33,33,"2,970",33.0,60,1.82,165,112,67.9,12.0,7.0,14.0,4,12.1,7,7,0,0,0.0,Bundesliga2,800000.0,Nicolas Kristof,1757,N. Kristof,23,69,73,187,87,Right,69,G,4,1600000,4000,64,12,8,11,25,8,73,12,10,13,24,14,154,26,18,30,50,30,197,51,56,19,64,7,103,23,19,4,43,14,42,18,12,12,348,71,69,68,69,71,5,Medium,Medium,1
