Club,Player,Market Value (€)
SSC Napoli,Gianluca Gaetano,4500000.0
SSC Napoli,Antonio Vergara,150000.0
SSC Napoli,Hirving Lozano,30000000.0
SSC Napoli,Lorenzo Insigne,25000000.0
SSC Napoli,Antonio Cioffi,500000.0
SSC Napoli,Matteo Politano,20000000.0
SSC Napoli,Adam Ounas,7000000.0
SSC Napoli,Dries Mertens,4000000.0
SSC Napoli,Victor Osimhen,65000000.0
SSC Napoli,Andrea Petagna,12000000.0
SSC Napoli,Giuseppe Ambrosino,500000.0
Atalanta BC,Juan Musso,18000000.0
Atalanta BC,Marco Sportiello,1500000.0
Atalanta BC,Jacopo Sassi,200000.0
Atalanta BC,Matevz Dajcar,150000.0
Atalanta BC,Francesco Rossi,100000.0
Atalanta BC,Tommaso Bertini,0.0
Atalanta BC,Merih Demiral,25000000.0
Atalanta BC,Berat Djimsiti,17000000.0
Atalanta BC,Giorgio Scalvini,10000000.0
Atalanta BC,Rafael Tolói,8000000.0
Atalanta BC,José Luis Palomino,7500000.0
Atalanta BC,Matteo Lovato,7000000.0
Atalanta BC,Bosko Sutalo,3000000.0
Atalanta BC,Giorgio Cittadini,300000.0
Atalanta BC,Robin Gosens,28000000.0
Atalanta BC,Joakim Maehle,14000000.0
Atalanta BC,Giuseppe Pezzella,5000000.0
Atalanta BC,Hans Hateboer,13000000.0
Atalanta BC,Enrico Delprato,2000000.0
Atalanta BC,Guillaume Renault,350000.0
Atalanta BC,Marten de Roon,17000000.0
Atalanta BC,Simone Panada,300000.0
Atalanta BC,Mario Pasalic,28000000.0
Atalanta BC,Remo Freuler,20000000.0
Atalanta BC,Matteo Pessina,16000000.0
Atalanta BC,Jacopo Da Riva,1300000.0
Atalanta BC,Alassane Sidibe,1000000.0
Atalanta BC,Samuel Giovane,500000.0
Atalanta BC,Federico Zuccon,200000.0
Atalanta BC,Davide Zappacosta,9000000.0
Atalanta BC,Andrea Oliveri,400000.0
Atalanta BC,Ruslan Malinovskyi,28000000.0
Atalanta BC,Teun Koopmeiners,25000000.0
Atalanta BC,Aleksey Miranchuk,10000000.0
Atalanta BC,Josip Ilicic,1000000.0
Atalanta BC,Jérémie Boga,19000000.0
Atalanta BC,Valentin Mihăilă,5500000.0
Atalanta BC,Bryan Cabezas,300000.0
Atalanta BC,Tommaso De Nipoti,150000.0
Atalanta BC,Duván Zapata,28000000.0
Atalanta BC,Luis Muriel,20000000.0
Atalanta BC,Roberto Piccoli,4000000.0
Atalanta BC,Sam Lammers,3000000.0
Atalanta BC,Moustapha Cissé,1000000.0
AS Roma,Rui Patrício,6000000.0
AS Roma,Daniel Fuzato,800000.0
AS Roma,Pietro Boer,150000.0
AS Roma,Davide Mastrantonio,0.0
AS Roma,Roger Ibañez,23000000.0
AS Roma,Gianluca Mancini,21000000.0
AS Roma,Marash Kumbulla,16000000.0
AS Roma,Chris Smalling,8000000.0
AS Roma,Maissa Ndiaye,400000.0
AS Roma,Dimitrios Keramitsis,0.0
AS Roma,Leonardo Spinazzola,20000000.0
AS Roma,Matías Viña,7500000.0
AS Roma,Riccardo Calafiori,3500000.0
AS Roma,Davide Santon,500000.0
AS Roma,Jan Oliveras,0.0
AS Roma,Rick Karsdorp,13000000.0
AS Roma,Ainsley Maitland-Niles,10000000.0
AS Roma,Bryan Reynolds,3500000.0
AS Roma,Filippo Missori,0.0
AS Roma,Bryan Cristante,20000000.0
AS Roma,Amadou Diawara,6000000.0
AS Roma,Ebrima Darboe,2000000.0
AS Roma,Filippo Tripi,300000.0
AS Roma,Jordan Veretout,17000000.0
AS Roma,Sérgio Oliveira,12000000.0
AS Roma,Henrikh Mkhitaryan,8000000.0
AS Roma,Gonzalo Villar,5000000.0
AS Roma,Edoardo Bove,1100000.0
AS Roma,Nicola Zalewski,12000000.0
AS Roma,Lorenzo Pellegrini,45000000.0
AS Roma,Nicolò Zaniolo,33000000.0
AS Roma,Cristian Volpato,900000.0
AS Roma,Stephan El Shaarawy,6000000.0
AS Roma,Carles Pérez,6000000.0
AS Roma,Tammy Abraham,50000000.0
AS Roma,Borja Mayoral,9000000.0
AS Roma,Eldor Shomurodov,8000000.0
AS Roma,Felix Afena-Gyan,6000000.0
AS Roma,Joel Voelkerling Persson,600000.0
ACF Fiorentina,Bartlomiej Dragowski,6000000.0
ACF Fiorentina,Pietro Terracciano,1500000.0
ACF Fiorentina,Michele Cerofolini,400000.0
ACF Fiorentina,Antonio Rosati,100000.0
ACF Fiorentina,Nikola Milenković,20000000.0
ACF Fiorentina,Igor,14000000.0
ACF Fiorentina,Lucas Martínez Quarta,12000000.0
ACF Fiorentina,Germán Pezzella,5000000.0
ACF Fiorentina,Luca Ranieri,2500000.0
ACF Fiorentina,Matija Nastasić,1500000.0
ACF Fiorentina,Filippo Frison,150000.0
ACF Fiorentina,Cristiano Biraghi,10000000.0
ACF Fiorentina,Aleksa Terzic,1500000.0
ACF Fiorentina,Álvaro Odriozola,12000000.0
ACF Fiorentina,Lorenzo Venuti,3000000.0
ACF Fiorentina,Lucas Torreira,20000000.0
ACF Fiorentina,Sofyan Amrabat,10000000.0
ACF Fiorentina,Erick Pulgar,6500000.0
ACF Fiorentina,Gaetano Castrovilli,12000000.0
ACF Fiorentina,Alfred Duncan,8500000.0
ACF Fiorentina,Youssef Maleh,5000000.0
ACF Fiorentina,Marco Benassi,2400000.0
ACF Fiorentina,Alessandro Bianco,350000.0
ACF Fiorentina,Giacomo Bonaventura,3000000.0
ACF Fiorentina,Riccardo Saponara,2500000.0
ACF Fiorentina,Vittorio Agostinelli,100000.0
ACF Fiorentina,Riccardo Sottil,9000000.0
ACF Fiorentina,Nico González,25000000.0
ACF Fiorentina,Jonathan Ikoné,18000000.0
ACF Fiorentina,José Callejón,1000000.0
ACF Fiorentina,Destiny Egharevba,100000.0
ACF Fiorentina,Aleksandr Kokorin,800000.0
ACF Fiorentina,Filippo Distefano,300000.0
ACF Fiorentina,Dušan Vlahović,85000000.0
ACF Fiorentina,Arthur Cabral,14000000.0
ACF Fiorentina,Krzysztof Piatek,12000000.0
ACF Fiorentina,Louis Munteanu,350000.0
ACF Fiorentina,Eljon Toci,250000.0
SS Lazio,Thomas Strakosha,7000000.0
SS Lazio,Pepe Reina,700000.0
SS Lazio,Marius Adamonis,150000.0
SS Lazio,Alessio Furlanetto,50000.0
SS Lazio,Giacomo Moretti,50000.0
SS Lazio,Luiz Felipe,16000000.0
SS Lazio,Patric,5500000.0
SS Lazio,Francesco Acerbi,4000000.0
SS Lazio,Denis Vavro,3000000.0
SS Lazio,Dimitrije Kamenovic,1500000.0
SS Lazio,Ștefan Radu,600000.0
SS Lazio,Adam Marusic,7500000.0
SS Lazio,Elseid Hysaj,5000000.0
SS Lazio,Romano Floriani Mussolini,75000.0
SS Lazio,Danilo Cataldi,5000000.0
SS Lazio,Lucas Leiva,1000000.0
SS Lazio,Patryk Dziczek,500000.0
SS Lazio,Marco Bertini,100000.0
SS Lazio,Sergej Milinković-Savić,70000000.0
SS Lazio,Toma Bašić,8000000.0
SS Lazio,Gonzalo Escalante,2500000.0
SS Lazio,Jean-Daniel Akpa Akpro,2000000.0
SS Lazio,Manuel Lazzari,15000000.0
SS Lazio,Luis Alberto,28000000.0
SS Lazio,André Anderson,1700000.0
SS Lazio,Mattia Zaccagni,18000000.0
SS Lazio,Felipe Anderson,13000000.0
SS Lazio,Jovane Cabral,5500000.0
SS Lazio,Raúl Moro,2800000.0
SS Lazio,Jony,800000.0
SS Lazio,Pedro,3000000.0
SS Lazio,Luka Romero,1000000.0
SS Lazio,Ciro Immobile,27000000.0
SS Lazio,Vedat Muriqi,7000000.0
SS Lazio,Felipe Caicedo,1500000.0
US Sassuolo,Andrea Consigli,1500000.0
US Sassuolo,Giacomo Satalino,200000.0
US Sassuolo,Gioele Zacchi,125000.0
US Sassuolo,Samuele Vitale,100000.0
US Sassuolo,Gianluca Pegolo,100000.0
US Sassuolo,Gian Marco Ferrari,7000000.0
US Sassuolo,Kaan Ayhan,5000000.0
US Sassuolo,Ruan,5000000.0
US Sassuolo,Vlad Chiricheș,1800000.0
US Sassuolo,Filippo Romagna,1500000.0
US Sassuolo,Edoardo Goldaniga,1000000.0
US Sassuolo,Rogério,6000000.0
US Sassuolo,Federico Peluso,300000.0
US Sassuolo,Edoardo Pieragnolo,100000.0
US Sassuolo,Mert Müldür,7000000.0
US Sassuolo,Jeremy Toljan,5000000.0
US Sassuolo,Yeferson Paz,200000.0
US Sassuolo,Maxime Lopez,15000000.0
US Sassuolo,Francesco Magnanelli,400000.0
US Sassuolo,Davide Frattesi,20000000.0
US Sassuolo,Matheus Henrique,11000000.0
US Sassuolo,Abdou Harroui,3000000.0
US Sassuolo,Pedro Obiang,1000000.0
US Sassuolo,Christian Aucelli,150000.0
US Sassuolo,Salim Abubakar,100000.0
US Sassuolo,Justin Kumi,0.0
US Sassuolo,Georgios Kyriakopoulos,5000000.0
US Sassuolo,Hamed Junior Traoré,22000000.0
US Sassuolo,Filip Djuricic,4000000.0
US Sassuolo,Jérémie Boga,19000000.0
US Sassuolo,Emil Konradsen Ceide,2000000.0
US Sassuolo,Lukas Haraslin,1700000.0
US Sassuolo,Riccardo Ciervo,1500000.0
US Sassuolo,Asan Mata,75000.0
US Sassuolo,Nicolás Schiappacasse,0.0
US Sassuolo,Domenico Berardi,35000000.0
US Sassuolo,Brian Oddei,900000.0
US Sassuolo,Giacomo Raspadori,28000000.0
US Sassuolo,Gianluca Scamacca,30000000.0
US Sassuolo,Luca Moro,3500000.0
US Sassuolo,Grégoire Defrel,3000000.0
US Sassuolo,Francesco Caputo,2500000.0
US Sassuolo,Luigi Samele,250000.0
Torino FC,Vanja Milinković-Savić,2500000.0
Torino FC,Etrit Berisha,800000.0
Torino FC,Luca Gemello,300000.0
Torino FC,Alberto Milan,100000.0
Torino FC,Bremer,35000000.0
Torino FC,Wilfried Singo,15000000.0
Torino FC,David Zima,7000000.0
Torino FC,Alessandro Buongiorno,4000000.0
Torino FC,Koffi Djidji,3000000.0
Torino FC,Armando Izzo,2800000.0
Torino FC,Andrei Anton,75000.0
Torino FC,Mohamed Salim Fares,4000000.0
Torino FC,Ricardo Rodríguez,3400000.0
Torino FC,Cristian Ansaldi,700000.0
Torino FC,Samuele Angori,200000.0
Torino FC,Mërgim Vojvoda,5500000.0
Torino FC,Ola Aina,3500000.0
Torino FC,Samuele Ricci,12000000.0
Torino FC,Rolando Mandragora,10000000.0
Torino FC,Tomás Rincón,1000000.0
Torino FC,Tommaso Pobega,16000000.0
Torino FC,Saša Lukić,15000000.0
Torino FC,Dennis Praet,13000000.0
Torino FC,Karol Linetty,3500000.0
Torino FC,Jacopo Segre,1600000.0
Torino FC,Daniele Baselli,1400000.0
Torino FC,Ben Lhassine Kone,450000.0
Torino FC,Matthew Garbett,150000.0
