Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
Dirk Abels,nl NED,DF,Sparta R'dam,23,1997,31,28,"2,507",27.9,1,3,4,1,0,0,3,0,0.04,0.11,0.14,0.04,0.14
Nassim El Ablak,nl NED,MF,Fortuna Sittard,20,2000,3,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Zakaria Aboukhlal,ma MAR,"FW,MF",AZ Alkmaar,20,2000,24,6,742,8.2,4,0,4,4,0,0,2,0,0.49,0.00,0.49,0.49,0.49
Paulos Abraham,se SWE,"MF,FW",Groningen,18,2002,13,2,360,4.0,2,0,2,2,0,0,0,0,0.50,0.00,0.50,0.50,0.50
Bobby Adekanye,nl NED,"FW,MF",ADO Den Haag,21,1999,14,11,741,8.2,2,0,2,2,0,0,1,0,0.24,0.00,0.24,0.24,0.24
Shawn Adewoye,be BEL,DF,RKC Waalwijk,20,2000,3,1,125,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Luka Adžić,rs SRB,MF,Emmen,21,1998,12,12,807,9.0,3,0,3,3,0,0,0,0,0.33,0.00,0.33,0.33,0.33
Rohat Agca,nl NED,MF,Heracles Almelo,18,2001,4,0,54,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Hamdi Akujobi,nl NED,DF,Heerenveen,20,2000,6,3,339,3.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Edson Álvarez,mx MEX,"MF,DF",Ajax,22,1997,24,18,"1,551",17.2,2,2,4,2,0,0,4,2,0.12,0.12,0.23,0.12,0.23
Ben Aissa Ben Amar,ma MAR,DF,Utrecht,23,1997,3,2,179,2.0,0,1,1,0,0,0,0,0,0.00,0.50,0.50,0.00,0.50
Mohamed Amissi,bi BDI,FW,Heracles Almelo,19,2000,2,0,59,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jamal Amofa,nl NED,DF,ADO Den Haag,21,1998,6,5,458,5.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Jeremy Antonisse,cw CUW,"FW,MF",PSV Eindhoven,18,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Antony,br BRA,"FW,MF",Ajax,20,2000,32,24,"1,762",19.6,9,8,17,9,0,0,2,0,0.46,0.41,0.87,0.46,0.87
Jonas Arweiler,de GER,FW,ADO Den Haag,23,1997,25,11,"1,128",12.5,3,2,5,3,0,0,1,0,0.24,0.16,0.40,0.24,0.40
Daniel Arzani,au AUS,MF,Utrecht,21,1999,4,0,62,0.7,0,1,1,0,0,0,0,0,0.00,1.45,1.45,0.00,1.45
Sebbe Augustijns,be BEL,MF,RKC Waalwijk,20,1999,8,0,154,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
