Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
Josha Vagnoman,de GER,"DF,MF",Hamburger SV,19,2000,24,20,"1,648",18.3,2,2,4,2,0,0,2,0,0.11,0.11,0.22,0.11,0.22
Sebastian Vasiliadis,gr GRE,MF,Paderborn 07,22,1997,19,12,"1,155",12.8,0,2,2,0,0,0,4,0,0.00,0.16,0.16,0.00,0.16
Christian Viet,de GER,MF,St. Pauli,21,1999,3,1,117,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Nicolas Wähling,de GER,MF,Jahn R'burg,22,1997,1,0,26,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Erik Wekesser,de GER,DF,Jahn R'burg,23,1997,30,29,"2,605",28.9,0,5,5,0,0,0,14,0,0.00,0.17,0.17,0.00,0.17
Jannes Wieckhoff,de GER,MF,St. Pauli,19,2000,7,2,277,3.1,1,0,1,1,0,0,0,0,0.32,0.00,0.32,0.32,0.32
Manuel Wintzheimer,de GER,"MF,FW",Hamburger SV,21,1999,32,16,"1,452",16.1,3,10,13,3,0,0,1,0,0.19,0.62,0.81,0.19,0.81
Rodrigo Zalazar,uy URU,"MF,FW",St. Pauli,20,1999,34,32,"2,687",29.9,6,6,12,4,2,3,3,0,0.20,0.20,0.40,0.13,0.33
Bjorn Zempelin,de GER,MF,Jahn R'burg,20,2000,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Robin Ziegele,de GER,"DF,MF",Braunschweig,23,1997,15,10,992,11.0,0,1,1,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09
