Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG.1
Emmanuel Agbadou,ci CIV,"DF,MF",Eupen,23,1997,23,23,"1,984",22.0,1,0,1,1,0,0,4,2,0.05,0.0,0.05,0.05,0.05,,,,,,,,,,,,
Saad Agouzoul,ma MAR,DF,Excel Mouscron,22,1997,33,33,"2,970",33.0,1,1,2,1,0,0,8,0,0.03,0.03,0.06,0.03,0.06,,,,,,,,,,,,
Reda Akbib,be BEL,DF,Charleroi,19,2001,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Alessandro Albanese,be BEL,"MF,FW",Waasland-Bev,20,2000,23,16,"1,240",13.8,1,6,7,1,0,0,5,0,0.07,0.44,0.51,0.07,0.51,,,,,,,,,,,,
Arthur Allemeersch,be BEL,FW,OH Leuven,19,2001,2,1,67,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Selim Amallah,ma MAR,"MF,FW",Standard Liège,23,1996,24,21,"1,845",20.5,9,3,12,7,2,2,7,1,0.44,0.15,0.59,0.34,0.49,,,,,,,,,,,,
Francis Amuzu,be BEL,"MF,FW",Anderlecht,20,1999,29,17,"1,754",19.5,2,3,5,2,0,0,2,0,0.1,0.15,0.26,0.1,0.26,,,,,,,,,,,,
Panos Armenakas,au AUS,MF,Zulte Waregem,21,1998,9,2,207,2.3,2,0,2,2,0,0,0,0,0.87,0.0,0.87,0.87,0.87,,,,,,,,,,,,
Kristian Arnstad,no NOR,MF,Anderlecht,16,2003,2,1,117,1.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Gerardo Arteaga,mx MEX,"DF,MF",Genk,21,1998,19,15,"1,366",15.2,1,4,5,1,0,0,2,0,0.07,0.26,0.33,0.07,0.33,,,,,,,,,,,,
Isaac Asante,gh GHA,MF,OH Leuven,17,2002,5,3,196,2.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Majeed Ashimeru,gh GHA,MF,Anderlecht,22,1997,5,5,323,3.6,1,0,1,1,0,0,0,0,0.28,0.0,0.28,0.28,0.28,,,,,,,,,,,,
Marciano Aziz,be BEL,MF,Eupen,19,2001,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Muhammed Badamosi,gm GAM,FW,Kortrijk,21,1998,10,0,197,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Youssouph Badji,sn SEN,FW,Club Brugge,18,2001,24,11,944,10.5,4,1,5,4,0,0,1,0,0.38,0.1,0.48,0.38,0.48,,,,,,,,,,,,
