Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
Yohann Magnin,fr FRA,MF,Clermont Foot,23,1997,30,28,"2,384",26.5,2,2,4,2,0,0,7,0,0.08,0.08,0.15,0.08,0.15
Elies Mahmoud,fr FRA,"MF,FW",Le Havre,19,2001,15,3,515,5.7,0,1,1,0,0,0,1,0,0.00,0.17,0.17,0.00,0.17
Stone Mambo,,DF,Troyes,21,1999,7,5,395,4.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Vincent Marchetti,fr FRA,"MF,FW",Ajaccio,23,1997,24,15,"1,358",15.1,0,1,1,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07
Julien Masson,fr FRA,MF,Valenciennes,22,1998,18,16,"1,282",14.2,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00
Faiz Mattoir,km COM,MF,Ajaccio,20,2000,19,5,533,5.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Kévin Mbala,fr FRA,FW,Caen,19,2001,4,2,187,2.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Orphé Mbina,ga GAB,FW,Grenoble,19,2000,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Germain Mbiyavanga,fr FRA,DF,Chambly Oise,18,2002,3,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Paul Meliande,fr FRA,FW,Pau FC,18,2001,7,1,158,1.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
François Mendy,fr FRA,FW,Châteauroux,20,2000,4,0,65,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Mehdi Merghem,fr FRA,MF,Nancy,23,1997,8,3,313,3.5,0,1,1,0,0,0,1,0,0.00,0.29,0.29,0.00,0.29
Boris Moltenis,mq MTQ,DF,Sochaux,21,1999,7,4,357,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Nathan Monzango,,DF,Amiens,19,2001,19,16,"1,437",16.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Leandro Morante,fr FRA,DF,Châteauroux,23,1997,10,9,855,9.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Joris Moutachy,mq MTQ,DF,Niort,22,1997,31,24,"2,346",26.1,0,1,1,0,0,0,5,0,0.00,0.04,0.04,0.00,0.04
Tristan Muyumba,,"DF,MF",Guingamp,23,1997,4,0,72,0.8,1,0,1,1,0,0,1,0,1.25,0.00,1.25,1.25,1.25
Steve Mvoué,cm CMR,MF,Toulouse,18,2002,1,1,67,0.7,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00
Nathan N'Goumou,fr FRA,"MF,FW",Toulouse,20,2000,9,3,281,3.1,2,0,2,2,0,0,0,0,0.64,0.00,0.64,0.64,0.64
