Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
Emmanuel Agbadou,ci CIV,"DF,MF",Eupen,23,1997,23,23,"1,984",22.0,1,0,1,1,0,0,4,2,0.05,0.00,0.05,0.05,0.05
Saad Agouzoul,ma MAR,DF,Excel Mouscron,22,1997,33,33,"2,970",33.0,1,1,2,1,0,0,8,0,0.03,0.03,0.06,0.03,0.06
Reda Akbib,be BEL,DF,Charleroi,19,2001,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Alessandro Albanese,be BEL,"MF,FW",Waasland-Bev,20,2000,23,16,"1,240",13.8,1,6,7,1,0,0,5,0,0.07,0.44,0.51,0.07,0.51
Arthur Allemeersch,be BEL,FW,OH Leuven,19,2001,2,1,67,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Selim Amallah,ma MAR,"MF,FW",Standard Liège,23,1996,24,21,"1,845",20.5,9,3,12,7,2,2,7,1,0.44,0.15,0.59,0.34,0.49
Francis Amuzu,be BEL,"MF,FW",Anderlecht,20,1999,29,17,"1,754",19.5,2,3,5,2,0,0,2,0,0.10,0.15,0.26,0.10,0.26
Panos Armenakas,au AUS,MF,Zulte Waregem,21,1998,9,2,207,2.3,2,0,2,2,0,0,0,0,0.87,0.00,0.87,0.87,0.87
Kristian Arnstad,no NOR,MF,Anderlecht,16,2003,2,1,117,1.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Gerardo Arteaga,mx MEX,"DF,MF",Genk,21,1998,19,15,"1,366",15.2,1,4,5,1,0,0,2,0,0.07,0.26,0.33,0.07,0.33
Isaac Asante,gh GHA,MF,OH Leuven,17,2002,5,3,196,2.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Majeed Ashimeru,gh GHA,MF,Anderlecht,22,1997,5,5,323,3.6,1,0,1,1,0,0,0,0,0.28,0.00,0.28,0.28,0.28
Marciano Aziz,be BEL,MF,Eupen,19,2001,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Muhammed Badamosi,gm GAM,FW,Kortrijk,21,1998,10,0,197,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Youssouph Badji,sn SEN,FW,Club Brugge,18,2001,24,11,944,10.5,4,1,5,4,0,0,1,0,0.38,0.10,0.48,0.38,0.48
Michel-Ange Balikwisha,be BEL,"MF,FW",Standard Liège,19,2001,26,19,"1,623",18.0,7,2,9,7,0,0,1,0,0.39,0.11,0.50,0.39,0.50
William Balikwisha,cd COD,MF,Standard Liège,21,1999,2,0,38,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Nelson Balongo,,FW,Sint-Truiden,21,1999,7,0,75,0.8,1,0,1,1,0,0,0,0,1.20,0.00,1.20,1.20,1.20
Eike Bansen,de GER,GK,Zulte Waregem,22,1998,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Samuel Bastien,cd COD,MF,Standard Liège,23,1996,25,25,"2,143",23.8,4,1,5,4,0,0,2,0,0.17,0.04,0.21,0.17,0.21
Jelle Bataille,be BEL,"MF,DF",Oostende,21,1999,31,29,"2,568",28.5,1,4,5,1,0,0,11,2,0.04,0.14,0.18,0.04,0.18
David Bates,sct SCO,DF,Cercle Brugge,23,1996,19,19,"1,699",18.9,0,1,1,0,0,0,5,1,0.00,0.05,0.05,0.00,0.05
Nick Bätzner,de GER,MF,Oostende,20,2000,19,10,881,9.8,0,1,1,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10
Amine Benchaib,ma MAR,MF,Charleroi,22,1998,17,7,774,8.6,1,1,2,1,0,0,3,0,0.12,0.12,0.23,0.12,0.23
Giulian Biancone,fr FRA,"DF,MF",Cercle Brugge,20,2000,18,17,"1,550",17.2,1,0,1,1,0,0,5,0,0.06,0.00,0.06,0.06,0.06
William Bianda,fr FRA,DF,Zulte Waregem,20,2000,7,6,486,5.4,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00
Djihad Bizimana,rw RWA,MF,Waasland-Bev,23,1996,6,3,311,3.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Eric Bocat,fr FRA,"DF,MF",Excel Mouscron,21,1999,8,8,655,7.3,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00
Arnaud Bodart,be BEL,GK,Standard Liège,22,1998,33,33,"2,970",33.0,1,0,1,1,0,0,0,0,0.03,0.00,0.03,0.03,0.03
Indy Boonen,be BEL,"FW,MF",Oostende,21,1999,10,2,271,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
George Broadbent,eng ENG,"DF,MF",Beerschot,19,2000,2,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jacob Bruun Larsen,dk DEN,"FW,MF",Anderlecht,21,1998,9,4,328,3.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Charles-Andréas Brym,ca CAN,FW,Excel Mouscron,21,1998,7,2,201,2.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Osman Bukari,gh GHA,"FW,MF",Gent,21,1998,25,18,"1,616",18.0,4,3,7,4,0,0,3,0,0.22,0.17,0.39,0.22,0.39
Mustapha Bundu,sl SLE,MF,Anderlecht,23,1997,9,5,402,4.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Rocky Bushiri,be BEL,DF,Mechelen,20,1999,6,6,510,5.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Rocky Bushiri,be BEL,DF,Eupen,20,1999,1,1,72,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Maxime Busi,be BEL,DF,Charleroi,20,1999,7,7,630,7.0,0,1,1,0,0,0,3,0,0.00,0.14,0.14,0.00,0.14
Aurélio Buta,pt POR,MF,Antwerp,23,1997,19,10,"1,059",11.8,0,3,3,0,0,0,7,0,0.00,0.25,0.25,0.00,0.25
Liberato Cacace,nz NZL,"MF,DF",Sint-Truiden,19,2000,27,27,"2,422",26.9,0,2,2,0,0,0,5,0,0.00,0.07,0.07,0.00,0.07
Capita,ao ANG,FW,Excel Mouscron,18,2002,3,0,51,0.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Joachim Carcela,be BEL,MF,Standard Liège,20,1999,1,0,30,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Arne Cassaert,be BEL,DF,Cercle Brugge,19,2000,2,1,91,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Alessio Castro-Montes,be BEL,"MF,DF",Gent,23,1997,31,31,"2,624",29.2,6,1,7,6,0,2,4,0,0.21,0.03,0.24,0.21,0.24
Maximiliano Caufriez,be BEL,DF,Waasland-Bev,23,1997,4,4,359,4.0,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00
Maximiliano Caufriez,be BEL,"DF,MF",Sint-Truiden,23,1997,19,18,"1,510",16.8,1,1,2,1,0,0,2,1,0.06,0.06,0.12,0.06,0.12
Giorgi Chakvetadze,ge GEO,"MF,FW",Gent,20,1999,3,2,176,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Ismaila Cheick Coulibaly,ml MLI,MF,Beerschot,19,2000,22,17,"1,640",18.2,5,0,5,5,0,0,4,0,0.27,0.00,0.27,0.27,0.27
Tahith Chong,nl NED,FW,Club Brugge,20,1999,7,5,391,4.3,0,2,2,0,0,0,0,0,0.00,0.46,0.46,0.00,0.46
Jeremy Cijntje,cw CUW,"FW,MF",Waasland-Bev,22,1998,4,0,110,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Elias Cobbaut,be BEL,DF,Anderlecht,22,1997,8,7,612,6.8,0,1,1,0,0,0,1,0,0.00,0.15,0.15,0.00,0.15
Antoine Colassin,be BEL,FW,Anderlecht,19,2001,7,1,171,1.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Antoine Colassin,be BEL,"FW,MF",Zulte Waregem,19,2001,10,0,159,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Facundo Colidio,ar ARG,"MF,FW",Sint-Truiden,20,2000,31,17,"1,524",16.9,2,3,5,2,0,0,5,0,0.12,0.18,0.30,0.12,0.30
Santiago Colombatto,ar ARG,MF,Sint-Truiden,23,1997,11,10,863,9.6,0,1,1,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10
Gaëtan Coucke,be BEL,GK,Mechelen,21,1998,16,16,"1,440",16.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
