Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Source_League,Season
Noah Joel Sarenren Bazee,ng NGA,"FW,MF",Augsburg,23,1996,0.4,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,1.0,0.0,0.0,Bundesliga,2020-2021
Timo Becker,de GER,DF,Schalke 04,23,1997,18.2,34.0,23,28.0,6.0,0.0,16.0,25.0,64.0,9.0,18.0,4.0,14.0,22,56.0,58.0,0.0,Bundesliga,2020-2021
Maximilian Beier,de GER,"FW,DF",Hoffenheim,17,2002,0.1,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Bundesliga,2020-2021
Jude Bellingham,eng ENG,MF,Dortmund,17,2003,18.9,49.0,31,11.0,29.0,9.0,19.0,46.0,41.3,27.0,37.0,5.0,32.0,24,73.0,13.0,0.0,Bundesliga,2020-2021
László Bénes,sk SVK,MF,Augsburg,22,1997,7.3,8.0,6,4.0,4.0,0.0,2.0,8.0,25.0,6.0,6.0,2.0,4.0,7,15.0,1.0,1.0,Bundesliga,2020-2021
László Bénes,sk SVK,MF,Gladbach,22,1997,1.7,6.0,2,5.0,1.0,0.0,2.0,4.0,50.0,2.0,0.0,0.0,0.0,2,8.0,1.0,0.0,Bundesliga,2020-2021
Jordan Beyer,de GER,DF,Gladbach,20,2000,2.1,2.0,1,2.0,0.0,0.0,1.0,2.0,50.0,1.0,5.0,4.0,1.0,5,7.0,5.0,0.0,Bundesliga,2020-2021
Bartosz Białek,pl POL,"FW,MF",Wolfsburg,18,2001,3.0,6.0,5,1.0,4.0,1.0,4.0,4.0,100.0,0.0,5.0,1.0,4.0,3,9.0,4.0,0.0,Bundesliga,2020-2021
Melayro Bogarde,nl NED,"DF,MF",Hoffenheim,18,2002,3.1,7.0,3,3.0,3.0,1.0,5.0,9.0,55.6,4.0,0.0,0.0,0.0,5,12.0,1.0,0.0,Bundesliga,2020-2021
Elias Bördner,de GER,GK,Eint Frankfurt,18,2002,1.0,1.0,0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,2,3.0,1.0,0.0,Bundesliga,2020-2021
Dennis Borkowski,de GER,"MF,FW",RB Leipzig,18,2002,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,Bundesliga,2020-2021
Sebastiaan Bornauw,be BEL,DF,Köln,21,1999,23.1,29.0,20,25.0,4.0,0.0,14.0,25.0,56.0,11.0,33.0,26.0,7.0,40,69.0,104.0,0.0,Bundesliga,2020-2021
Nassim Boujellab,ma MAR,"MF,FW",Schalke 04,21,1999,6.7,13.0,9,2.0,10.0,1.0,2.0,12.0,16.7,10.0,10.0,3.0,7.0,7,20.0,9.0,0.0,Bundesliga,2020-2021
Can Bozdogan,de GER,"MF,FW",Schalke 04,19,2001,7.2,13.0,5,6.0,6.0,1.0,4.0,15.0,26.7,11.0,10.0,2.0,8.0,7,20.0,5.0,0.0,Bundesliga,2020-2021
Josip Brekalo,hr CRO,FW,Wolfsburg,22,1998,20.2,22.0,10,10.0,7.0,5.0,8.0,29.0,27.6,21.0,18.0,0.0,18.0,17,39.0,3.0,1.0,Bundesliga,2020-2021
Jacob Bruun Larsen,dk DEN,"MF,FW",Hoffenheim,21,1998,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Bundesliga,2020-2021
Jonathan Burkardt,de GER,"FW,MF",Mainz 05,20,2000,15.3,27.0,13,15.0,10.0,2.0,11.0,19.0,57.9,8.0,20.0,3.0,17.0,8,35.0,15.0,0.0,Bundesliga,2020-2021
Nishan Burkart,ch SUI,MF,Freiburg,20,2000,0.2,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Bundesliga,2020-2021
Kerim Calhanoglu,de GER,DF,Schalke 04,17,2002,3.3,3.0,3,1.0,1.0,1.0,0.0,3.0,0.0,3.0,4.0,0.0,4.0,7,10.0,6.0,0.0,Bundesliga,2020-2021
Sava Cestic,rs SRB,DF,Köln,19,2001,10.0,20.0,9,12.0,6.0,2.0,8.0,17.0,47.1,9.0,13.0,4.0,9.0,18,38.0,40.0,0.0,Bundesliga,2020-2021
Tahith Chong,nl NED,"MF,FW",Werder Bremen,20,1999,4.3,11.0,6,1.0,9.0,1.0,4.0,8.0,50.0,4.0,4.0,0.0,4.0,5,16.0,1.0,0.0,Bundesliga,2020-2021
Darko Churlinov,mk MKD,"DF,MF",Stuttgart,20,2000,2.4,2.0,2,2.0,0.0,0.0,1.0,3.0,33.3,2.0,5.0,1.0,4.0,0,2.0,2.0,0.0,Bundesliga,2020-2021
Tim Civeja,al ALB,MF,Augsburg,18,2002,0.4,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3,3.0,0.0,0.0,Bundesliga,2020-2021
Sergio Córdova,ve VEN,"FW,MF",Arminia,22,1997,12.1,16.0,8,0.0,10.0,6.0,2.0,15.0,13.3,13.0,14.0,3.0,11.0,9,25.0,9.0,0.0,Bundesliga,2020-2021
