Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Source_League,Season,Tackles %,keeper_GA,defense_Tkl+Int,defense_Blocks,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Clr,defense_Tkl%,defense_Tkl,defense_Int,Team_Def_Score,Team_Def_Score_Norm,Tackles_Contribution,Tackles Won_Contribution,Interceptions_Contribution,Blocks_Contribution,Clearances_Contribution,Tackles (Def 3rd)_Contribution,Tackles (Mid 3rd)_Contribution,Tackles %_Contribution,Total_Player_Contribution,Role_Adjustment,Final_Contribution_Index
Maxime Lopez,fr FRA,MF,Sassuolo,22,1997,20.7,24.0,13,15.0,6.0,3.0,14.0,41.0,34.1,27.0,9.0,0.0,9.0,16,40.0,10.0,1.0,SerieA,2020-2021,184.6153846153846,56,954,383,310,276,164,88,629,44.4,528,426,0.017857142857142856,0.20408163265306117,0.045454545454545456,0.041935483870967745,0.03755868544600939,0.02349869451697128,0.01589825119236884,0.05434782608695652,0.036585365853658534,4.158004158004158,4.413283010425636,0.6,0.5404020012766084
Matteo Lovato,it ITA,DF,Hellas Verona,20,2000,15.4,21.0,12,14.0,5.0,2.0,10.0,21.0,47.6,11.0,20.0,10.0,10.0,37,58.0,48.0,1.0,SerieA,2020-2021,175.0,48,957,374,269,224,183,58,756,41.9,465,492,0.020833333333333332,0.27777777777777773,0.04516129032258064,0.04460966542750929,0.07520325203252033,0.053475935828877004,0.06349206349206349,0.0625,0.0273224043715847,4.176610978520286,4.5483755899954215,1.0,1.2634376638876168
Saša Lukić,rs SRB,MF,Torino,23,1996,23.4,32.0,13,11.0,18.0,3.0,15.0,50.0,30.0,35.0,23.0,5.0,18.0,17,49.0,17.0,0.0,SerieA,2020-2021,246.15384615384616,69,974,412,306,241,205,84,727,43.4,530,444,0.014492753623188406,0.12077294685990336,0.06037735849056604,0.042483660130718956,0.038288288288288286,0.055825242718446605,0.023383768913342505,0.04564315352697095,0.08780487804878048,5.671747607231478,6.025553957348592,0.6,0.43663434473540513
Sebastiano Luperto,it ITA,DF,Crotone,23,1996,20.9,38.0,20,28.0,8.0,2.0,16.0,27.0,59.3,11.0,17.0,7.0,10.0,27,65.0,74.0,1.0,SerieA,2020-2021,190.0,92,920,406,311,288,196,56,748,40.5,540,380,0.010869565217391304,0.031055900621118016,0.07037037037037037,0.06430868167202572,0.07105263157894737,0.04187192118226601,0.09893048128342247,0.09722222222222222,0.04081632653061224,4.691358024691358,5.175930659531224,1.0,0.16074318818419953
Lyanco,br BRA,DF,Torino,23,1997,21.8,21.0,14,13.0,6.0,2.0,8.0,14.0,57.1,6.0,36.0,26.0,10.0,46,67.0,76.0,0.0,SerieA,2020-2021,150.0,69,974,412,306,241,205,84,727,43.4,530,444,0.014492753623188406,0.12077294685990336,0.03962264150943396,0.0457516339869281,0.1036036036036036,0.08737864077669903,0.10453920220082531,0.05394190871369295,0.02926829268292683,3.456221198156682,3.920327121630792,1.0,0.47346945913415356
Giulio Maggiore,it ITA,MF,Spezia,22,1998,24.6,61.0,36,26.0,28.0,7.0,21.0,53.0,39.6,32.0,33.0,6.0,27.0,19,80.0,25.0,1.0,SerieA,2020-2021,169.44444444444443,72,962,364,320,264,223,81,551,42.9,568,394,0.013888888888888888,0.10582010582010576,0.1073943661971831,0.1125,0.048223350253807105,0.09065934065934066,0.045372050816696916,0.09848484848484848,0.12556053811659193,3.9497539497539496,4.577948444282418,0.6,0.2906633932877724
Jean-Victor Makengo,fr FRA,MF,Udinese,22,1998,5.8,8.0,7,5.0,3.0,0.0,3.0,13.0,23.1,10.0,7.0,1.0,6.0,5,13.0,7.0,0.0,SerieA,2020-2021,114.28571428571428,58,942,428,294,264,199,39,683,38.2,502,440,0.017241379310344827,0.18883415435139567,0.01593625498007968,0.023809523809523808,0.011363636363636364,0.016355140186915886,0.010248901903367497,0.01893939393939394,0.01507537688442211,2.991772625280478,3.1035008533478177,0.6,0.351628175502462
Daniel Maldini,it ITA,"FW,DF",Milan,18,2001,0.3,1.0,0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0,1.0,0.0,0.0,SerieA,2020-2021,inf,41,1009,435,357,299,257,71,732,45.6,627,382,0.024390243902439025,0.3658536585365853,0.001594896331738437,0.0,0.0,0.0,0.0,0.0,0.0038910505836575876,0.0,0.005485946915396025,0.65,0.0013045849371978349
Dennis Man,ro ROU,"FW,MF",Parma,21,1998,7.8,12.0,6,6.0,4.0,2.0,6.0,21.0,28.6,15.0,5.0,0.0,5.0,2,14.0,6.0,0.0,SerieA,2020-2021,200.0,83,1048,412,317,317,215,53,806,38.7,585,463,0.012048192771084338,0.06024096385542166,0.020512820512820513,0.01892744479495268,0.004319654427645789,0.012135922330097087,0.007444168734491315,0.01892744479495268,0.018604651162790697,5.167958656330749,5.2688307630885,0.44999999999999996,0.14282974960179662
Rolando Mandragora,it ITA,MF,Udinese,23,1997,4.4,8.0,5,3.0,4.0,1.0,3.0,10.0,30.0,7.0,10.0,3.0,7.0,6,14.0,5.0,0.0,SerieA,2020-2021,160.0,58,942,428,294,264,199,39,683,38.2,502,440,0.017241379310344827,0.18883415435139567,0.01593625498007968,0.017006802721088437,0.013636363636363636,0.02336448598130841,0.007320644216691069,0.011363636363636364,0.020100502512562814,4.18848167539267,4.297210365804401,0.6,0.48687605129803535
Rolando Mandragora,it ITA,MF,Torino,23,1997,16.9,19.0,4,4.0,9.0,6.0,7.0,30.0,23.3,23.0,19.0,6.0,13.0,20,39.0,19.0,0.0,SerieA,2020-2021,475.0,69,974,412,306,241,205,84,727,43.4,530,444,0.014492753623188406,0.12077294685990336,0.035849056603773584,0.013071895424836602,0.04504504504504504,0.04611650485436893,0.026134800550206328,0.016597510373443983,0.04390243902439024,10.944700460829493,11.171417712705559,0.6,0.8095230226598229
Juan Manuel Ramos,uy URU,DF,Spezia,23,1996,3.3,5.0,0,3.0,0.0,2.0,4.0,7.0,57.1,3.0,1.0,0.0,1.0,2,7.0,6.0,0.0,SerieA,2020-2021,inf,72,962,364,320,264,223,81,551,42.9,568,394,0.013888888888888888,0.10582010582010576,0.008802816901408451,0.0,0.005076142131979695,0.0027472527472527475,0.010889292196007259,0.011363636363636364,0.0,0.0,0.038879140340284515,1.0,0.00411419474500365
Riccardo Marchizza,it ITA,DF,Spezia,22,1998,17.3,20.0,11,12.0,5.0,3.0,12.0,21.0,57.1,9.0,13.0,4.0,9.0,11,31.0,27.0,0.0,SerieA,2020-2021,181.8181818181818,72,962,364,320,264,223,81,551,42.9,568,394,0.013888888888888888,0.10582010582010576,0.035211267605633804,0.034375,0.027918781725888325,0.03571428571428571,0.04900181488203267,0.045454545454545456,0.02242152466367713,4.238186056367875,4.488283276413938,1.0,0.4749506112607339
Lautaro Martínez,ar ARG,FW,Inter,22,1997,28.5,25.0,12,5.0,11.0,9.0,7.0,24.0,29.2,17.0,31.0,1.0,30.0,27,52.0,16.0,0.0,SerieA,2020-2021,208.33333333333334,35,877,383,286,214,206,86,582,40.4,506,371,0.02857142857142857,0.4693877551020407,0.04940711462450593,0.04195804195804196,0.07277628032345014,0.08093994778067885,0.027491408934707903,0.02336448598130841,0.05339805825242718,5.156765676567657,5.506101014422778,0.3,0.775348918357493
Borja Mayoral,es ESP,FW,Roma,23,1997,17.2,3.0,2,0.0,0.0,3.0,1.0,10.0,10.0,9.0,5.0,0.0,5.0,0,3.0,5.0,2.0,SerieA,2020-2021,150.0,55,967,360,273,192,218,68,521,35.4,478,489,0.01818181818181818,0.21212121212121204,0.006276150627615063,0.007326007326007326,0.0,0.013888888888888888,0.009596928982725527,0.0,0.0,4.237288135593221,4.274376111418458,0.3,0.27200575254481085
Weston McKennie,us USA,MF,Juventus,21,1998,18.9,34.0,19,9.0,20.0,5.0,12.0,33.0,36.4,21.0,21.0,3.0,18.0,28,62.0,26.0,0.0,SerieA,2020-2021,178.94736842105263,38,1024,390,323,244,242,80,581,39.7,566,458,0.02631578947368421,0.41353383458646603,0.06007067137809187,0.058823529411764705,0.0611353711790393,0.05384615384615385,0.04475043029259897,0.036885245901639344,0.08264462809917356,4.507490388439613,4.905646418548074,0.6,1.2171904647525293
Filippo Melegoni,it ITA,"MF,DF",Genoa,21,1999,4.3,7.0,6,2.0,5.0,0.0,3.0,6.0,50.0,3.0,5.0,0.0,5.0,5,12.0,8.0,0.0,SerieA,2020-2021,116.66666666666667,58,1075,437,309,293,197,65,785,39.8,555,520,0.017241379310344827,0.18883415435139567,0.012612612612612612,0.019417475728155338,0.009615384615384616,0.011441647597254004,0.01019108280254777,0.006825938566552901,0.025380710659898477,2.9313232830820772,3.026808135664483,0.8,0.4572518037457018
Arthur Melo,br BRA,MF,Juventus,23,1996,12.9,17.0,9,7.0,10.0,0.0,12.0,31.0,38.7,19.0,6.0,1.0,5.0,18,35.0,9.0,1.0,SerieA,2020-2021,188.88888888888889,38,1024,390,323,244,242,80,581,39.7,566,458,0.02631578947368421,0.41353383458646603,0.030035335689045935,0.02786377708978328,0.039301310043668124,0.015384615384615385,0.01549053356282272,0.028688524590163935,0.04132231404958678,4.757906521130702,4.955992931540388,0.6,1.2296824566979905
Alex Meret,it ITA,GK,Napoli,23,1997,22.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,5.0,0.0,SerieA,2020-2021,,41,943,381,345,280,213,81,532,40.5,574,369,0.024390243902439025,0.3658536585365853,0.0,0.0,0.0,0.0,0.009398496240601503,0.0,0.0,0.0,0.009398496240601503,0.5,0.0017192371171832015
Yıldırım Mert Çetin,tr TUR,DF,Hellas Verona,23,1997,4.6,8.0,4,3.0,5.0,0.0,2.0,6.0,33.3,4.0,7.0,5.0,2.0,14,22.0,11.0,1.0,SerieA,2020-2021,200.0,48,957,374,269,224,183,58,756,41.9,465,492,0.020833333333333332,0.27777777777777773,0.017204301075268817,0.01486988847583643,0.028455284552845527,0.01871657754010695,0.01455026455026455,0.013392857142857142,0.0273224043715847,4.773269689737471,4.907781267446235,1.0,1.3632725742906207
Petar Mićin,rs SRB,MF,Udinese,21,1998,0.2,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SerieA,2020-2021,,58,942,428,294,264,199,39,683,38.2,502,440,0.017241379310344827,0.18883415435139567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0
Valentin Mihaila,ro ROU,"FW,MF",Parma,20,2000,7.8,2.0,1,1.0,1.0,0.0,0.0,10.0,0.0,10.0,8.0,1.0,7.0,5,7.0,8.0,0.0,SerieA,2020-2021,200.0,83,1048,412,317,317,215,53,806,38.7,585,463,0.012048192771084338,0.06024096385542166,0.003418803418803419,0.0031545741324921135,0.01079913606911447,0.019417475728155338,0.009925558312655087,0.0031545741324921135,0.004651162790697674,5.167958656330749,5.22247994091516,0.44999999999999996,0.14157325141035063
Nikola Milenković,rs SRB,DF,Fiorentina,22,1997,33.7,49.0,29,33.0,14.0,2.0,21.0,33.0,63.6,12.0,42.0,33.0,9.0,44,93.0,122.0,1.0,SerieA,2020-2021,168.9655172413793,59,884,362,263,228,198,70,619,42.1,496,388,0.01694915254237288,0.1815980629539951,0.09879032258064516,0.11026615969581749,0.1134020618556701,0.11602209944751381,0.19709208400646203,0.14473684210526316,0.0707070707070707,4.013432713571955,4.8644493539703975,1.0,0.8833745800188371
Vanja Milinković-Savić,rs SRB,GK,Torino,23,1997,5.0,1.0,1,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0,1.0,1.0,3.0,SerieA,2020-2021,100.0,69,974,412,306,241,205,84,727,43.4,530,444,0.014492753623188406,0.12077294685990336,0.0018867924528301887,0.0032679738562091504,0.0,0.0,0.001375515818431912,0.004149377593360996,0.0,2.3041474654377883,2.3148271251586205,0.5,0.13978424668832248
Vincenzo Millico,it ITA,"FW,MF",Torino,19,2000,0.2,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SerieA,2020-2021,,69,974,412,306,241,205,84,727,43.4,530,444,0.014492753623188406,0.12077294685990336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44999999999999996,0.0
Nahuel Molina,ar ARG,DF,Udinese,22,1998,20.3,27.0,18,13.0,10.0,4.0,16.0,42.0,38.1,26.0,26.0,4.0,22.0,21,48.0,49.0,1.0,SerieA,2020-2021,150.0,58,942,428,294,264,199,39,683,38.2,502,440,0.017241379310344827,0.18883415435139567,0.053784860557768925,0.061224489795918366,0.04772727272727273,0.06074766355140187,0.07174231332357248,0.04924242424242424,0.05025125628140704,3.926701570680628,4.321421851160394,1.0,0.8160320408595158
Cristóbal Montiel,es ESP,"MF,FW",Fiorentina,20,2000,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SerieA,2020-2021,,59,884,362,263,228,198,70,619,42.1,496,388,0.01694915254237288,0.1815980629539951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44999999999999996,0.0
Raúl Moro,es ESP,FW,Lazio,17,2002,0.1,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SerieA,2020-2021,,55,1040,404,346,284,244,67,649,37.5,595,445,0.01818181818181818,0.21212121212121204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
Mert Müldür,tr TUR,DF,Sassuolo,21,1999,18.6,43.0,20,26.0,9.0,8.0,27.0,53.0,50.9,26.0,17.0,1.0,16.0,36,79.0,41.0,0.0,SerieA,2020-2021,215.0,56,954,383,310,276,164,88,629,44.4,528,426,0.017857142857142856,0.20408163265306117,0.08143939393939394,0.06451612903225806,0.08450704225352113,0.044386422976501305,0.06518282988871224,0.09420289855072464,0.054878048780487805,4.842342342342342,5.331455107763942,1.0,1.0880520628089674
Joakim Mæhle,dk DEN,DF,Atalanta,23,1997,13.5,18.0,10,7.0,5.0,6.0,8.0,19.0,42.1,11.0,17.0,2.0,15.0,11,29.0,5.0,0.0,SerieA,2020-2021,180.0,47,1122,421,343,252,256,98,484,44.8,606,516,0.02127659574468085,0.28875379939209717,0.0297029702970297,0.029154518950437316,0.02131782945736434,0.040380047505938245,0.010330578512396695,0.027777777777777776,0.01953125,4.017857142857143,4.196052115358087,1.0,1.211625990756894
M'Bala Nzola,ao ANG,FW,Spezia,23,1996,21.1,12.0,5,2.0,6.0,4.0,4.0,7.0,57.1,3.0,15.0,1.0,14.0,3,15.0,20.0,0.0,SerieA,2020-2021,240.0,72,962,364,320,264,223,81,551,42.9,568,394,0.013888888888888888,0.10582010582010576,0.02112676056338028,0.015625,0.007614213197969543,0.04120879120879121,0.036297640653357534,0.007575757575757576,0.026905829596412557,5.594405594405594,5.750759587201263,0.3,0.1825637964190876
Brian Oddei,it ITA,"FW,MF",Sassuolo,17,2002,0.5,2.0,1,1.0,1.0,0.0,2.0,3.0,66.7,1.0,1.0,0.0,1.0,0,2.0,1.0,0.0,SerieA,2020-2021,200.0,56,954,383,310,276,164,88,629,44.4,528,426,0.017857142857142856,0.20408163265306117,0.003787878787878788,0.0032258064516129032,0.0,0.0026109660574412533,0.001589825119236884,0.0036231884057971015,0.006097560975609756,4.504504504504505,4.5254397303020815,0.44999999999999996,0.4156016078848849
Jérôme Onguéné,cm CMR,DF,Genoa,22,1997,2.0,2.0,1,2.0,0.0,0.0,2.0,7.0,28.6,5.0,2.0,0.0,2.0,2,4.0,8.0,0.0,SerieA,2020-2021,200.0,58,1075,437,309,293,197,65,785,39.8,555,520,0.017241379310344827,0.18883415435139567,0.0036036036036036037,0.003236245954692557,0.0038461538461538464,0.004576659038901602,0.01019108280254777,0.006825938566552901,0.0,5.025125628140704,5.057405311953156,1.0,0.9550108552949306
Riccardo Orsolini,it ITA,"FW,MF",Bologna,23,1997,19.5,37.0,18,13.0,12.0,12.0,16.0,39.0,41.0,23.0,22.0,3.0,19.0,10,47.0,22.0,0.0,SerieA,2020-2021,205.55555555555554,65,966,452,313,273,186,83,740,38.8,542,424,0.015384615384615385,0.14285714285714285,0.06826568265682657,0.05750798722044728,0.02358490566037736,0.048672566371681415,0.02972972972972973,0.047619047619047616,0.06451612903225806,5.297823596792669,5.6377196450830365,0.44999999999999996,0.36242483432676653
Victor Osimhen,ng NGA,FW,Napoli,21,1998,17.5,22.0,15,2.0,6.0,14.0,3.0,15.0,20.0,12.0,6.0,0.0,6.0,7,29.0,10.0,0.0,SerieA,2020-2021,146.66666666666666,41,943,381,345,280,213,81,532,40.5,574,369,0.024390243902439025,0.3658536585365853,0.03832752613240418,0.043478260869565216,0.018970189701897018,0.015748031496062992,0.018796992481203006,0.007142857142857143,0.028169014084507043,3.6213991769547325,3.792032048863229,0.3,0.4161986395093787
Adam Ounas,dz ALG,"FW,MF",Crotone,23,1996,13.3,9.0,4,4.0,4.0,1.0,0.0,7.0,0.0,7.0,12.0,1.0,11.0,3,12.0,4.0,0.0,SerieA,2020-2021,225.0,92,920,406,311,288,196,56,748,40.5,540,380,0.010869565217391304,0.031055900621118016,0.016666666666666666,0.012861736334405145,0.007894736842105263,0.029556650246305417,0.0053475935828877,0.013888888888888888,0.02040816326530612,5.555555555555555,5.6621799913821205,0.44999999999999996,0.07912984460006069
Adam Ounas,dz ALG,"MF,FW",Cagliari,23,1996,3.4,3.0,2,3.0,0.0,0.0,0.0,11.0,0.0,11.0,5.0,0.0,5.0,3,6.0,0.0,0.0,SerieA,2020-2021,150.0,59,977,421,336,296,229,64,777,41.6,589,388,0.01694915254237288,0.1815980629539951,0.0050933786078098476,0.005952380952380952,0.007731958762886598,0.011876484560570071,0.0,0.010135135135135136,0.0,3.605769230769231,3.6465585687880133,0.44999999999999996,0.29799358764308814
Thomas Ouwejan,nl NED,DF,Udinese,23,1996,4.6,4.0,1,0.0,3.0,1.0,2.0,9.0,22.2,7.0,4.0,0.0,4.0,5,9.0,6.0,0.0,SerieA,2020-2021,400.0,58,942,428,294,264,199,39,683,38.2,502,440,0.017241379310344827,0.18883415435139567,0.00796812749003984,0.003401360544217687,0.011363636363636364,0.009345794392523364,0.008784773060029283,0.0,0.01507537688442211,10.471204188481675,10.527143257216544,1.0,1.987884194712483
Mattia Pagliuca,it ITA,MF,Bologna,18,2002,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,SerieA,2020-2021,,65,966,452,313,273,186,83,740,38.8,542,424,0.015384615384615385,0.14285714285714285,0.0,0.0,0.0023584905660377358,0.0,0.0,0.0,0.0,0.0,0.0023584905660377358,0.6,0.0002021563342318059
Antonio Palumbo,it ITA,MF,Sampdoria,23,1996,0.1,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SerieA,2020-2021,,54,1029,470,326,275,235,66,745,39.6,576,453,0.018518518518518517,0.22045855379188706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0
Martin Palumbo,no NOR,MF,Udinese,18,2002,0.7,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,5.0,0.0,5.0,1,1.0,0.0,0.0,SerieA,2020-2021,,58,942,428,294,264,199,39,683,38.2,502,440,0.017241379310344827,0.18883415435139567,0.0,0.0,0.0022727272727272726,0.011682242990654205,0.0,0.0,0.0,0.0,0.013954970263381477,0.6,0.0015811050052107086
Ivor Pandur,hr CRO,GK,Hellas Verona,20,2000,3.7,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SerieA,2020-2021,,48,957,374,269,224,183,58,756,41.9,465,492,0.020833333333333332,0.27777777777777773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Christian Pastina,it ITA,DF,Benevento,19,2001,1.3,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1,1.0,8.0,0.0,SerieA,2020-2021,,75,894,382,288,278,179,54,746,37.6,511,383,0.013333333333333334,0.09206349206349207,0.0,0.0,0.0026109660574412533,0.002617801047120419,0.010723860589812333,0.0,0.0,0.0,0.015952627694374007,1.0,0.001468654613132845
Luca Pellegrini,it ITA,"DF,MF",Genoa,21,1999,7.1,9.0,6,6.0,2.0,1.0,4.0,10.0,40.0,6.0,11.0,2.0,9.0,8,17.0,13.0,1.0,SerieA,2020-2021,150.0,58,1075,437,309,293,197,65,785,39.8,555,520,0.017241379310344827,0.18883415435139567,0.016216216216216217,0.019417475728155338,0.015384615384615385,0.02517162471395881,0.016560509554140127,0.020477815699658702,0.01015228426395939,3.7688442211055277,3.8922247626662316,0.8,0.5879879772829116
Pedro Pereira,pt POR,DF,Crotone,22,1998,28.3,50.0,32,29.0,17.0,4.0,21.0,40.0,52.5,19.0,33.0,11.0,22.0,19,69.0,61.0,0.0,SerieA,2020-2021,156.25,92,920,406,311,288,196,56,748,40.5,540,380,0.010869565217391304,0.031055900621118016,0.09259259259259259,0.10289389067524116,0.05,0.0812807881773399,0.08155080213903744,0.10069444444444445,0.08673469387755102,3.8580246913580245,4.453771903264231,1.0,0.1383158976169016
Carles Pérez,es ESP,"MF,FW",Roma,22,1998,8.6,9.0,4,3.0,6.0,0.0,6.0,31.0,19.4,25.0,9.0,0.0,9.0,6,15.0,1.0,0.0,SerieA,2020-2021,225.0,55,967,360,273,192,218,68,521,35.4,478,489,0.01818181818181818,0.21212121212121204,0.01882845188284519,0.014652014652014652,0.012269938650306749,0.025,0.0019193857965451055,0.015625,0.027522935779816515,6.3559322033898304,6.471749930151359,0.44999999999999996,0.6177579478780839
Matteo Pessina,it ITA,MF,Atalanta,23,1997,18.3,14.0,7,4.0,6.0,4.0,7.0,24.0,29.2,17.0,17.0,2.0,15.0,17,31.0,7.0,1.0,SerieA,2020-2021,200.0,47,1122,421,343,252,256,98,484,44.8,606,516,0.02127659574468085,0.28875379939209717,0.0231023102310231,0.02040816326530612,0.03294573643410853,0.040380047505938245,0.014462809917355372,0.015873015873015872,0.0234375,4.464285714285714,4.634895297512462,0.6,0.8030061761647728
Jens Petter Hauge,no NOR,FW,Milan,20,1999,5.9,7.0,4,3.0,3.0,1.0,6.0,10.0,60.0,4.0,4.0,0.0,4.0,1,8.0,3.0,0.0,SerieA,2020-2021,175.0,41,1009,435,357,299,257,71,732,45.6,627,382,0.024390243902439025,0.3658536585365853,0.011164274322169059,0.011204481792717087,0.002617801047120419,0.009195402298850575,0.004098360655737705,0.010033444816053512,0.011673151750972763,3.837719298245614,3.897706214929235,0.3,0.427797023589794
Giuseppe Pezzella,it ITA,DF,Parma,22,1997,20.3,34.0,19,23.0,9.0,2.0,22.0,41.0,53.7,19.0,22.0,9.0,13.0,12,46.0,52.0,3.0,SerieA,2020-2021,178.94736842105263,83,1048,412,317,317,215,53,806,38.7,585,463,0.012048192771084338,0.06024096385542166,0.05811965811965812,0.05993690851735016,0.02591792656587473,0.05339805825242718,0.06451612903225806,0.07255520504731862,0.04186046511627907,4.6239630082959335,5.0002673589471,1.0,0.30122092523777694
Roberto Piccoli,it ITA,FW,Spezia,19,2001,7.8,7.0,3,0.0,4.0,3.0,2.0,4.0,50.0,2.0,4.0,0.0,4.0,2,9.0,5.0,0.0,SerieA,2020-2021,233.33333333333334,72,962,364,320,264,223,81,551,42.9,568,394,0.013888888888888888,0.10582010582010576,0.01232394366197183,0.009375,0.005076142131979695,0.01098901098901099,0.009074410163339383,0.0,0.017937219730941704,5.439005439005439,5.503781165682683,0.3,0.17472321160897394
Andrea Pinamonti,it ITA,FW,Inter,21,1999,1.9,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,1,1.0,2.0,0.0,SerieA,2020-2021,,35,877,383,286,214,206,86,582,40.4,506,371,0.02857142857142857,0.4693877551020407,0.0,0.0,0.0026954177897574125,0.0026109660574412533,0.003436426116838488,0.0,0.0,0.0,0.008742809964037153,0.3,0.0012311303826909458
Tommaso Pobega,it ITA,MF,Spezia,21,1999,13.7,24.0,13,7.0,13.0,4.0,11.0,31.0,35.5,20.0,10.0,2.0,8.0,9,33.0,22.0,0.0,SerieA,2020-2021,184.6153846153846,72,962,364,320,264,223,81,551,42.9,568,394,0.013888888888888888,0.10582010582010576,0.04225352112676056,0.040625,0.02284263959390863,0.027472527472527472,0.039927404718693285,0.026515151515151516,0.05829596412556054,4.303388918773535,4.561321127326137,0.6,0.28960769062388153
Manolo Portanova,it ITA,"MF,FW",Genoa,20,2000,0.7,3.0,3,1.0,1.0,1.0,0.0,2.0,0.0,2.0,3.0,1.0,2.0,1,4.0,2.0,0.0,SerieA,2020-2021,100.0,58,1075,437,309,293,197,65,785,39.8,555,520,0.017241379310344827,0.18883415435139567,0.005405405405405406,0.009708737864077669,0.0019230769230769232,0.006864988558352402,0.0025477707006369425,0.0034129692832764505,0.005076142131979695,2.512562814070352,2.5475019049371577,0.44999999999999996,0.21647491556731996
Manolo Portanova,it ITA,MF,Juventus,20,2000,0.8,2.0,0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,1.0,3.0,0,2.0,1.0,0.0,SerieA,2020-2021,inf,38,1024,390,323,244,242,80,581,39.7,566,458,0.02631578947368421,0.41353383458646603,0.0035335689045936395,0.0,0.0,0.010256410256410256,0.0017211703958691911,0.00819672131147541,0.0,0.0,0.023707870868348496,0.6,0.005882404050041355
Simone Rabbi,it ITA,"FW,DF",Bologna,18,2001,0.4,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SerieA,2020-2021,,65,966,452,313,273,186,83,740,38.8,542,424,0.015384615384615385,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0
Ionuț Radu,ro ROU,GK,Inter,23,1997,1.5,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,SerieA,2020-2021,,35,877,383,286,214,206,86,582,40.4,506,371,0.02857142857142857,0.4693877551020407,0.0,0.0,0.0,0.0,0.001718213058419244,0.0,0.0,0.0,0.001718213058419244,0.5,0.0004032540851392102
Antonio Raimondo,it ITA,FW,Bologna,16,2004,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SerieA,2020-2021,,65,966,452,313,273,186,83,740,38.8,542,424,0.015384615384615385,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
Giacomo Raspadori,it ITA,"FW,MF",Sassuolo,20,2000,13.7,5.0,3,1.0,1.0,3.0,0.0,4.0,0.0,4.0,13.0,5.0,8.0,2,7.0,9.0,0.0,SerieA,2020-2021,166.66666666666669,56,954,383,310,276,164,88,629,44.4,528,426,0.017857142857142856,0.20408163265306117,0.00946969696969697,0.00967741935483871,0.004694835680751174,0.033942558746736295,0.014308426073131956,0.0036231884057971015,0.006097560975609756,3.753753753753754,3.8355674399603163,0.44999999999999996,0.35224598938411056
