Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Source_League,Season,Tackles %,keeper_GA,defense_Tkl+Int,defense_Blocks,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Clr,defense_Tkl%,defense_Tkl,defense_Int,Team_Def_Score,Team_Def_Score_Norm,Tackles_Contribution,Tackles Won_Contribution,Interceptions_Contribution,Blocks_Contribution,Clearances_Contribution,Tackles (Def 3rd)_Contribution,Tackles (Mid 3rd)_Contribution,Tackles %_Contribution,Total_Player_Contribution,Role_Adjustment,Final_Contribution_Index
Leon Bailey,jm JAM,"FW,MF",Leverkusen,22,1997,23.8,14.0,8,3.0,7.0,4.0,4.0,15.0,26.7,11.0,13.0,0.0,13.0,9,23.0,3.0,0.0,Bundesliga,2020-2021,175.0,39,822,368,282,209,238,53,481,42.8,500,322,0.02564102564102564,0.3968253968253967,0.028,0.028368794326241134,0.027950310559006212,0.035326086956521736,0.006237006237006237,0.014354066985645933,0.029411764705882353,4.088785046728972,4.258433076499276,0.44999999999999996,0.760434477946299
Ridle Baku,de GER,"FW,DF",Wolfsburg,22,1998,29.8,50.0,31,20.0,20.0,10.0,22.0,53.0,41.5,31.0,54.0,4.0,50.0,40,90.0,33.0,1.0,Bundesliga,2020-2021,161.29032258064515,37,1071,465,363,271,256,67,700,45.2,594,477,0.02702702702702703,0.4311454311454311,0.08417508417508418,0.08539944903581267,0.08385744234800839,0.11612903225806452,0.047142857142857146,0.07380073800738007,0.078125,3.568369968598344,4.136999571565551,0.65,1.1593715015552104
Ridle Baku,de GER,DF,Mainz 05,22,1998,2.0,4.0,2,3.0,1.0,0.0,2.0,6.0,33.3,4.0,3.0,1.0,2.0,3,7.0,6.0,0.0,Bundesliga,2020-2021,200.0,56,1093,419,364,266,239,88,662,44.9,593,500,0.017857142857142856,0.20408163265306117,0.006745362563237774,0.005494505494505495,0.006,0.007159904534606206,0.00906344410876133,0.011278195488721804,0.0041841004184100415,4.4543429844097995,4.504268497018042,1.0,0.9192384687791921
Aymen Barkok,ma MAR,"MF,DF",Eint Frankfurt,22,1998,10.9,29.0,15,11.0,9.0,9.0,10.0,31.0,32.3,21.0,15.0,1.0,14.0,10,39.0,9.0,1.0,Bundesliga,2020-2021,193.33333333333334,53,1022,371,352,273,245,76,594,44.1,594,428,0.018867924528301886,0.22911051212938,0.04882154882154882,0.04261363636363636,0.02336448598130841,0.04043126684636118,0.015151515151515152,0.040293040293040296,0.036734693877551024,4.3839758125472414,4.631385999882203,0.8,0.8488793746414818
Leandro Barreiro Martins,lu LUX,MF,Mainz 05,20,2000,25.6,58.0,32,19.0,26.0,13.0,20.0,50.0,40.0,30.0,34.0,9.0,25.0,57,115.0,55.0,0.0,Bundesliga,2020-2021,181.25,56,1093,419,364,266,239,88,662,44.9,593,500,0.017857142857142856,0.20408163265306117,0.09780775716694773,0.08791208791208792,0.114,0.081145584725537,0.08308157099697885,0.07142857142857142,0.1087866108786611,4.036748329621381,4.680910512730165,0.6,0.5731727158445098
Christoph Baumgartner,at AUT,"MF,FW",Hoffenheim,20,1999,26.3,44.0,31,13.0,24.0,7.0,14.0,51.0,27.5,37.0,40.0,8.0,32.0,24,68.0,24.0,0.0,Bundesliga,2020-2021,141.93548387096774,54,939,370,296,229,204,75,619,42.5,508,431,0.018518518518518517,0.22045855379188706,0.08661417322834646,0.10472972972972973,0.05568445475638051,0.10810810810810811,0.03877221324717286,0.056768558951965066,0.11764705882352941,3.3396584440227706,3.9079827408680026,0.44999999999999996,0.38769670048293664
Noah Joel Sarenren Bazee,ng NGA,"FW,MF",Augsburg,23,1996,0.4,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,1.0,0.0,0.0,Bundesliga,2020-2021,,54,963,395,308,251,211,47,852,40.0,509,454,0.018518518518518517,0.22045855379188706,0.0,0.0,0.0022026431718061676,0.0,0.0,0.0,0.0,0.0,0.0022026431718061676,0.44999999999999996,0.0002185161876791832
Timo Becker,de GER,DF,Schalke 04,23,1997,18.2,34.0,23,28.0,6.0,0.0,16.0,25.0,64.0,9.0,18.0,4.0,14.0,22,56.0,58.0,0.0,Bundesliga,2020-2021,147.82608695652172,86,963,437,337,283,224,45,693,37.2,552,411,0.011627906976744186,0.04983388704318936,0.06159420289855073,0.06824925816023739,0.0535279805352798,0.041189931350114416,0.0836940836940837,0.0989399293286219,0.026785714285714284,3.9738195418419813,4.407800642094584,1.0,0.21965783930703903
Maximilian Beier,de GER,"FW,DF",Hoffenheim,17,2002,0.1,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Bundesliga,2020-2021,,54,939,370,296,229,204,75,619,42.5,508,431,0.018518518518518517,0.22045855379188706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0
Jude Bellingham,eng ENG,MF,Dortmund,17,2003,18.9,49.0,31,11.0,29.0,9.0,19.0,46.0,41.3,27.0,37.0,5.0,32.0,24,73.0,13.0,0.0,Bundesliga,2020-2021,158.06451612903226,46,929,379,318,221,210,85,472,45.0,516,413,0.021739130434782608,0.3002070393374741,0.09496124031007752,0.09748427672955975,0.05811138014527845,0.09762532981530343,0.02754237288135593,0.049773755656108594,0.1380952380952381,3.5125448028673834,4.076138396500305,0.6,0.7342112639658933
