Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
Trustin van 't Loo,nl NED,FW,Heerenveen,17,2004,1,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Zakaria Aboukhlal,ma MAR,"MF,FW",AZ Alkmaar,21,2000,31,5,815,9.1,4,1,5,4,0,0,1,0,0.44,0.11,0.55,0.44,0.55
Paulos Abraham,se SWE,"MF,FW",Groningen,19,2002,29,16,"1,353",15.0,0,2,2,0,0,0,2,0,0.00,0.13,0.13,0.00,0.13
Shawn Adewoye,be BEL,DF,RKC Waalwijk,21,2000,22,18,"1,717",19.1,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00
Luka Adžić,rs SRB,"FW,MF",Zwolle,22,1998,16,7,725,8.1,0,1,1,0,0,0,0,0,0.00,0.12,0.12,0.00,0.12
Ali Akman,tr TUR,FW,NEC Nijmegen,19,2002,28,19,"1,569",17.4,6,0,6,6,0,0,1,1,0.34,0.00,0.34,0.34,0.34
Hamdi Akujobi,nl NED,MF,Heerenveen,21,2000,5,1,142,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Pontus Almqvist,se SWE,FW,Utrecht,22,1999,7,2,258,2.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Edson Álvarez,mx MEX,MF,Ajax,23,1997,31,28,"2,331",25.9,5,1,6,5,0,0,5,0,0.19,0.04,0.23,0.19,0.23
Mohamed Amissi,bi BDI,MF,Heracles Almelo,20,2000,8,1,129,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Antony,br BRA,"MF,FW",Ajax,21,2000,23,21,"1,724",19.2,8,4,12,8,0,0,5,1,0.42,0.21,0.63,0.42,0.63
Sebbe Augustijns,be BEL,MF,RKC Waalwijk,21,1999,4,1,145,1.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Aventis Aventisian,am ARM,DF,Go Ahead Eag,18,2002,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
