Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG
Bobby Adekanye,nl NED,"MF,DF",Crotone,22,1999,4,0,75,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,4,4,6,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09
Claud Adjapong,it ITA,DF,US Reggina,23,1998,20,13,"1,267",14.1,0,1,1,0,0,0,3,0,0.7,0.7,0.5,1.1,23,37,41,0.00,0.07,0.07,0.00,0.07,0.05,0.03,0.08,0.05,0.08
Tommaso Aglietti,it ITA,GK,US Reggina,21,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Filippo Alessio,it ITA,"FW,MF",Vicenza Virtus,16,2004,3,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bruno Amione,ar ARG,DF,US Reggina,19,2002,16,13,"1,211",13.5,0,0,0,0,0,0,5,0,0.4,0.4,0.0,0.4,3,14,3,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
Lorenzo Andreoli,it ITA,MF,Brescia,20,2001,3,1,123,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0,9,0,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04
Mirko Antonucci,it ITA,"MF,FW",Cittadella,22,1999,36,30,"2,275",25.3,3,7,10,3,0,1,6,0,4.5,3.7,3.5,7.2,61,64,185,0.12,0.28,0.40,0.12,0.40,0.18,0.14,0.32,0.15,0.28
Valentin Antov,bg BUL,DF,Monza,20,2000,6,3,297,3.3,0,1,1,0,0,0,1,0,0.1,0.1,0.0,0.2,4,5,0,0.00,0.30,0.30,0.00,0.30,0.03,0.01,0.05,0.03,0.05
Alessandro Arioli,it ITA,MF,Cosenza,18,2003,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Raúl Asencio,es ESP,"FW,MF",Lecce,23,1998,5,0,54,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.24,0.00,0.24
