Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Source_League
Alessandro Albanese,be BEL,"MF,FW",Oostende,21,2000,3.6,,8,,,,,,,,,,,2,,,,BelgianProLeague
Alfonso,mz MOZ,MF,Oostende,21,1999,12.3,,19,,,,,,,,,,,26,,,,BelgianProLeague
Arthur Allemeersch,be BEL,FW,OH Leuven,20,2001,1.4,,2,,,,,,,,,,,0,,,,BelgianProLeague
Teddy Alloh,fr FRA,"MF,DF",Eupen,19,2002,7.6,,13,,,,,,,,,,,10,,,,BelgianProLeague
Mohammed Amine Essahel,ma MAR,MF,Eupen,18,2003,0.2,,0,,,,,,,,,,,1,,,,BelgianProLeague
Francis Amuzu,be BEL,"MF,FW",Anderlecht,21,1999,12.7,,11,,,,,,,,,,,8,,,,BelgianProLeague
Stelios Andreou,cy CYP,DF,Charleroi,19,2002,23.9,,15,,,,,,,,,,,46,,,,BelgianProLeague
Kristian Arnstad,no NOR,MF,Anderlecht,17,2003,0.2,,1,,,,,,,,,,,1,,,,BelgianProLeague
Gerardo Arteaga,mx MEX,DF,Genk,22,1998,24.5,,26,,,,,,,,,,,42,,,,BelgianProLeague
Majeed Ashimeru,gh GHA,MF,Anderlecht,23,1997,12.5,,27,,,,,,,,,,,15,,,,BelgianProLeague
Muhammed Badamosi,gm GAM,FW,Kortrijk,22,1998,13.3,,4,,,,,,,,,,,1,,,,BelgianProLeague
Youssouph Badji,sn SEN,FW,Charleroi,19,2001,6.1,,2,,,,,,,,,,,4,,,,BelgianProLeague
Michel-Ange Balikwisha,be BEL,"FW,MF",Antwerp,20,2001,19.5,,26,,,,,,,,,,,15,,,,BelgianProLeague
Nelson Balongo,,FW,Sint-Truiden,22,1999,2.7,,0,,,,,,,,,,,1,,,,BelgianProLeague
Jelle Bataille,be BEL,"DF,MF",Antwerp,22,1999,18.0,,43,,,,,,,,,,,31,,,,BelgianProLeague
Nick Bätzner,de GER,"MF,FW",Oostende,21,2000,21.4,,40,,,,,,,,,,,19,,,,BelgianProLeague
Yassine Ben Hamed,fr FRA,DF,Antwerp,18,2003,0.2,,0,,,,,,,,,,,0,,,,BelgianProLeague
Amine Benchaib,ma MAR,MF,Charleroi,23,1998,1.4,,4,,,,,,,,,,,1,,,,BelgianProLeague
Amine Benchaib,ma MAR,MF,Kortrijk,23,1998,1.9,,5,,,,,,,,,,,0,,,,BelgianProLeague
Tsotne Bendianishvili,ge GEO,MF,Kortrijk,18,2002,0.0,,0,,,,,,,,,,,0,,,,BelgianProLeague
Antoine Bernier,be BEL,"MF,FW",R.F.C. Seraing,23,1997,20.8,,23,,,,,,,,,,,13,,,,BelgianProLeague
Loïc Bessile,tg TOG,DF,Charleroi,22,1999,13.1,,15,,,,,,,,,,,25,,,,BelgianProLeague
Arnaud Bodart,be BEL,GK,Standard Liège,23,1998,25.0,,4,,,,,,,,,,,1,,,,BelgianProLeague
Indy Boonen,be BEL,MF,Oostende,22,1999,2.8,,5,,,,,,,,,,,1,,,,BelgianProLeague
Tajon Buchanan,ca CAN,MF,Club Brugge,22,1999,8.1,,11,,,,,,,,,,,5,,,,BelgianProLeague
Liberato Cacace,nz NZL,MF,Sint-Truiden,20,2000,16.5,,31,,,,,,,,,,,17,,,,BelgianProLeague
Mathieu Cachbach,be BEL,MF,R.F.C. Seraing,20,2001,7.9,,15,,,,,,,,,,,5,,,,BelgianProLeague
Moisés Caicedo,ec ECU,MF,Beerschot,19,2001,8.4,,12,,,,,,,,,,,8,,,,BelgianProLeague
Alexandro Calut,be BEL,"DF,MF",Standard Liège,18,2003,7.4,,9,,,,,,,,,,,12,,,,BelgianProLeague
Cihan Çanak,tr TUR,MF,Standard Liège,16,2005,0.7,,0,,,,,,,,,,,0,,,,BelgianProLeague
Giorgi Chakvetadze,ge GEO,"MF,FW",Gent,21,1999,3.2,,5,,,,,,,,,,,4,,,,BelgianProLeague
Ismaila Cheick Coulibaly,ml MLI,MF,Beerschot,20,2000,11.8,,28,,,,,,,,,,,15,,,,BelgianProLeague
Ibrahima Cissé,ml MLI,DF,Gent,20,2001,0.1,,0,,,,,,,,,,,0,,,,BelgianProLeague
Gaëtan Coucke,be BEL,GK,Mechelen,22,1998,29.7,,1,,,,,,,,,,,0,,,,BelgianProLeague
Carlos Cuesta,co COL,DF,Genk,22,1999,12.6,,13,,,,,,,,,,,27,,,,BelgianProLeague
Robbie D'Haese,be BEL,"MF,FW",Oostende,22,1999,11.7,,13,,,,,,,,,,,14,,,,BelgianProLeague
Ameen Al-Dakhil,be BEL,DF,Standard Liège,19,2002,10.3,,7,,,,,,,,,,,16,,,,BelgianProLeague
Ameen Al-Dakhil,be BEL,DF,Sint-Truiden,19,2002,6.2,,7,,,,,,,,,,,13,,,,BelgianProLeague
Jesper Daland,no NOR,DF,Cercle Brugge,21,2000,30.3,,24,,,,,,,,,,,33,,,,BelgianProLeague
Wout De Buyser,be BEL,DF,Zulte Waregem,20,2001,0.7,,0,,,,,,,,,,,1,,,,BelgianProLeague
Charles De Ketelaere,be BEL,"FW,MF",Club Brugge,20,2001,30.3,,23,,,,,,,,,,,15,,,,BelgianProLeague
Dion De Neve,be BEL,"MF,FW",Zulte Waregem,19,2002,8.2,,19,,,,,,,,,,,8,,,,BelgianProLeague
Rousseau De Poorter,ht HAI,FW,Zulte Waregem,19,2001,0.0,,0,,,,,,,,,,,0,,,,BelgianProLeague
Thibault De Smet,be BEL,"MF,DF",Beerschot,23,1998,16.6,,25,,,,,,,,,,,27,,,,BelgianProLeague
Zeno Debast,be BEL,DF,Anderlecht,17,2003,4.3,,4,,,,,,,,,,,5,,,,BelgianProLeague
Robbe Decostere,be BEL,"DF,MF",Cercle Brugge,23,1998,13.7,,20,,,,,,,,,,,17,,,,BelgianProLeague
Hannes Delcroix,be BEL,DF,Anderlecht,22,1999,3.3,,2,,,,,,,,,,,2,,,,BelgianProLeague
Mathias Delorge,be BEL,MF,Sint-Truiden,17,2004,0.1,,0,,,,,,,,,,,0,,,,BelgianProLeague
Maxim Deman,be BEL,GK,Kortrijk,19,2001,1.0,,0,,,,,,,,,,,0,,,,BelgianProLeague
Olivier Deman,be BEL,"FW,MF",Cercle Brugge,21,2000,20.9,,32,,,,,,,,,,,17,,,,BelgianProLeague
Bas van den Eynden,be BEL,MF,Mechelen,19,2002,0.1,,1,,,,,,,,,,,0,,,,BelgianProLeague
Kévin Denkey,tg TOG,FW,Cercle Brugge,20,2000,14.3,,14,,,,,,,,,,,6,,,,BelgianProLeague
Jerome Deom,be BEL,"MF,FW",Eupen,22,1999,12.3,,15,,,,,,,,,,,15,,,,BelgianProLeague
Anthony Descotte,be BEL,FW,Charleroi,17,2003,1.9,,3,,,,,,,,,,,0,,,,BelgianProLeague
Guillaume Dietsch,fr FRA,GK,R.F.C. Seraing,20,2001,32.9,,0,,,,,,,,,,,2,,,,BelgianProLeague
Rayan Djédjé,fr FRA,MF,R.F.C. Seraing,20,2001,2.2,,4,,,,,,,,,,,7,,,,BelgianProLeague
Romain Donnez,be BEL,DF,Charleroi,18,2003,0.0,,0,,,,,,,,,,,1,,,,BelgianProLeague
Arnaud Dony,be BEL,"MF,DF",Sint-Truiden,17,2004,1.9,,2,,,,,,,,,,,1,,,,BelgianProLeague
Maidine Douane,fr FRA,MF,R.F.C. Seraing,18,2002,0.8,,1,,,,,,,,,,,0,,,,BelgianProLeague
Idrissa Doumbia,ci CIV,MF,Zulte Waregem,23,1998,13.2,,12,,,,,,,,,,,15,,,,BelgianProLeague
Denis Drăguș,ro ROU,FW,Standard Liège,22,1999,13.0,,20,,,,,,,,,,,8,,,,BelgianProLeague
Rick van Drongelen,nl NED,DF,Mechelen,22,1998,5.4,,3,,,,,,,,,,,6,,,,BelgianProLeague
Ferdy Druijf,nl NED,FW,Mechelen,23,1998,6.4,,4,,,,,,,,,,,0,,,,BelgianProLeague
Olivier Dumont,be BEL,MF,Standard Liège,19,2002,0.2,,0,,,,,,,,,,,0,,,,BelgianProLeague
Kyle Duncan,us USA,MF,Oostende,23,1997,5.9,,12,,,,,,,,,,,16,,,,BelgianProLeague
Chris Durkin,us USA,MF,Sint-Truiden,21,2000,16.7,,21,,,,,,,,,,,18,,,,BelgianProLeague
Pierre Dwomoh,be BEL,MF,Antwerp,17,2004,2.3,,4,,,,,,,,,,,3,,,,BelgianProLeague
Aron Dønnum,no NOR,"MF,FW",Standard Liège,23,1998,15.9,,10,,,,,,,,,,,10,,,,BelgianProLeague
Johannes Eggestein,de GER,FW,Antwerp,23,1998,2.9,,3,,,,,,,,,,,1,,,,BelgianProLeague
Carel Eiting,nl NED,"MF,DF",Genk,23,1998,8.6,,15,,,,,,,,,,,6,,,,BelgianProLeague
Emanuel Emegha,nl NED,FW,Antwerp,18,2003,0.2,,0,,,,,,,,,,,0,,,,BelgianProLeague
Alieu Fadera,gm GAM,"MF,FW",Zulte Waregem,19,2001,7.2,,18,,,,,,,,,,,7,,,,BelgianProLeague
Fabio Ferraro,be BEL,MF,Charleroi,18,2002,0.2,,0,,,,,,,,,,,0,,,,BelgianProLeague
Timothy Galje,be BEL,GK,R.F.C. Seraing,20,2001,1.0,,0,,,,,,,,,,,0,,,,BelgianProLeague
Jay-Dee Geusens,be BEL,MF,Genk,19,2002,0.0,,0,,,,,,,,,,,0,,,,BelgianProLeague
Brahim Ghalidi,be BEL,FW,Standard Liège,16,2005,0.3,,0,,,,,,,,,,,0,,,,BelgianProLeague
Jo Gilis,be BEL,MF,OH Leuven,21,2000,0.1,,0,,,,,,,,,,,0,,,,BelgianProLeague
Silas Gnaka,ci CIV,"DF,MF",Eupen,22,1998,11.7,,4,,,,,,,,,,,32,,,,BelgianProLeague
Sergio Gómez,es ESP,DF,Anderlecht,20,2000,33.1,,32,,,,,,,,,,,53,,,,BelgianProLeague
Makhtar Gueye,sn SEN,FW,Oostende,23,1997,24.3,,13,,,,,,,,,,,3,,,,BelgianProLeague
Pape Habib Guèye,sn SEN,FW,Kortrijk,21,1999,11.2,,6,,,,,,,,,,,1,,,,BelgianProLeague
Anouar Ait El Hadj,be BEL,MF,Anderlecht,19,2002,9.6,,10,,,,,,,,,,,5,,,,BelgianProLeague
Taichi Hara,jp JPN,FW,Sint-Truiden,22,1999,21.9,,6,,,,,,,,,,,4,,,,BelgianProLeague
Taylor Harwood-Bellis,eng ENG,DF,Anderlecht,19,2002,12.2,,5,,,,,,,,,,,22,,,,BelgianProLeague
Daiki Hashioka,jp JPN,MF,Sint-Truiden,22,1999,25.7,,24,,,,,,,,,,,29,,,,BelgianProLeague
Jesaja Herrmann,de GER,FW,Kortrijk,21,2000,2.9,,2,,,,,,,,,,,0,,,,BelgianProLeague
Daan Heymans,be BEL,MF,Charleroi,22,1999,6.8,,7,,,,,,,,,,,7,,,,BelgianProLeague
Cameron Humphreys,eng ENG,DF,Zulte Waregem,22,1998,23.4,,21,,,,,,,,,,,21,,,,BelgianProLeague
Marko Ilić,rs SRB,GK,Kortrijk,23,1998,32.0,,0,,,,,,,,,,,0,,,,BelgianProLeague
Frederik Jäkel,de GER,DF,Oostende,20,2001,24.5,,17,,,,,,,,,,,53,,,,BelgianProLeague
Ablie Jallow,gm GAM,"FW,MF",R.F.C. Seraing,22,1998,20.7,,20,,,,,,,,,,,11,,,,BelgianProLeague
Kelvin John,tz TAN,MF,Genk,18,2003,0.1,,0,,,,,,,,,,,0,,,,BelgianProLeague
Abdelkahar Kadri,dz ALG,MF,Kortrijk,21,2000,16.0,,23,,,,,,,,,,,17,,,,BelgianProLeague
Marco Kana,be BEL,"MF,DF",Anderlecht,18,2002,0.8,,1,,,,,,,,,,,1,,,,BelgianProLeague
Ismaël Kandouss,ma MAR,DF,Union SG,23,1997,27.8,,27,,,,,,,,,,,58,,,,BelgianProLeague
Franck Kanouté,sn SEN,MF,Cercle Brugge,22,1998,2.6,,3,,,,,,,,,,,4,,,,BelgianProLeague
Edo Kayembe,cd COD,MF,Eupen,23,1998,16.3,,15,,,,,,,,,,,15,,,,BelgianProLeague
