Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
Gonzalo Abrego,ar ARG,MF,Godoy Cruz,22,2000,24,24,"1,699",18.9,2,2,4,2,0,0,2,0,0.11,0.11,0.21,0.11,0.21
Brian Aguilar,ar ARG,DF,Lanús,18,2003,5,1,122,1.4,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00
Braian Aguirre,ar ARG,"DF,MF",Lanús,21,2000,16,16,"1,413",15.7,2,0,2,2,0,0,7,0,0.13,0.00,0.13,0.13,0.13
Brian Aguirre,ar ARG,"MF,FW",Newell's OB,18,2003,8,8,691,7.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Manuel Agustín Duarte,ar ARG,MF,Defensa y Just,20,2001,21,14,"1,185",13.2,2,1,3,2,0,0,1,0,0.15,0.08,0.23,0.15,0.23
Carlos Alcaraz,ar ARG,MF,Racing Club,19,2002,19,10,"1,019",11.3,3,0,3,3,0,0,1,1,0.26,0.00,0.26,0.26,0.26
Brian Alexis Leizza,ar ARG,DF,Tigre,21,2000,11,8,770,8.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Tadeo Allende,ar ARG,MF,Godoy Cruz,22,1999,27,14,"1,405",15.6,3,1,4,3,0,0,2,0,0.19,0.06,0.26,0.19,0.26
Facundo Almada,ar ARG,DF,Rosario Central,23,1998,19,18,"1,594",17.7,2,0,2,2,0,0,4,0,0.11,0.00,0.11,0.11,0.11
Francisco Álvarez,ar ARG,DF,Patronato,21,2000,14,10,803,8.9,1,0,1,1,0,0,4,1,0.11,0.00,0.11,0.11,0.11
Julián Álvarez,ar ARG,FW,River Plate,22,2000,5,4,391,4.3,3,2,5,3,0,0,0,0,0.69,0.46,1.15,0.69,1.15
Gonzalo Álvez,ar ARG,FW,Talleres,18,2003,7,3,336,3.7,2,1,3,2,0,0,1,0,0.54,0.27,0.80,0.54,0.80
Abel Amaya,ar ARG,MF,Banfield,19,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Fabián Ángel,co COL,MF,Newell's OB,21,2001,1,0,23,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Alejo Antilef,ar ARG,"MF,FW",Arsenal,23,1998,11,2,228,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Gabriel Aranda,ar ARG,DF,Boca Juniors,20,2001,5,5,450,5.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Pablo Argañaraz,ar ARG,FW,Cen. Córdoba–SdE,23,1998,1,1,69,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Joaquín Ariel Novillo,ar ARG,DF,Colón,23,1998,8,6,582,6.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Blas Armoa,py PAR,"MF,FW",Tigre,21,2000,16,8,660,7.3,8,0,8,8,0,0,0,0,1.09,0.00,1.09,1.09,1.09
Martin Aruga,ar ARG,MF,Patronato,23,1998,1,0,34,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Julián Aude,ar ARG,DF,Lanús,18,2003,13,12,927,10.3,0,1,1,0,0,0,4,2,0.00,0.10,0.10,0.00,0.10
Gastón Ávila,ar ARG,DF,Boca Juniors,20,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Tomás Badaloni,ar ARG,FW,Godoy Cruz,21,2000,21,6,636,7.1,2,0,2,2,0,0,3,0,0.28,0.00,0.28,0.28,0.28
Andrés Balanta,co COL,MF,Atlé Tucumán,22,2000,7,0,74,0.8,0,1,1,0,0,0,1,0,0.00,1.22,1.22,0.00,1.22
Franco Baldassarra,ar ARG,MF,Platense,23,1998,9,5,499,5.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Agustín Baldi,ar ARG,MF,Tigre,19,2002,13,1,217,2.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Guillermo Balzi,ar ARG,MF,Newell's OB,20,2001,18,9,704,7.8,1,0,1,1,0,0,2,1,0.13,0.00,0.13,0.13,0.13
Tiago Banega,ar ARG,MF,Patronato,22,1999,14,7,691,7.7,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00
Brandon Barbas,ar ARG,MF,Platense,20,2001,1,0,12,0.1,0,1,1,0,0,0,0,0,0.00,7.50,7.50,0.00,7.50
Ezequiel Barco,ar ARG,"MF,FW",River Plate,22,1999,24,12,"1,221",13.6,1,2,3,1,0,0,3,0,0.07,0.15,0.22,0.07,0.22
Juan Barinaga,ar ARG,MF,Patronato,21,2000,11,3,317,3.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
José Barreto,ar ARG,FW,Patronato,21,2000,1,1,63,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Sergio Barreto,ar ARG,DF,Independiente,22,1999,25,25,"2,228",24.8,0,3,3,0,0,0,10,0,0.00,0.12,0.12,0.00,0.12
Nahuel Barrios,ar ARG,"FW,MF",San Lorenzo,23,1998,25,18,"1,342",14.9,2,3,5,2,0,0,1,0,0.13,0.20,0.34,0.13,0.34
Enmerson Batalla,co COL,"FW,MF",Patronato,20,2001,2,0,64,0.7,1,0,1,1,0,0,0,0,1.41,0.00,1.41,1.41,1.41
Matías Bazzo,ar ARG,DF,Gimnasia–LP,20,2001,1,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Tomás Belmonte,ar ARG,MF,Lanús,23,1998,17,17,"1,467",16.3,0,3,3,0,0,0,5,0,0.00,0.18,0.18,0.00,0.18
Lucas Beltrán,ar ARG,FW,Colón,20,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Lucas Beltrán,ar ARG,FW,River Plate,20,2001,21,15,"1,190",13.2,4,3,7,4,0,0,1,0,0.30,0.23,0.53,0.30,0.53
Marcos Benítez,ar ARG,MF,Newell's OB,20,2001,1,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Alexandro Bernabei,ar ARG,DF,Lanús,21,2000,1,1,68,0.8,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00
Lucas Besozzi,ar ARG,MF,Cen. Córdoba–SdE,19,2003,15,2,387,4.3,0,1,1,0,0,0,0,0,0.00,0.23,0.23,0.00,0.23
Lautaro Blanco,ar ARG,"DF,MF",Rosario Central,22,1999,25,25,"2,250",25.0,0,5,5,0,0,0,6,0,0.00,0.20,0.20,0.00,0.20
Luciano Boggio,it ITA,MF,Lanús,22,1999,16,12,"1,091",12.1,0,3,3,0,0,0,2,0,0.00,0.25,0.25,0.00,0.25
Julián Brea,ar ARG,MF,Sarmiento,22,1999,22,5,688,7.6,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Elías Brítez,ar ARG,MF,Aldosivi,20,2001,8,3,378,4.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Lucas Brochero,ar ARG,MF,Arsenal,23,1999,17,2,416,4.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Nahuel Brunet,ar ARG,DF,Godoy Cruz,21,2000,2,0,27,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Leonel Bucca,ar ARG,MF,Unión,22,1999,7,4,297,3.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Ezequiel Bullaude,ar ARG,"MF,FW",Godoy Cruz,21,2000,14,14,"1,079",12.0,0,2,2,0,0,0,0,0,0.00,0.17,0.17,0.00,0.17
Facundo Buonanotte,ar ARG,"MF,FW",Rosario Central,17,2004,24,19,"1,825",20.3,4,3,7,4,0,0,5,0,0.20,0.15,0.35,0.20,0.35
Valentín Burgoa,ar ARG,"MF,FW",Godoy Cruz,22,2000,15,8,592,6.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Abel Bustos,ar ARG,MF,Cen. Córdoba–SdE,22,1999,2,0,67,0.7,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00
Rodrigo Cabral,ar ARG,"MF,FW",Huracán,21,2000,22,17,"1,397",15.5,1,3,4,1,0,0,2,0,0.06,0.19,0.26,0.06,0.26
Elías Cabrera,ar ARG,MF,Vélez Sarsfield,18,2003,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Iván Cabrera,ar ARG,MF,Arsenal,18,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Juan Cáceres,py PAR,DF,Racing Club,21,2000,3,0,50,0.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Tomás Cáceres,ar ARG,MF,Patronato,22,1999,4,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Diego Calcaterra,ar ARG,MF,San Lorenzo,20,2001,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Brian Calderara,ar ARG,"DF,MF",Barracas Central,23,1998,20,17,"1,495",16.6,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
Franco Calderón,ar ARG,DF,Unión,23,1998,23,22,"1,980",22.0,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00
Franco Camargo,ar ARG,"DF,MF",Platense,21,2000,6,5,482,5.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Marco Campagnaro,ar ARG,"DF,MF",Newell's OB,18,2003,12,5,557,6.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Ezequiel Cañete,ar ARG,"MF,FW",Unión,22,1999,18,9,804,8.9,1,1,2,1,0,0,2,0,0.11,0.11,0.22,0.11,0.22
Ramón Cansinos,ar ARG,MF,Cen. Córdoba–SdE,19,2002,1,0,45,0.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Johan Carbonero,co COL,"FW,MF",Racing Club,22,1999,16,7,737,8.2,2,1,3,2,0,0,2,1,0.24,0.12,0.37,0.24,0.37
Johan Carbonero,co COL,MF,Gimnasia–LP,22,1999,3,3,227,2.5,1,0,1,1,0,0,0,0,0.40,0.00,0.40,0.40,0.40
Samuel Careaga,ar ARG,MF,Lanús,19,2002,14,5,476,5.3,0,1,1,0,0,0,1,0,0.00,0.19,0.19,0.00,0.19
Nahuel Casasola,ar ARG,MF,Platense,20,2001,2,1,85,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Bryan Castrillón,co COL,"MF,FW",Unión,22,1999,23,16,"1,450",16.1,2,3,5,2,0,0,2,0,0.12,0.19,0.31,0.12,0.31
Nicolás Castro,ar ARG,MF,Newell's OB,21,2000,2,0,43,0.5,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00
Santiago Castro,ar ARG,"FW,MF",Vélez Sarsfield,17,2004,17,4,483,5.4,1,1,2,1,0,0,4,0,0.19,0.19,0.37,0.19,0.37
Tomás Castro,ar ARG,MF,Godoy Cruz,20,2001,16,7,674,7.5,0,1,1,0,0,0,0,0,0.00,0.13,0.13,0.00,0.13
Ivan Cazal,py PAR,"FW,MF",Lanús,22,1999,5,3,252,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Ignacio Cechi,ar ARG,MF,Lanús,20,2001,3,0,39,0.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Juan Cerrudo,ar ARG,MF,Rosario Central,18,2004,8,4,298,3.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Tobías Cervera,sy SYR,FW,Aldosivi,19,2002,10,2,281,3.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Tomás Chancalay,ar ARG,"FW,MF",Racing Club,23,1999,11,8,623,6.9,2,1,3,2,0,0,2,2,0.29,0.14,0.43,0.29,0.43
Lautaro Chávez,ar ARG,"MF,FW",Gimnasia–LP,21,2001,12,6,475,5.3,1,0,1,1,0,0,0,0,0.19,0.00,0.19,0.19,0.19
Luciano Cingolani,ar ARG,FW,Newell's OB,20,2001,7,0,84,0.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Facundo Colidio,ar ARG,"MF,FW",Tigre,22,2000,26,24,"1,988",22.1,5,6,11,5,0,0,1,1,0.23,0.27,0.50,0.23,0.50
Nazareno Colombo,ar ARG,DF,Defensa y Just,22,1999,26,26,"2,325",25.8,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00
Nicolás Cordero,ar ARG,FW,Huracán,22,1999,15,4,413,4.6,3,0,3,3,0,0,2,0,0.65,0.00,0.65,0.65,0.65
