Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
Ismael Aaneba,fr FRA,DF,Sochaux,22,1999,33,32,"2,924",32.5,0,1,1,0,0,0,5,0,0.00,0.03,0.03,0.00,0.03
Abdel Abdallah,km COM,"DF,MF",Grenoble,23,1997,29,19,"1,797",20.0,1,2,3,1,0,0,3,1,0.05,0.10,0.15,0.05,0.15
Himad Abdelli,dz ALG,MF,Le Havre,21,1999,22,13,"1,348",15.0,3,1,4,2,1,1,3,0,0.20,0.07,0.27,0.13,0.20
Aly Abeid,mr MTN,"DF,MF",Valenciennes,23,1997,14,10,788,8.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Charles Abi,fr FRA,"FW,MF",Guingamp,21,2000,18,5,561,6.2,1,1,2,1,0,0,2,0,0.16,0.16,0.32,0.16,0.32
Matthis Abline,fr FRA,FW,Le Havre,18,2003,16,14,"1,219",13.5,6,2,8,5,1,1,2,0,0.44,0.15,0.59,0.37,0.52
Amine Adli,ma MAR,MF,Toulouse,21,2000,1,1,89,1.0,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00
Matteo Ahlinvi,bj BEN,MF,Dijon,22,1999,23,7,763,8.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Anis Ajroud,fr FRA,FW,Ajaccio,19,2002,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Migouel Alfarela,fr FRA,"MF,FW",Paris FC,23,1997,31,8,"1,063",11.8,3,1,4,3,0,0,2,0,0.25,0.08,0.34,0.25,0.34
Nawfal Ali Said,km COM,FW,Dijon,19,2002,2,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Nabil Alioui,fr FRA,"FW,MF",Le Havre,22,1999,35,24,"2,072",23.0,5,2,7,5,0,0,0,0,0.22,0.09,0.30,0.22,0.30
Steve Ambri,gw GNB,"MF,FW",Sochaux,23,1997,28,9,"1,009",11.2,2,4,6,1,1,1,5,0,0.18,0.36,0.54,0.09,0.45
Janis Antiste,fr FRA,FW,Toulouse,18,2002,3,1,129,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Said Arab,fr FRA,FW,Paris FC,21,2000,2,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Taïryk Arconte,fr FRA,FW,Ajaccio,17,2003,18,1,391,4.3,1,0,1,1,0,0,1,0,0.23,0.00,0.23,0.23,0.23
Amir Arli,,MF,Dijon,18,2003,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Yoël Armougom,fr FRA,"DF,MF",Caen,23,1998,20,13,"1,234",13.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Tolu Arokodare,ng NGA,FW,Amiens,20,2000,35,20,"1,883",20.9,8,2,10,7,1,1,2,1,0.38,0.10,0.48,0.33,0.43
Neil El Aynaoui,fr FRA,MF,Nancy,20,2001,24,17,"1,405",15.6,2,1,3,2,0,0,4,0,0.13,0.06,0.19,0.13,0.19
Abdoullah Ba,fr FRA,"MF,FW",Le Havre,18,2003,18,7,633,7.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Ilan Bacha,fr FRA,MF,Paris FC,16,2005,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Aliou Badji,sn SEN,FW,Amiens,23,1997,26,23,"1,812",20.1,13,3,16,13,0,0,5,0,0.65,0.15,0.79,0.65,0.79
Stefan Bajic,fr FRA,GK,Pau FC,19,2001,15,15,"1,350",15.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Thierno Balde,fr FRA,"DF,MF",Le Havre,19,2002,31,30,"2,636",29.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Axel Bamba,fr FRA,"DF,MF",Paris FC,22,1999,15,9,923,10.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Mamady Bangré,bf BFA,FW,Toulouse,20,2001,7,2,155,1.7,1,0,1,1,0,0,1,0,0.58,0.00,0.58,0.58,0.58
Hugo Barbet,fr FRA,GK,Guingamp,19,2001,2,1,95,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Enzo Bardeli,fr FRA,MF,Dunkerque,20,2001,7,2,288,3.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Thomas Basila,fr FRA,DF,Nancy,22,1999,27,26,"2,263",25.1,2,2,4,2,0,0,7,2,0.08,0.08,0.16,0.08,0.16
Norman Bassette,be BEL,FW,Caen,16,2004,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
