Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
Dickson Abiama,ng NGA,"FW,MF",Greuther Fürth,23,1998,30,12,"1,177",13.1,3,1,4,3,0,0,3,1,0.23,0.08,0.31,0.23,0.31
Aremu Afeez,ng NGA,MF,St. Pauli,22,1999,17,9,791,8.8,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Xavier Amaechi,eng ENG,MF,Hamburger SV,21,2001,7,0,127,1.4,0,1,1,0,0,0,1,0,0.00,0.71,0.71,0.00,0.71
Stephan Ambrosius,gh GHA,DF,Karlsruher,23,1998,18,16,"1,377",15.3,0,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00
Andrés Andrade Cedeño,pa PAN,DF,Arminia,23,1998,26,24,"2,071",23.0,1,0,1,1,0,0,4,0,0.04,0.00,0.04,0.04,0.04
Bent Andresen,de GER,DF,Hamburger SV,19,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Devin Angleberger,de GER,MF,Greuther Fürth,19,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Shinta Appelkamp,de GER,MF,Düsseldorf,21,2000,33,25,"2,139",23.8,6,9,15,6,0,0,1,0,0.25,0.38,0.63,0.25,0.63
Kelvin Arase,at AUT,FW,Karlsruher,23,1999,7,2,231,2.6,0,1,1,0,0,0,0,0,0.00,0.39,0.39,0.00,0.39
Jann-Fiete Arp,de GER,"FW,MF",Holstein Kiel,22,2000,26,9,871,9.7,1,2,3,1,0,0,5,0,0.10,0.21,0.31,0.10,0.31
Bright Arrey-Mbi,de GER,DF,Hannover 96,19,2003,15,14,"1,183",13.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Simon Asta,de GER,"MF,DF",Greuther Fürth,21,2001,31,24,"2,161",24.0,2,6,8,2,0,0,6,1,0.08,0.25,0.33,0.08,0.33
Kwadwo Baah,eng ENG,MF,Düsseldorf,19,2003,7,0,67,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Aaron Basenach,de GER,MF,Kaiserslautern,19,2003,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Malik Batmaz,de GER,FW,Karlsruher,22,2000,20,10,827,9.2,2,0,2,2,0,0,1,0,0.22,0.00,0.22,0.22,0.22
Maximilian Beier,de GER,"FW,MF",Hannover 96,19,2002,33,25,"2,168",24.1,7,0,7,6,1,2,1,0,0.29,0.00,0.29,0.25,0.25
Marcel Beifus,de GER,DF,St. Pauli,19,2002,9,2,236,2.6,0,1,1,0,0,0,2,0,0.00,0.38,0.38,0.00,0.38
George Bello,us USA,"MF,DF",Arminia,20,2002,21,6,772,8.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Keanan Bennetts,eng ENG,MF,Darmstadt 98,23,1999,15,0,251,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jan-Niklas Beste,de GER,MF,Heidenheim,23,1999,34,34,"2,761",30.7,12,12,24,9,3,3,4,0,0.39,0.39,0.78,0.29,0.68
Filip Bilbija,de GER,"FW,MF",Hamburger SV,22,2000,13,0,92,1.0,1,0,1,1,0,0,0,0,0.98,0.00,0.98,0.98,0.98
Benjamin Böckle,at AUT,DF,Düsseldorf,20,2002,6,0,41,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Luca Bolay,de GER,DF,Karlsruher,20,2002,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Carlo Boukhalfa,ma MAR,MF,St. Pauli,23,1999,9,2,189,2.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Tim Breithaupt,de GER,MF,Karlsruher,20,2002,22,22,"1,780",19.8,1,1,2,1,0,0,2,0,0.05,0.05,0.10,0.05,0.10
Louis Breunig,de GER,DF,Nürnberg,18,2003,1,0,28,0.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Nathaniel Brown,de GER,"DF,MF",Nürnberg,19,2003,11,8,730,8.1,1,1,2,1,0,0,1,0,0.12,0.12,0.25,0.12,0.25
Daniel Bunk,de GER,MF,Düsseldorf,18,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
