Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
Elias Achouri,tn TUN,FW,Estoril,23,1999,2,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Adriano,br BRA,"MF,DF",Santa Clara,22,1999,31,27,"2,205",24.5,1,1,2,1,0,0,8,0,0.04,0.04,0.08,0.04,0.08
Alemão,br BRA,DF,Portimonense,19,2002,5,4,363,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Sotiris Alexandropoulos,gr GRE,MF,Sporting CP,20,2001,6,0,104,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Domingos André Ribeiro Almeida,pt POR,MF,Vitória,22,2000,3,3,237,2.6,0,2,2,0,0,0,1,0,0.00,0.76,0.76,0.00,0.76
Alejandro Alvarado Jr.,us USA,MF,Vizela,19,2003,5,0,71,0.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Pedro Álvaro,pt POR,DF,Estoril,22,2000,30,29,"2,577",28.6,1,0,1,1,0,0,8,0,0.03,0.00,0.03,0.03,0.03
André Amaro,pt POR,DF,Vitória,19,2002,27,27,"2,361",26.2,1,1,2,1,0,0,11,1,0.04,0.04,0.08,0.04,0.08
Anderson,br BRA,MF,Casa Pia,23,1998,2,0,24,0.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Andrew,br BRA,GK,Gil Vicente FC,21,2001,24,23,"2,131",23.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Antony,br BRA,"MF,FW",Arouca,20,2001,33,26,"2,375",26.4,6,1,7,6,0,0,3,0,0.23,0.04,0.27,0.23,0.27
Wilinton Aponzá,co COL,FW,Portimonense,22,2000,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Henrique Araújo,pt POR,FW,Benfica,20,2002,5,0,71,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Tiago Araújo,pt POR,"DF,MF",Estoril,21,2001,25,8,881,9.8,1,0,1,1,0,0,3,0,0.10,0.00,0.10,0.10,0.10
Tomás Araújo,pt POR,DF,Gil Vicente FC,20,2002,22,21,"1,871",20.8,1,2,3,1,0,0,5,0,0.05,0.10,0.14,0.05,0.14
Gustavo Assuncao,pt POR,MF,Famalicão,22,2000,22,9,954,10.6,1,1,2,1,0,0,10,0,0.09,0.09,0.19,0.09,0.19
Otavio Ataide,br BRA,DF,Famalicão,20,2002,9,8,707,7.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Leo Augusto Pereira,br BRA,"MF,FW",Marítimo,22,2000,10,7,532,5.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Miguel Baeza,es ESP,"MF,FW",Rio Ave,22,2000,22,14,"1,077",12.0,0,1,1,0,0,0,0,0,0.00,0.08,0.08,0.00,0.08
Jason Bahamboula,cg CGO,FW,Vitória,21,2001,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
