Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG
Abner,br BRA,DF,Betis,22,2000,13,7,607,6.7,0,0,0,0,0,0,2,0,1.7,1.7,0.1,1.8,8,16,25,0.00,0.00,0.00,0.00,0.00,0.25,0.02,0.27,0.25,0.27
Álvaro Aceves,es ESP,GK,Valladolid,19,2003,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Julen Agirrezabala,es ESP,GK,Athletic Club,21,2000,8,7,675,7.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Babatunde Akinsola,ng NGA,FW,Valladolid,19,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ángel Alarcón,es ESP,"FW,MF",Barcelona,18,2004,4,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.15,0.15,0.15
Tomás Alarcón,cl CHI,MF,Cádiz,23,1999,4,2,223,2.5,0,0,0,0,0,0,2,1,0.0,0.0,0.1,0.1,2,9,6,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04
Alejandro Alfaro,es ESP,MF,Elche,20,2002,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ángel Algobia,es ESP,MF,Getafe,23,1999,26,11,"1,138",12.6,0,0,0,0,0,0,3,0,0.3,0.3,0.6,0.9,10,42,11,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07
Mohamed Ali Cho,fr FRA,"FW,MF",Real Sociedad,18,2004,19,5,587,6.5,1,2,3,1,0,0,1,0,1.8,1.8,1.7,3.4,30,8,63,0.15,0.31,0.46,0.15,0.46,0.27,0.25,0.52,0.27,0.52
Domingos André Ribeiro Almeida,pt POR,MF,Valencia,22,2000,34,29,"2,539",28.2,2,4,6,2,0,0,3,0,1.4,1.4,3.4,4.9,74,197,71,0.07,0.14,0.21,0.07,0.21,0.05,0.12,0.17,0.05,0.17
Carlos Álvarez,es ESP,MF,Sevilla,18,2003,1,0,10,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
