Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG
Max Aarons,eng ENG,DF,Norwich City,22,2000,45,44,"3,851",42.8,1,3,4,1,0,0,10,0,1.1,1.1,2.4,3.5,165,201,216,0.02,0.07,0.09,0.02,0.09,0.03,0.06,0.08,0.03,0.08
Thelo Aasgaard,no NOR,"FW,MF",Wigan Athletic,20,2002,41,12,"1,587",17.6,3,1,4,3,0,0,1,0,3.2,3.2,0.7,3.9,48,41,79,0.17,0.06,0.23,0.17,0.23,0.18,0.04,0.22,0.18,0.22
Nelson Abbey,eng ENG,DF,Reading,18,2003,3,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kelvin Abrefa,eng ENG,"MF,DF",Reading,18,2003,8,0,127,1.4,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.1,1,4,1,0.00,0.00,0.00,0.00,0.00,0.04,0.06,0.10,0.04,0.10
Finlay Adair,eng ENG,"FW,MF",Preston,17,2005,4,0,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Toby Adeyemo,eng ENG,"MF,FW",Watford,17,2005,4,0,96,1.1,1,0,1,1,0,0,1,0,0.5,0.5,0.2,0.7,3,1,4,0.94,0.00,0.94,0.94,0.94,0.43,0.19,0.63,0.43,0.63
Michael Adu-Poku,eng ENG,FW,Watford,16,2005,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Anel Ahmedhodžić,ba BIH,DF,Sheffield Utd,23,1999,34,32,"2,860",31.8,6,2,8,6,0,0,12,0,4.4,4.4,2.6,7.0,70,100,55,0.19,0.06,0.25,0.19,0.25,0.14,0.08,0.22,0.14,0.22
Ajibola Alese,eng ENG,DF,Sunderland,21,2001,20,17,"1,407",15.6,1,0,1,1,0,0,1,0,0.7,0.7,0.8,1.5,17,58,34,0.06,0.00,0.06,0.06,0.06,0.05,0.05,0.10,0.05,0.10
Jordan Amissah,gh GHA,GK,Sheffield Utd,20,2001,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Joe Anderson,eng ENG,"DF,MF",Sunderland,21,2001,4,0,43,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ryan Andrews,eng ENG,DF,Watford,17,2004,6,6,483,5.4,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.5,17,18,20,0.00,0.00,0.00,0.00,0.00,0.06,0.04,0.10,0.06,0.10
Faustino Anjorin,eng ENG,"MF,FW",Huddersfield,20,2001,8,6,439,4.9,2,0,2,2,0,0,0,0,0.5,0.5,0.0,0.6,14,13,17,0.41,0.00,0.41,0.41,0.41,0.11,0.01,0.12,0.11,0.12
Robert Apter,sct SCO,MF,Blackpool,19,2003,1,0,21,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,0,1,0.00,0.00,0.00,0.00,0.00,0.50,0.11,0.61,0.50,0.61
Henrique Araújo,pt POR,FW,Watford,20,2002,8,3,342,3.8,0,1,1,0,0,0,0,0,0.5,0.5,1.1,1.5,2,5,23,0.00,0.26,0.26,0.00,0.26,0.12,0.28,0.41,0.12,0.41
Oliver Arblaster,eng ENG,MF,Sheffield Utd,18,2004,4,1,74,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
