Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
Ismael Aaneba,fr FRA,DF,Sochaux,23,1999,30,30,"2,700",30.0,0,1,1,0,0,0,6,0,0.00,0.03,0.03,0.00,0.03
Landry Abessolo,cm CMR,FW,Niort,22,2000,4,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Diyaeddine Abzi,ca CAN,"DF,MF",Pau FC,23,1998,29,16,"1,483",16.5,1,1,2,1,0,0,7,0,0.06,0.06,0.12,0.06,0.12
Martin Adeline,fr FRA,MF,Rodez Aveyron,18,2003,7,5,382,4.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Matteo Ahlinvi,bj BEN,MF,Dijon,23,1999,21,12,"1,007",11.2,2,0,2,2,0,0,2,1,0.18,0.00,0.18,0.18,0.18
Ayman Aiki,fr FRA,FW,Saint-Étienne,17,2005,7,2,213,2.4,1,0,1,1,0,0,0,0,0.42,0.00,0.42,0.42,0.42
Marley Aké,fr FRA,MF,Dijon,21,2001,14,2,521,5.8,3,0,3,3,0,0,1,0,0.52,0.00,0.52,0.52,0.52
Nabil Alioui,fr FRA,FW,Le Havre,23,1999,28,20,"1,737",19.3,6,3,9,5,1,1,2,0,0.31,0.16,0.47,0.26,0.41
Skelly Alvero,fr FRA,MF,Sochaux,20,2002,31,20,"1,756",19.5,2,0,2,2,0,0,3,1,0.10,0.00,0.10,0.10,0.10
Papa Amadou Diallo,sn SEN,MF,Metz,18,2004,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Mohamed Amine Sbai,fr FRA,"MF,FW",Grenoble,21,2000,27,14,"1,312",14.6,0,3,3,0,0,1,3,0,0.00,0.21,0.21,0.00,0.21
Yacine El Amri,fr FRA,MF,Valenciennes,18,2004,7,2,172,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Janis Antiste,fr FRA,"FW,MF",Amiens,19,2002,14,11,995,11.1,1,0,1,1,0,0,0,0,0.09,0.00,0.09,0.09,0.09
Adil Aouchiche,fr FRA,FW,Saint-Étienne,20,2002,2,1,85,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Tolu Arokodare,ng NGA,FW,Amiens,21,2000,20,18,"1,459",16.2,6,0,6,5,1,2,0,0,0.37,0.00,0.37,0.31,0.31
Youssouf Assogba,bj BEN,"DF,MF",Amiens,20,2001,12,7,693,7.7,1,0,1,1,0,0,1,0,0.13,0.00,0.13,0.13,0.13
Arthur Atta,fr FRA,MF,Metz,19,2003,16,4,463,5.1,1,0,1,1,0,0,1,0,0.19,0.00,0.19,0.19,0.19
Abdoullah Ba,fr FRA,MF,Le Havre,19,2003,5,2,244,2.7,0,1,1,0,0,0,0,0,0.00,0.37,0.37,0.00,0.37
Ousmane Ba,sn SEN,GK,Metz,20,2002,5,3,361,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Mehdi Baaloudj,fr FRA,FW,Guingamp,21,2001,9,0,83,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Stefan Bajic,fr FRA,GK,Valenciennes,20,2001,11,11,990,11.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Abdoulaye Bakayoko,fr FRA,DF,Saint-Étienne,19,2002,9,7,502,5.6,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Ibrahima Bakayoko,fr FRA,FW,Niort,20,2002,22,7,625,6.9,0,2,2,0,0,0,0,0,0.00,0.29,0.29,0.00,0.29
Dilane Bakwa,fr FRA,"FW,MF",Bordeaux,19,2002,36,32,"2,632",29.2,5,7,12,5,0,0,7,0,0.17,0.24,0.41,0.17,0.41
Ibrahima Baldé,fr FRA,"FW,MF",Annecy,19,2003,20,7,789,8.8,2,2,4,2,0,0,1,0,0.23,0.23,0.46,0.23,0.46
