Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
Gonzalo Abrego,ar ARG,MF,Godoy Cruz,23,2000,26,26,"2,134",23.7,3,1,4,3,0,0,2,0,0.13,0.04,0.17,0.13,0.17
Tomás Adoryán,ar ARG,MF,Banfield,21,2001,2,0,39,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Brian Aguilar,ar ARG,DF,Lanús,19,2003,4,0,50,0.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Braian Aguirre,ar ARG,DF,Lanús,22,2000,17,14,"1,277",14.2,0,1,1,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07
Brian Aguirre,ar ARG,FW,Newell's OB,19,2003,20,15,"1,331",14.8,1,4,5,1,0,0,4,0,0.07,0.27,0.34,0.07,0.34
Maximiliano Alanís,ar ARG,FW,Atlé Tucumán,19,2003,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Brian Alexis Leizza,ar ARG,DF,Tigre,22,2000,11,8,790,8.8,1,0,1,1,0,0,3,0,0.11,0.00,0.11,0.11,0.11
Franco Alfonso,ar ARG,FW,River Plate,20,2002,5,0,77,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Tadeo Allende,ar ARG,"MF,FW",Godoy Cruz,23,1999,22,18,"1,639",18.2,6,2,8,6,0,0,2,0,0.33,0.11,0.44,0.33,0.44
Agustín Alonso,ar ARG,MF,Platense,21,2001,7,1,233,2.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
