Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
Haitam Abaida,ma MAR,MF,Málaga,20,2002,4,1,103,1.1,1,0,1,1,0,0,0,0,0.87,0.00,0.87,0.87,0.87
Sabit Abdulai,gh GHA,"MF,DF",Ponferradina,23,1999,19,8,738,8.2,0,1,1,0,0,0,5,0,0.00,0.12,0.12,0.00,0.12
Abel,es ESP,"DF,MF",Oviedo,21,2000,39,31,"2,878",32.0,0,2,2,0,0,0,7,0,0.00,0.06,0.06,0.00,0.06
Abdel Abqar,ma MAR,DF,Alavés,23,1999,35,34,"2,851",31.7,1,0,1,1,0,0,10,1,0.03,0.00,0.03,0.03,0.03
Alonso Aceves,mx MEX,DF,Oviedo,21,2001,10,10,786,8.7,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00
Marc Aguado,es ESP,MF,FC Andorra,22,2000,36,31,"2,789",31.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
Lalo Aguilar,es ESP,DF,Leganés,20,2002,2,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Tomás Alarcón,cl CHI,MF,Zaragoza,23,1999,12,6,514,5.7,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00
William Alarcón,cl CHI,MF,Ibiza,21,2000,12,4,519,5.8,0,2,2,0,0,0,0,0,0.00,0.35,0.35,0.00,0.35
Alassán,es ESP,FW,Tenerife,19,2002,4,0,56,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Edgar Alcañiz,es ESP,MF,Levante,17,2005,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Aldair,pt POR,"MF,DF",Ponferradina,22,1999,8,4,347,3.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Aldasoro,es ESP,MF,Racing Sant,23,1999,34,23,"2,042",22.7,1,0,1,1,0,0,12,2,0.04,0.00,0.04,0.04,0.04
Iker Alday,es ESP,DF,Eibar,19,2003,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Alfon,es ESP,FW,Racing Sant,23,1999,8,2,223,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Javier Alonso,es ESP,MF,Tenerife,23,1998,18,8,799,8.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Julio Alonso,es ESP,DF,Albacete,23,1998,36,33,"2,928",32.5,0,3,3,0,0,0,6,1,0.00,0.09,0.09,0.00,0.09
Adrià Altimira,es ESP,"DF,FW",FC Andorra,21,2001,36,27,"2,472",27.5,1,3,4,1,0,0,4,1,0.04,0.11,0.15,0.04,0.15
Altube,es ESP,GK,Albacete,22,2000,12,12,"1,080",12.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Iker Álvarez,ad AND,GK,Villarreal B,21,2001,23,23,"2,070",23.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Hugo Anglada,es ESP,DF,Huesca,18,2004,3,3,225,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Leandro Antonetti,pr PUR,FW,Lugo,19,2003,5,2,216,2.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Arvin Appiah,eng ENG,MF,Málaga,21,2001,10,0,142,1.6,1,0,1,1,0,0,0,0,0.63,0.00,0.63,0.63,0.63
Arvin Appiah,eng ENG,MF,Tenerife,21,2001,11,3,402,4.5,0,1,1,0,0,0,0,0,0.00,0.22,0.22,0.00,0.22
Arana,es ESP,FW,Villarreal B,22,2000,12,3,376,4.2,2,0,2,2,0,0,4,0,0.48,0.00,0.48,0.48,0.48
Arana,es ESP,FW,Eibar,22,2000,5,0,77,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jesús Areso,es ESP,"DF,MF",Burgos,23,1999,37,29,"2,578",28.6,0,5,5,0,0,0,4,0,0.00,0.17,0.17,0.00,0.17
Matias Arezo,uy URU,"MF,FW",Granada,19,2002,9,2,205,2.3,1,0,1,1,0,0,1,0,0.44,0.00,0.44,0.44,0.44
