Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Source_League
Leroy Abanda,fr FRA,"MF,DF",R.F.C. Seraing,22,2000,7.6,,9,,,,,,,,,,,20,,,,BelgianProLeague
Francis Abu,gh GHA,MF,Cercle Brugge,21,2001,18.3,,37,,,,,,,,,,,29,,,,BelgianProLeague
Simon Adingra,ci CIV,"MF,FW",Union SG,20,2002,21.2,,18,,,,,,,,,,,11,,,,BelgianProLeague
Brian Agbor,cm CMR,DF,Gent,21,2001,0.7,,1,,,,,,,,,,,2,,,,BelgianProLeague
Enock Agyei,be BEL,"MF,FW",Mechelen,17,2005,3.7,,3,,,,,,,,,,,0,,,,BelgianProLeague
Alessandro Albanese,be BEL,"MF,FW",Oostende,22,2000,6.2,,14,,,,,,,,,,,8,,,,BelgianProLeague
Alfonso,mz MOZ,MF,Oostende,22,1999,14.4,,32,,,,,,,,,,,25,,,,BelgianProLeague
Teddy Alloh,fr FRA,"DF,MF",Eupen,20,2002,4.0,,3,,,,,,,,,,,6,,,,BelgianProLeague
Steven Alzate,co COL,MF,Standard Liège,23,1998,21.9,,37,,,,,,,,,,,20,,,,BelgianProLeague
Francis Amuzu,be BEL,"FW,MF",Anderlecht,22,1999,25.5,,15,,,,,,,,,,,11,,,,BelgianProLeague
Stelios Andreou,cy CYP,DF,Charleroi,20,2002,20.0,,24,,,,,,,,,,,40,,,,BelgianProLeague
Nilson Angulo,ec ECU,"FW,MF",Anderlecht,19,2003,0.3,,1,,,,,,,,,,,0,,,,BelgianProLeague
Kelvin Arase,at AUT,MF,Oostende,23,1999,5.4,,12,,,,,,,,,,,4,,,,BelgianProLeague
Kristian Arnstad,no NOR,MF,Anderlecht,18,2003,14.0,,19,,,,,,,,,,,17,,,,BelgianProLeague
Tolu Arokodare,ng NGA,FW,Genk,21,2000,1.5,,2,,,,,,,,,,,0,,,,BelgianProLeague
Gerardo Arteaga,mx MEX,DF,Genk,23,1998,31.2,,36,,,,,,,,,,,49,,,,BelgianProLeague
Christalino Atemona,de GER,"DF,MF",Kortrijk,20,2002,6.0,,7,,,,,,,,,,,8,,,,BelgianProLeague
Lynnt Audoor,be BEL,MF,Club Brugge,18,2003,0.9,,1,,,,,,,,,,,1,,,,BelgianProLeague
Gastón Ávila,ar ARG,DF,Antwerp,20,2001,10.9,,23,,,,,,,,,,,29,,,,BelgianProLeague
Oussama El Azzouzi,ma MAR,MF,Union SG,21,2001,5.7,,8,,,,,,,,,,,16,,,,BelgianProLeague
Youssouph Badji,sn SEN,FW,Charleroi,20,2001,13.2,,6,,,,,,,,,,,3,,,,BelgianProLeague
Bilal Bafdili,be BEL,MF,Mechelen,17,2004,0.2,,0,,,,,,,,,,,0,,,,BelgianProLeague
Brandon Baiye,be BEL,MF,Eupen,21,2000,5.2,,13,,,,,,,,,,,12,,,,BelgianProLeague
Michel-Ange Balikwisha,be BEL,"MF,FW",Antwerp,21,2001,20.7,,20,,,,,,,,,,,20,,,,BelgianProLeague
William Balikwisha,cd COD,"MF,FW",Standard Liège,23,1999,25.6,,32,,,,,,,,,,,40,,,,BelgianProLeague
Jelle Bataille,be BEL,DF,Antwerp,23,1999,22.1,,56,,,,,,,,,,,35,,,,BelgianProLeague
Nick Bätzner,de GER,"FW,MF",Oostende,22,2000,21.0,,26,,,,,,,,,,,16,,,,BelgianProLeague
Nadhir Benbouali,dz ALG,FW,Charleroi,22,2000,8.3,,1,,,,,,,,,,,2,,,,BelgianProLeague
Ján Bernát,sk SVK,MF,Westerlo,21,2001,2.2,,1,,,,,,,,,,,0,,,,BelgianProLeague
Mohamed Berte,be BEL,FW,Oostende,20,2002,3.0,,5,,,,,,,,,,,0,,,,BelgianProLeague
Loïc Bessile,tg TOG,DF,Charleroi,23,1999,6.9,,10,,,,,,,,,,,25,,,,BelgianProLeague
Loïc Bessile,tg TOG,DF,Eupen,23,1999,5.8,,9,,,,,,,,,,,17,,,,BelgianProLeague
Nathan Bitumazala,fr FRA,"MF,DF",Eupen,19,2002,9.8,,7,,,,,,,,,,,3,,,,BelgianProLeague
Eric Bocat,fr FRA,"MF,DF",Sint-Truiden,23,1999,15.7,,18,,,,,,,,,,,36,,,,BelgianProLeague
Adrien Bongiovanni,be BEL,DF,Charleroi,22,1999,0.0,,0,,,,,,,,,,,0,,,,BelgianProLeague
Victor Boniface,ng NGA,FW,Union SG,21,2000,24.7,,3,,,,,,,,,,,7,,,,BelgianProLeague
Indy Boonen,be BEL,"FW,MF",Oostende,23,1999,4.3,,5,,,,,,,,,,,2,,,,BelgianProLeague
Mehdi Boukamir,ma MAR,DF,Charleroi,18,2004,8.2,,8,,,,,,,,,,,14,,,,BelgianProLeague
Stan Braem,be BEL,FW,Zulte Waregem,23,1998,2.2,,3,,,,,,,,,,,1,,,,BelgianProLeague
Tajon Buchanan,ca CAN,"MF,FW",Club Brugge,23,1999,18.0,,18,,,,,,,,,,,14,,,,BelgianProLeague
Denys Bunchukov,ua UKR,MF,R.F.C. Seraing,19,2003,3.3,,4,,,,,,,,,,,4,,,,BelgianProLeague
Mathieu Cachbach,be BEL,MF,R.F.C. Seraing,21,2001,18.9,,24,,,,,,,,,,,23,,,,BelgianProLeague
Alexandro Calut,be BEL,DF,Standard Liège,19,2003,0.3,,0,,,,,,,,,,,0,,,,BelgianProLeague
Cihan Çanak,tr TUR,"MF,FW",Standard Liège,17,2005,10.0,,19,,,,,,,,,,,6,,,,BelgianProLeague
Rasmus Carstensen,dk DEN,DF,Genk,21,2000,0.6,,1,,,,,,,,,,,1,,,,BelgianProLeague
Nicolás Castro,ar ARG,"MF,FW",Genk,21,2000,6.5,,13,,,,,,,,,,,6,,,,BelgianProLeague
Kobe Corbanie,be BEL,DF,Antwerp,17,2005,0.4,,0,,,,,,,,,,,1,,,,BelgianProLeague
Gaëtan Coucke,be BEL,GK,Mechelen,23,1998,28.9,,0,,,,,,,,,,,0,,,,BelgianProLeague
Carlos Cuesta,co COL,DF,Genk,23,1999,28.1,,26,,,,,,,,,,,37,,,,BelgianProLeague
Robbie D'Haese,be BEL,MF,Oostende,23,1999,13.2,,18,,,,,,,,,,,25,,,,BelgianProLeague
Jón Dagur Þorsteinsson,is ISL,"MF,FW",OH Leuven,23,1998,23.6,,35,,,,,,,,,,,15,,,,BelgianProLeague
Ameen Al-Dakhil,be BEL,DF,Sint-Truiden,20,2002,15.5,,16,,,,,,,,,,,30,,,,BelgianProLeague
Jesper Daland,no NOR,DF,Cercle Brugge,22,2000,30.1,,29,,,,,,,,,,,35,,,,BelgianProLeague
Osher Davida,il ISR,"FW,MF",Standard Liège,21,2001,5.6,,4,,,,,,,,,,,3,,,,BelgianProLeague
Wout De Buyser,be BEL,DF,Zulte Waregem,21,2001,0.4,,0,,,,,,,,,,,1,,,,BelgianProLeague
Maxim De Cuyper,be BEL,DF,Westerlo,21,2000,32.8,,49,,,,,,,,,,,57,,,,BelgianProLeague
Dion De Neve,be BEL,MF,Kortrijk,20,2002,5.0,,10,,,,,,,,,,,4,,,,BelgianProLeague
Noah De Ridder,be BEL,MF,Gent,18,2003,0.0,,0,,,,,,,,,,,0,,,,BelgianProLeague
Zeno Debast,be BEL,DF,Anderlecht,18,2003,32.2,,23,,,,,,,,,,,32,,,,BelgianProLeague
Hannes Delcroix,be BEL,DF,Anderlecht,23,1999,12.9,,18,,,,,,,,,,,24,,,,BelgianProLeague
Olivier Deman,be BEL,MF,Cercle Brugge,22,2000,27.1,,51,,,,,,,,,,,48,,,,BelgianProLeague
Pape Demba Diop,sn SEN,MF,Zulte Waregem,18,2003,0.4,,0,,,,,,,,,,,1,,,,BelgianProLeague
Mahamadou Dembélé,fr FRA,"DF,MF",R.F.C. Seraing,23,1999,0.9,,0,,,,,,,,,,,1,,,,BelgianProLeague
Dylan Demuynck,be BEL,MF,Zulte Waregem,18,2004,0.1,,0,,,,,,,,,,,0,,,,BelgianProLeague
Kévin Denkey,tg TOG,FW,Cercle Brugge,21,2000,25.7,,17,,,,,,,,,,,9,,,,BelgianProLeague
Jerome Deom,be BEL,MF,Eupen,23,1999,5.6,,12,,,,,,,,,,,7,,,,BelgianProLeague
Anthony Descotte,be BEL,FW,Charleroi,18,2003,1.5,,2,,,,,,,,,,,1,,,,BelgianProLeague
Sieben Dewaele,be BEL,MF,Oostende,23,1999,14.7,,36,,,,,,,,,,,26,,,,BelgianProLeague
Ibrahim Diakité,gn GUI,"MF,DF",Eupen,18,2003,3.8,,5,,,,,,,,,,,4,,,,BelgianProLeague
Matisse Didden,be BEL,DF,Genk,20,2001,0.0,,0,,,,,,,,,,,0,,,,BelgianProLeague
Guillaume Dietsch,fr FRA,GK,R.F.C. Seraing,21,2001,23.0,,0,,,,,,,,,,,1,,,,BelgianProLeague
Novatus Dismas,tz TAN,"DF,MF",Zulte Waregem,19,2002,25.8,,54,,,,,,,,,,,50,,,,BelgianProLeague
Josué Doke,tg TOG,FW,Charleroi,18,2004,0.2,,1,,,,,,,,,,,1,,,,BelgianProLeague
Arnaud Dony,be BEL,DF,Union SG,18,2004,1.0,,3,,,,,,,,,,,1,,,,BelgianProLeague
Nene Dorgeles,ml MLI,"FW,MF",Westerlo,19,2002,16.5,,21,,,,,,,,,,,12,,,,BelgianProLeague
Denis Drăguș,ro ROU,"FW,MF",Standard Liège,23,1999,11.3,,14,,,,,,,,,,,2,,,,BelgianProLeague
Oleksandr Drambaiev,ua UKR,"DF,MF",Zulte Waregem,21,2001,13.7,,21,,,,,,,,,,,21,,,,BelgianProLeague
Olivier Dumont,be BEL,MF,Sint-Truiden,20,2002,4.1,,2,,,,,,,,,,,7,,,,BelgianProLeague
Julien Duranville,be BEL,"MF,FW",Anderlecht,16,2006,3.0,,4,,,,,,,,,,,1,,,,BelgianProLeague
Ivan Durdov,hr CRO,FW,Oostende,22,2000,4.0,,2,,,,,,,,,,,0,,,,BelgianProLeague
