Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
Fredrik Oppegard,no NOR,DF,Go Ahead Eag,19,2002,8,4,397,4.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Gaetano Oristanio,it ITA,"MF,FW",Volendam,19,2002,27,24,"1,947",21.6,1,3,4,1,0,0,4,1,0.05,0.14,0.18,0.05,0.18
Alois Oroz,hr CRO,DF,Vitesse,21,2000,16,11,"1,018",11.3,1,0,1,1,0,0,3,0,0.09,0.00,0.09,0.09,0.09
Yassin Oukili,nl NED,MF,RKC Waalwijk,21,2001,31,20,"1,847",20.5,3,2,5,3,0,0,9,0,0.15,0.10,0.24,0.15,0.24
Walid Ould-Chikh,ma MAR,"MF,FW",Volendam,22,1999,27,4,696,7.7,1,1,2,1,0,0,1,0,0.13,0.13,0.26,0.13,0.26
Sékou Oumar Sylla,gn GUI,DF,Cambuur,23,1999,5,2,224,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Fernando Pacheco Rivas,pe PER,"FW,MF",Emmen,23,1999,9,0,84,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Igor Paixão,br BRA,"MF,FW",Feyenoord,22,2000,28,15,"1,261",14.0,7,5,12,7,0,0,2,0,0.50,0.36,0.86,0.50,0.86
Ivor Pandur,hr CRO,GK,Fortuna Sittard,22,2000,31,31,"2,790",31.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Vangelis Pavlidis,gr GRE,FW,AZ Alkmaar,23,1998,25,22,"1,869",20.8,12,8,20,11,1,1,2,0,0.58,0.39,0.96,0.53,0.91
Deron Payne,nl NED,DF,Volendam,19,2002,3,1,111,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Marcus Pedersen,no NOR,DF,Feyenoord,22,2000,29,25,"2,117",23.5,1,2,3,1,0,0,3,0,0.04,0.09,0.13,0.04,0.13
Ricardo Pepi,us USA,FW,Groningen,19,2003,29,28,"2,453",27.3,12,3,15,11,1,1,2,0,0.44,0.11,0.55,0.40,0.51
Vincent Pichel,nl NED,MF,Cambuur,20,2001,4,0,74,0.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Kik Pierie,nl NED,DF,Excelsior,22,2000,7,7,583,6.5,1,1,2,1,0,0,0,0,0.15,0.15,0.31,0.15,0.31
Brian Plat,nl NED,DF,Volendam,22,2000,29,26,"2,193",24.4,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00
Romano Postema,nl NED,FW,Groningen,20,2002,2,0,35,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
