Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG
Federico Accornero,it ITA,FW,Genoa,18,2004,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Emanuele Agnello,it ITA,DF,Benevento,19,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Vittorio Agostinelli,it ITA,"MF,FW",Cosenza,20,2002,2,0,30,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0,1,1,0.00,0.00,0.00,0.00,0.00,0.18,0.32,0.51,0.18,0.51
Giuseppe Agostino,it ITA,GK,Genoa,19,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Giorgio Altare,it ITA,DF,Cagliari,23,1998,26,21,"1,921",21.3,1,0,1,1,0,0,7,1,1.4,1.4,0.7,2.1,14,88,7,0.05,0.00,0.05,0.05,0.05,0.07,0.03,0.10,0.07,0.10
Giuseppe Ambrosino,it ITA,"FW,MF",Cittadella,18,2003,15,8,657,7.3,1,2,3,0,1,1,2,0,2.1,1.3,1.2,2.5,17,16,50,0.14,0.27,0.41,0.00,0.27,0.29,0.16,0.45,0.18,0.34
Giuseppe Ambrosino,it ITA,"FW,MF",Como,18,2003,4,0,77,0.9,1,0,1,1,0,0,0,0,0.6,0.6,0.2,0.8,1,4,10,1.17,0.00,1.17,1.17,1.17,0.71,0.23,0.93,0.71,0.93
Mirko Antonucci,it ITA,"MF,FW",Cittadella,23,1999,37,37,"2,836",31.5,11,1,12,8,3,3,5,0,7.7,5.3,2.1,7.5,94,82,246,0.35,0.03,0.38,0.25,0.29,0.24,0.07,0.31,0.17,0.24
Matteo Arena,it ITA,DF,SPAL,23,1999,18,14,"1,218",13.5,0,0,0,0,0,0,5,1,0.5,0.5,0.1,0.6,14,60,4,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
Alessandro Arioli,it ITA,FW,Cosenza,19,2003,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Giuseppe Aurelio,it ITA,DF,Palermo,22,2000,9,6,611,6.8,1,0,1,1,0,0,1,0,0.3,0.3,0.5,0.8,17,21,27,0.15,0.00,0.15,0.15,0.15,0.04,0.08,0.12,0.04,0.12
Botond Balogh,hu HUN,DF,Parma,20,2002,15,10,919,10.2,0,0,0,0,0,0,4,0,0.3,0.3,0.0,0.3,2,17,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
Thomas Battistella,it ITA,MF,Modena,21,2001,4,0,91,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,5,2,6,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.08,0.06,0.08
