Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG
Brenden Aaronson,us USA,"MF,FW",Leeds United,21,2000,36,28,"2,372",26.4,1,3,4,1,0,0,2,0,3.9,3.9,4.2,8.1,43,86,151,0.04,0.11,0.15,0.04,0.15,0.15,0.16,0.31,0.15,0.31
George Abbott,eng ENG,MF,Tottenham,16,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tyler Adams,us USA,MF,Leeds United,23,1999,24,24,"2,156",24.0,0,0,0,0,0,0,6,1,0.1,0.1,1.4,1.5,19,136,20,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06
Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,20,2002,8,0,94,1.0,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.2,1,2,11,0.00,0.00,0.00,0.00,0.00,0.15,0.07,0.22,0.15,0.22
Rayan Aït-Nouri,dz ALG,DF,Wolves,21,2001,21,9,"1,076",12.0,1,0,1,1,0,0,4,0,0.7,0.7,1.0,1.7,30,43,76,0.08,0.00,0.08,0.08,0.08,0.06,0.08,0.14,0.06,0.14
Carlos Alcaraz,ar ARG,"MF,FW",Southampton,19,2002,18,13,"1,029",11.4,4,2,6,4,0,0,3,0,1.9,1.9,0.7,2.6,20,28,32,0.35,0.17,0.52,0.35,0.52,0.17,0.06,0.23,0.17,0.23
Trent Alexander-Arnold,eng ENG,DF,Liverpool,23,1998,37,34,"2,923",32.5,2,9,11,2,0,0,5,0,2.4,2.4,11.5,13.8,43,235,139,0.06,0.28,0.34,0.06,0.34,0.07,0.35,0.43,0.07,0.43
Julián Álvarez,ar ARG,"FW,MF",Manchester City,22,2000,31,13,"1,465",16.3,9,0,9,8,1,1,0,0,7.0,6.2,1.8,8.0,38,37,99,0.55,0.00,0.55,0.49,0.49,0.43,0.11,0.54,0.38,0.49
Samuel Amo-Ameyaw,eng ENG,MF,Southampton,16,2006,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.86,0.86,0.00,0.86
Elliot Anderson,eng ENG,"MF,FW",Newcastle Utd,19,2002,22,3,410,4.6,0,1,1,0,0,0,0,0,1.0,1.0,1.3,2.3,23,24,35,0.00,0.22,0.22,0.00,0.22,0.22,0.28,0.50,0.22,0.50
