Nation,Position,Squad,Age_x,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG.1,MarketValue,Player,ID,Name,Age_y,Overall rating,Potential,Height,Weight,foot,Best overall,Best position,Growth,Value,Wage,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Total defending,Defensive awareness,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Weak foot,Attacking work rate,Defensive work rate,International reputation,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions_x,Tkl+Int,Clearances,Errors,Source_League,Interceptions_y
be BEL,"MF,FW",Oostende,21,2000,8,3,323,3.6,1,0,1,1,0,0,0,0,0.28,0.0,0.28,0.28,0.28,,,,,,,,,,,,,450000.0,Alessandro Albanese,2206,A. Albanese,21,66,74,174,70,Right,68,MF,8,1900000,3000,264,58,58,32,63,53,342,72,69,66,65,70,377,80,75,82,55,85,323,68,71,64,52,68,284,60,49,56,64,55,143,40,54,49,57,13,9,10,14,11,4,High,High,1,,8.0,,,,,,,,,,,2.0,,,,BelgianProLeague,49.0
fr FRA,"MF,DF",Eupen,19,2002,12,8,682,7.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,400000.0,Teddy Alloh,2908,T. Alloh,19,62,77,176,64,Left,63,MF,15,900000,6000,230,61,37,45,55,32,277,67,60,36,50,64,360,78,75,75,57,75,248,47,61,59,48,33,245,55,55,51,43,41,177,52,62,63,58,11,14,14,11,8,2,High,Medium,1,,13.0,,,,,,,,,,,10.0,,,,BelgianProLeague,55.0
be BEL,"MF,FW",Anderlecht,21,1999,31,8,"1,142",12.7,5,3,8,5,0,0,6,0,0.39,0.24,0.63,0.39,0.63,,,,,,,,,,,,,5500000.0,Francis Amuzu,1549,F. Amuzu,21,71,78,170,66,Right,72,MF,7,3800000,11000,286,63,62,32,68,61,335,73,63,62,66,71,421,91,88,93,63,86,344,68,90,73,53,60,260,51,23,66,62,58,115,28,41,46,57,10,13,10,12,12,5,High,Medium,1,,11.0,,,,,,,,,,,8.0,,,,BelgianProLeague,23.0
no NOR,MF,Anderlecht,17,2003,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1000000.0,Kristian Arnstad,3050,K. Arnstad,17,61,79,168,60,Right,64,MF,18,825000,500,246,57,39,32,68,50,323,64,61,63,66,69,355,75,67,75,53,85,277,49,68,57,44,59,236,39,45,43,63,46,133,38,49,46,55,11,12,13,8,11,3,Medium,Medium,1,,1.0,,,,,,,,,,,1.0,,,,BelgianProLeague,45.0
gh GHA,MF,Anderlecht,23,1997,31,10,"1,124",12.5,3,2,5,3,0,0,4,1,0.24,0.16,0.4,0.24,0.4,,,,,,,,,,,,,3500000.0,Majeed Ashimeru,1627,M. Ashimeru,23,70,75,182,72,Right,73,MF,5,2400000,11000,297,65,63,41,73,55,323,73,57,48,70,75,368,75,72,85,68,68,342,70,73,68,63,68,311,60,64,67,66,54,184,63,63,58,59,12,12,11,12,12,3,Medium,Medium,1,,27.0,,,,,,,,,,,15.0,,,,BelgianProLeague,64.0
be BEL,"FW,MF",Antwerp,20,2001,26,20,"1,755",19.5,4,3,7,4,0,0,3,0,0.21,0.15,0.36,0.21,0.36,,,,,,,,,,,,,4000000.0,Michel-Ange Balikwisha,1490,M. Balikwisha,20,72,83,178,69,Right,75,MF,11,5000000,13000,311,69,66,42,72,62,296,74,58,22,68,74,405,87,84,84,66,84,342,71,81,77,47,66,290,67,34,63,71,55,82,17,37,28,49,14,6,6,13,10,5,High,High,1,,26.0,,,,,,,,,,,15.0,,,,BelgianProLeague,34.0
be BEL,"DF,MF",Antwerp,22,1999,26,17,"1,623",18.0,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2000000.0,Jelle Bataille,1629,J. Bataille,22,70,78,181,71,Right,71,MF,8,3400000,9000,299,69,49,58,67,56,307,71,53,48,66,69,382,81,84,75,68,74,327,58,71,81,65,52,291,53,64,55,63,56,186,59,66,61,53,14,12,6,7,14,4,High,Low,1,,43.0,,,,,,,,,,,31.0,,,,BelgianProLeague,64.0
de GER,"MF,FW",Oostende,21,2000,30,20,"1,925",21.4,2,4,6,2,0,0,4,0,0.09,0.19,0.28,0.09,0.28,,,,,,,,,,,,,1500000.0,Nick Bätzner,1752,N. Bätzner,21,69,78,175,63,Right,71,MF,9,3100000,5000,288,66,56,37,76,53,344,72,67,56,75,74,362,76,68,79,58,81,306,57,63,70,54,62,264,41,46,53,70,54,149,55,54,40,43,9,8,12,7,7,4,Medium,Medium,1,,40.0,,,,,,,,,,,19.0,,,,BelgianProLeague,46.0
ma MAR,MF,Charleroi,23,1998,11,0,129,1.4,0,1,1,0,0,0,0,0,0.0,0.7,0.7,0.0,0.7,,,,,,,,,,,,,600000.0,Amine Benchaib,2025,A. Benchaib,23,67,73,181,71,Right,69,MF,6,1600000,5000,285,56,64,36,66,63,332,73,65,62,61,71,366,78,74,80,63,71,312,58,76,59,60,59,272,55,36,65,58,58,121,28,48,45,41,14,6,6,6,9,4,High,Medium,1,,4.0,,,,,,,,,,,1.0,,,,BelgianProLeague,36.0
ge GEO,MF,Kortrijk,18,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,100000.0,Tsotne Bendianishvili,3526,T. Bendianishvili,18,57,73,172,68,Right,60,MF,16,425000,850,222,50,37,32,65,38,299,62,53,52,64,68,334,71,61,77,47,78,268,48,67,52,51,50,238,58,41,37,57,45,124,38,48,38,44,7,7,10,11,9,3,Medium,Low,1,,0.0,,,,,,,,,,,0.0,,,,BelgianProLeague,41.0
