Nation,Position,Squad,Age_x,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG.1,MarketValue,Player,ID,Name,Age_y,Overall rating,Potential,Height,Weight,foot,Best overall,Best position,Growth,Value,Wage,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Total defending,Defensive awareness,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Weak foot,Attacking work rate,Defensive work rate,International reputation,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions_x,Tkl+Int,Clearances,Errors,Source_League,Interceptions_y
de GER,MF,Heidenheim,21,2001,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,200000.0,Tim Köther,3438,T. Köther,21,59,67,175,70,Left,60,MF,8,500000,3000,257,53,50,44,63,47,257,58,44,40,55,60,330,68,67,67,53,75,274,54,55,63,52,50,251,55,50,51,58,37,156,46,56,54,53,10,6,14,11,12,3,Medium,Medium,1,,0.0,,,,,,,,,,,0.0,,,,Bundesliga2,50.0
de GER,MF,Hamburger SV,18,2003,4,1,92,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,300000.0,Elija Krahn,3428,E. Krahn,18,59,75,184,79,Right,60,MF,16,550000,600,231,42,40,52,62,35,265,57,54,36,57,61,293,63,53,62,55,60,251,46,60,54,61,30,255,59,54,39,57,46,170,55,60,55,46,11,6,9,6,14,3,Medium,Medium,1,,2.0,,,,,,,,,,,0.0,,,,Bundesliga2,54.0
fr FRA,"FW,MF",Arminia,23,1998,32,15,"1,589",17.7,7,3,10,7,0,0,5,1,0.4,0.17,0.57,0.4,0.57,,,,,,,,,,,,,800000.0,Bryan Lasme,1889,B. Lasme,23,68,75,188,85,Left,70,MF,7,2400000,7000,274,36,68,61,60,49,281,69,58,36,50,68,330,77,93,64,61,35,356,73,68,65,89,61,232,32,14,63,57,66,63,34,12,17,52,12,14,6,6,14,3,Medium,Medium,1,,7.0,,,,,,,,,,,3.0,,,,Bundesliga2,14.0
de GER,MF,Hannover 96,22,2000,21,11,918,10.2,0,4,4,0,0,0,4,0,0.0,0.39,0.39,0.0,0.39,,,,,,,,,,,,,600000.0,Enzo Leopold,2432,E. Leopold,21,65,72,174,74,Right,67,MF,7,1400000,5000,259,53,55,43,70,38,298,62,48,50,70,68,362,73,69,81,60,79,277,53,53,74,47,50,278,53,58,60,64,43,154,43,57,54,45,6,9,10,11,9,3,Medium,Medium,1,,17.0,,,,,,,,,,,9.0,,,,Bundesliga2,58.0
hr CRO,MF,Arminia,23,1999,22,15,"1,323",14.7,0,1,1,0,0,0,8,0,0.0,0.07,0.07,0.0,0.07,,,,,,,,,,,,,600000.0,Ivan Lepinjica,1892,I. Lepinjica,22,68,75,190,84,Left,69,MF,7,2300000,6000,270,55,41,61,71,42,278,59,58,37,59,65,283,60,61,53,63,46,324,67,63,75,73,46,287,71,67,53,53,43,200,70,68,62,51,11,12,7,14,7,3,Medium,High,1,,24.0,,,,,,,,,,,15.0,,,,Bundesliga2,67.0
us USA,"MF,DF",Heidenheim,22,1999,33,31,"2,629",29.2,0,1,1,0,0,0,5,0,0.0,0.03,0.03,0.0,0.03,,,,,,,,,,,,,2000000.0,Lennard Maloney,1761,L. Maloney,22,69,74,188,89,Right,73,MF,5,2000000,9000,258,48,42,62,67,39,266,59,44,42,61,60,311,55,70,56,69,61,327,49,80,69,84,45,279,76,72,40,45,46,209,72,70,67,54,10,8,11,11,14,3,Medium,High,1,,29.0,,,,,,,,,,,33.0,,,,Bundesliga2,72.0
de GER,MF,Hamburger SV,16,2005,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,250000.0,Omar Megeed,3513,O. Megeed,16,58,78,188,77,Right,59,MF,20,550000,500,259,53,58,48,53,47,268,65,52,43,44,64,285,63,66,48,44,64,256,54,55,44,61,42,225,37,24,55,60,49,74,23,28,23,45,11,9,6,8,11,3,Medium,Medium,1,,0.0,,,,,,,,,,,0.0,,,,Bundesliga2,24.0
au AUS,"FW,MF",St. Pauli,22,1999,30,13,"1,246",13.8,3,2,5,3,0,0,4,0,0.22,0.14,0.36,0.22,0.36,,,,,,,,,,,,,900000.0,Connor Metcalfe,2076,C. Metcalfe,22,67,76,183,70,Left,69,MF,9,2300000,6000,289,57,60,53,70,49,302,67,54,50,67,64,342,62,65,68,71,76,364,63,82,83,80,56,319,72,66,64,67,50,172,59,58,55,55,6,14,12,12,11,4,High,Medium,1,,15.0,,,,,,,,,,,9.0,,,,Bundesliga2,66.0
de GER,MF,Magdeburg,22,2000,19,18,"1,508",16.8,1,0,1,1,0,0,3,0,0.06,0.0,0.06,0.06,0.06,,,,,,,,,,,,,1000000.0,Andreas Müller,1760,A. Müller,21,69,73,173,70,Right,71,MF,4,1900000,4000,293,63,59,58,75,38,317,66,58,56,70,67,362,71,53,82,66,90,309,60,63,77,45,64,309,70,64,60,69,46,200,64,69,67,51,9,8,15,8,11,2,Medium,High,1,,32.0,,,,,,,,,,,22.0,,,,Bundesliga2,64.0
de GER,MF,Paderborn 07,21,2000,11,2,317,3.5,0,1,1,0,0,0,2,0,0.0,0.28,0.28,0.0,0.28,,,,,,,,,,,,,300000.0,Niclas Nadj,3145,N. Nadj,21,61,71,178,74,Right,63,MF,10,725000,3000,246,53,51,34,63,45,285,67,52,51,53,62,342,67,66,75,57,77,244,51,51,50,53,39,248,49,28,59,62,50,116,38,39,39,58,11,14,14,12,7,3,Medium,Medium,1,,5.0,,,,,,,,,,,1.0,,,,Bundesliga2,28.0
de GER,"MF,FW",Karlsruher,19,2002,32,25,"2,240",24.9,4,6,10,4,0,0,7,0,0.16,0.24,0.4,0.16,0.4,,,,,,,,,,,,,2000000.0,Paul Nebel,1896,P. Nebel,19,68,80,169,66,Right,70,MF,12,2900000,6000,275,55,63,39,68,50,311,74,59,46,60,72,384,79,64,90,62,89,283,60,55,68,49,51,246,42,25,60,68,51,85,26,32,27,45,11,9,10,6,9,4,Medium,Medium,1,,40.0,,,,,,,,,,,20.0,,,,Bundesliga2,25.0
de GER,MF,Kaiserslautern,21,2001,29,26,"2,079",23.1,2,0,2,2,0,0,6,0,0.09,0.0,0.09,0.09,0.09,,,,,,,,,,,,,1500000.0,Julian Niehues,2241,J. Niehues,21,66,73,195,89,Right,68,MF,7,1600000,3000,278,46,54,68,59,51,274,65,50,33,61,65,271,56,54,53,66,42,320,60,57,66,82,55,278,68,64,41,65,40,196,65,65,66,58,15,12,8,13,10,3,Medium,Medium,1,,27.0,,,,,,,,,,,24.0,,,,Bundesliga2,64.0
bg BUL,"MF,DF",Nürnberg,23,1999,24,20,"1,708",19.0,1,2,3,1,0,0,7,0,0.05,0.11,0.16,0.05,0.16,,,,,,,,,,,,,1200000.0,Fabian Nürnberger,1634,F. Nürnberger,22,70,75,178,72,Left,72,MF,5,2400000,7000,295,52,59,56,73,55,320,72,63,45,66,74,363,77,70,79,66,71,314,66,49,81,56,62,321,69,65,67,66,54,202,62,70,70,45,6,13,10,8,8,3,Medium,Medium,1,,20.0,,,,,,,,,,,18.0,,,,Bundesliga2,65.0
de GER,"FW,MF",Hamburger SV,23,1999,3,0,39,0.4,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,600000.0,Aaron Opoku,2063,A. Opoku,23,67,71,185,76,Right,68,MF,4,1500000,4000,272,65,52,48,61,46,341,73,78,67,55,68,370,86,81,81,53,69,307,64,60,71,57,55,257,57,34,56,62,48,116,35,43,38,34,6,5,8,7,8,4,High,Medium,1,,2.0,,,,,,,,,,,0.0,,,,Bundesliga2,34.0
de GER,MF,Sandhausen,21,2001,19,17,"1,458",16.2,2,0,2,2,0,0,6,0,0.12,0.0,0.12,0.12,0.12,,,,,,,,,,,,,1000000.0,Merveille Papela,2434,M. Papela,21,65,75,174,70,Right,67,MF,10,1600000,5000,278,59,50,51,68,50,286,68,45,41,62,70,359,69,63,79,64,84,290,65,68,67,39,51,292,64,62,61,63,42,182,60,65,57,56,7,9,15,11,14,3,Medium,Medium,1,,39.0,,,,,,,,,,,30.0,,,,Bundesliga2,62.0
