Nation,Position,Squad,Age_x,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG.1,MarketValue,Player,ID,Name,Age_y,Overall rating,Potential,Height,Weight,foot,Best overall,Best position,Growth,Value,Wage,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Total defending,Defensive awareness,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Weak foot,Attacking work rate,Defensive work rate,International reputation,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions_x,Tkl+Int,Clearances,Errors,Source_League,Interceptions_y
ci CIV,"MF,FW",Union SG,20,2002,30,20,"1,905",21.2,11,8,19,11,0,0,1,1,0.52,0.38,0.9,0.52,0.9,,,,,,,,,,,,,10000000.0,Simon Adingra,1440,S. Adingra,20,72,81,175,65,Right,73,MF,9,5000000,30000,291,60,73,32,63,63,318,78,58,50,58,74,410,88,90,86,63,83,330,68,87,67,45,63,263,47,25,68,70,53,79,27,26,26,51,8,13,6,14,10,3,High,Medium,1,,18.0,,,,,,,,,,,11.0,,,,BelgianProLeague,25.0
be BEL,"MF,FW",Mechelen,17,2005,8,3,334,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,800000.0,Enock Agyei,3088,E. Agyei,17,61,76,172,68,Left,62,MF,15,750000,2000,246,59,53,31,55,48,266,64,54,39,48,61,365,81,83,78,43,80,262,56,52,55,53,46,224,44,18,56,55,51,75,22,28,25,51,9,7,13,7,15,2,Medium,Medium,1,,3.0,,,,,,,,,,,0.0,,,,BelgianProLeague,18.0
fr FRA,"DF,MF",Eupen,20,2002,10,5,362,4.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,400000.0,Teddy Alloh,2756,T. Alloh,20,63,77,176,64,Left,63,MF,14,1100000,2000,230,61,37,45,55,32,278,67,60,36,50,65,357,78,72,75,57,75,247,47,61,58,48,33,251,55,55,57,43,41,182,57,62,63,58,11,14,14,11,8,2,High,Medium,1,,3.0,,,,,,,,,,,6.0,,,,BelgianProLeague,55.0
co COL,MF,Standard Liège,23,1998,24,23,"1,967",21.9,2,5,7,2,0,0,5,0,0.09,0.23,0.32,0.09,0.32,,,,,,,,,,,,,4000000.0,Steven Alzate,1498,S. Alzate,23,71,78,180,75,Right,73,MF,7,3700000,31000,298,65,63,45,75,50,331,76,61,54,67,73,368,69,68,78,72,81,317,60,57,73,68,59,323,64,67,65,72,55,189,62,66,61,34,9,6,6,7,6,3,Medium,Medium,1,,37.0,,,,,,,,,,,20.0,,,,BelgianProLeague,67.0
be BEL,"FW,MF",Anderlecht,22,1999,33,27,"2,299",25.5,3,6,9,3,0,0,4,0,0.12,0.23,0.35,0.12,0.35,,,,,,,,,,,,,5000000.0,Francis Amuzu,1434,F. Amuzu,22,72,78,170,65,Right,73,MF,6,3800000,14000,286,63,62,32,68,61,333,72,63,62,66,70,428,91,90,93,68,86,346,68,90,73,53,62,267,51,28,68,62,58,120,33,41,46,57,10,13,10,12,12,5,High,Medium,1,,15.0,,,,,,,,,,,11.0,,,,BelgianProLeague,28.0
ec ECU,"FW,MF",Anderlecht,19,2003,6,0,29,0.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1500000.0,Nilson Angulo,2341,N. Angulo,19,65,78,184,65,Right,67,MF,13,1700000,3000,272,55,64,46,65,42,276,70,45,34,59,68,346,78,82,70,58,58,281,55,68,56,48,54,268,46,38,63,61,60,97,28,32,37,63,11,14,12,15,11,3,Medium,Medium,1,,1.0,,,,,,,,,,,0.0,,,,BelgianProLeague,38.0
at AUT,MF,Oostende,23,1999,10,6,484,5.4,1,2,3,1,0,0,0,0,0.19,0.37,0.56,0.19,0.56,,,,,,,,,,,,,450000.0,Kelvin Arase,1833,K. Arase,23,68,74,172,62,Right,69,MF,6,1900000,6000,283,62,63,42,60,56,291,71,55,42,53,70,418,92,91,89,60,86,293,58,84,66,31,54,260,53,34,62,59,52,86,31,24,31,51,12,11,11,8,9,4,Medium,Medium,1,,12.0,,,,,,,,,,,4.0,,,,BelgianProLeague,34.0
no NOR,MF,Anderlecht,18,2003,27,12,"1,263",14.0,1,2,3,1,0,0,5,1,0.07,0.14,0.21,0.07,0.21,,,,,,,,,,,,,2500000.0,Kristian Arnstad,2160,K. Arnstad,18,66,80,171,69,Right,68,MF,14,2000000,2000,262,58,53,32,68,51,326,67,62,63,63,71,371,75,66,80,64,86,316,60,68,67,58,63,308,76,66,53,67,46,188,61,65,62,55,11,12,13,8,11,3,Medium,Medium,1,,19.0,,,,,,,,,,,17.0,,,,BelgianProLeague,66.0
de GER,"DF,MF",Kortrijk,20,2002,10,6,539,6.0,0,1,1,0,0,0,0,0,0.0,0.17,0.17,0.0,0.17,,,,,,,,,,,,,350000.0,Christalino Atemona,3362,C. Atemona,20,59,73,184,72,Right,61,MF,14,500000,2000,193,35,28,55,51,24,208,51,44,21,43,49,322,72,69,66,52,63,284,50,77,55,69,33,229,66,57,33,42,31,173,56,60,57,59,13,9,13,10,14,3,Medium,Medium,1,,7.0,,,,,,,,,,,8.0,,,,BelgianProLeague,57.0
be BEL,MF,Club Brugge,18,2003,6,0,83,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,550000.0,Lynnt Audoor,2747,L. Audoor,18,63,80,182,69,Right,67,MF,17,1200000,2000,286,56,56,58,68,48,311,75,58,45,64,69,331,68,67,68,54,74,271,54,58,62,56,41,292,57,58,58,66,53,165,59,56,50,43,8,8,8,12,7,4,Medium,Medium,1,,1.0,,,,,,,,,,,1.0,,,,BelgianProLeague,58.0
ma MAR,MF,Union SG,21,2001,17,3,510,5.7,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,800000.0,Oussama El Azzouzi,2358,O. El Azzouzi,21,65,73,189,75,Right,66,MF,8,1500000,3000,263,55,38,62,70,38,295,67,46,45,65,72,287,55,60,57,63,52,293,57,56,70,65,45,257,60,61,35,48,53,184,60,62,62,38,6,7,8,9,8,3,Medium,Medium,1,,8.0,,,,,,,,,,,16.0,,,,BelgianProLeague,61.0
be BEL,MF,Eupen,21,2000,8,7,465,5.2,1,0,1,1,0,0,0,1,0.19,0.0,0.19,0.19,0.19,,,,,,,,,,,,,500000.0,Brandon Baiye,2563,B. Baiye,21,64,72,177,75,Right,66,MF,8,1200000,2000,242,40,52,58,64,28,285,60,64,35,61,65,316,68,50,58,62,78,277,48,60,63,76,30,281,73,62,44,54,48,185,59,63,63,62,11,14,11,14,12,3,Medium,High,1,,13.0,,,,,,,,,,,12.0,,,,BelgianProLeague,62.0
be BEL,"MF,FW",Antwerp,21,2001,27,22,"1,865",20.7,6,1,7,6,0,0,0,0,0.29,0.05,0.34,0.29,0.34,,,,,,,,,,,,,6000000.0,Michel-Ange Balikwisha,1388,M. Balikwisha,21,73,81,178,71,Right,74,MF,8,7000000,13000,317,69,68,42,72,66,335,75,64,56,66,74,397,84,82,85,65,81,342,70,77,76,51,68,305,67,46,66,71,55,104,21,45,38,49,14,6,6,13,10,5,Medium,High,1,,20.0,,,,,,,,,,,20.0,,,,BelgianProLeague,46.0
cd COD,"MF,FW",Standard Liège,23,1999,31,29,"2,302",25.6,5,4,9,5,0,0,3,1,0.2,0.16,0.35,0.2,0.35,,,,,,,,,,,,,4000000.0,William Balikwisha,1578,W. Balikwisha,23,70,76,173,67,Right,72,MF,6,2500000,8000,290,61,64,49,69,47,326,77,62,48,64,75,387,80,75,87,70,75,324,64,80,70,51,59,282,51,49,64,65,53,108,42,36,30,49,9,14,9,6,11,3,Medium,High,1,,32.0,,,,,,,,,,,40.0,,,,BelgianProLeague,49.0
de GER,"FW,MF",Oostende,22,2000,30,23,"1,893",21.0,6,4,10,6,0,1,4,0,0.29,0.19,0.48,0.29,0.48,,,,,,,,,,,,,1100000.0,Nick Bätzner,1697,N. Bätzner,22,69,78,175,63,Right,71,MF,9,3100000,6000,297,66,60,37,75,59,347,73,69,56,74,75,361,76,67,79,58,81,308,57,63,70,56,62,289,53,58,53,71,54,169,58,59,52,43,9,8,12,7,7,4,Medium,Medium,1,,26.0,,,,,,,,,,,16.0,,,,BelgianProLeague,58.0
fr FRA,"MF,DF",Eupen,19,2002,15,9,880,9.8,0,1,1,0,0,0,1,0,0.0,0.1,0.1,0.0,0.1,,,,,,,,,,,,,500000.0,Nathan Bitumazala,3228,N. Bitumazala,19,60,74,178,68,Right,62,MF,14,550000,1000,247,51,39,54,65,38,280,62,52,41,60,65,316,65,63,62,56,70,231,53,54,34,54,36,265,68,62,41,49,45,183,59,64,60,57,7,14,14,11,11,3,Medium,Medium,1,,7.0,,,,,,,,,,,3.0,,,,BelgianProLeague,62.0
be BEL,"FW,MF",Oostende,23,1999,11,4,389,4.3,1,1,2,1,0,0,1,0,0.23,0.23,0.46,0.23,0.46,,,,,,,,,,,,,400000.0,Indy Boonen,2351,I. Boonen,23,65,70,177,67,Left,67,MF,5,1100000,3000,309,63,68,53,66,59,292,66,50,48,60,68,347,68,69,71,64,75,310,66,66,61,57,60,296,61,48,60,60,67,137,50,48,39,53,12,7,15,5,14,4,High,Medium,1,,5.0,,,,,,,,,,,2.0,,,,BelgianProLeague,48.0
ca CAN,"MF,FW",Club Brugge,23,1999,22,18,"1,622",18.0,1,2,3,1,0,0,6,0,0.06,0.11,0.17,0.06,0.17,,,,,,,,,,,,,10000000.0,Tajon Buchanan,1389,T. Buchanan,23,73,79,183,69,Right,74,MF,6,4800000,17000,301,64,63,60,64,50,289,77,49,30,57,76,402,93,91,79,70,69,342,66,79,76,66,55,297,62,49,64,67,55,167,55,62,50,44,13,9,7,8,7,3,High,Medium,1,,18.0,,,,,,,,,,,14.0,,,,BelgianProLeague,49.0
ua UKR,MF,R.F.C. Seraing,19,2003,7,3,293,3.3,0,1,1,0,0,0,0,0,0.0,0.31,0.31,0.0,0.31,,,,,,,,,,,,,200000.0,Denys Bunchukov,3618,D. Bunchukov,19,56,70,176,68,Right,58,MF,14,350000,1000,227,45,44,42,60,36,254,54,41,43,58,58,313,62,64,67,51,69,271,54,65,55,52,45,262,62,47,49,62,42,142,45,51,46,61,12,13,12,9,15,3,Medium,Medium,1,,4.0,,,,,,,,,,,4.0,,,,BelgianProLeague,47.0
be BEL,MF,R.F.C. Seraing,21,2001,25,21,"1,704",18.9,0,3,3,0,0,0,6,0,0.0,0.16,0.16,0.0,0.16,,,,,,,,,,,,,500000.0,Mathieu Cachbach,2571,M. Cachbach,21,64,72,181,72,Right,66,MF,8,1300000,3000,279,59,50,53,68,49,318,63,61,60,69,65,337,67,69,65,61,75,304,60,62,64,62,56,307,68,60,60,65,54,184,62,62,60,43,14,6,8,7,8,3,Medium,Medium,1,,24.0,,,,,,,,,,,23.0,,,,BelgianProLeague,60.0
tr TUR,"MF,FW",Standard Liège,17,2005,29,6,901,10.0,1,3,4,1,0,0,4,0,0.1,0.3,0.4,0.1,0.4,,,,,,,,,,,,,4000000.0,Cihan Çanak,2344,C. Çanak,17,65,81,175,65,Left,66,MF,16,1800000,550,287,65,55,50,65,52,303,68,60,52,58,65,378,82,79,78,57,82,253,56,53,60,40,44,252,58,33,54,60,47,102,29,40,33,46,15,8,7,9,7,3,High,High,1,,19.0,,,,,,,,,,,6.0,,,,BelgianProLeague,33.0
ar ARG,"MF,FW",Genk,21,2000,23,3,585,6.5,0,1,1,0,0,0,0,0,0.0,0.15,0.15,0.0,0.15,,,,,,,,,,,,,3000000.0,Nicolás Castro,1695,N. Castro,21,69,76,181,75,Right,71,MF,7,2800000,6000,300,65,67,35,72,61,351,69,72,65,71,74,303,65,61,60,54,63,300,70,36,64,58,72,289,38,49,67,73,62,143,47,49,47,47,8,12,6,11,10,4,Medium,Medium,1,,13.0,,,,,,,,,,,6.0,,,,BelgianProLeague,49.0
be BEL,MF,Oostende,23,1999,19,14,"1,184",13.2,1,0,1,1,0,0,0,1,0.08,0.0,0.08,0.08,0.08,,,,,,,,,,,,,450000.0,Robbie D'Haese,1834,R. D'Haese,23,68,74,180,64,Right,69,MF,6,1900000,5000,291,64,61,38,65,63,303,69,54,46,64,70,363,77,75,75,63,73,294,63,71,70,52,38,259,37,52,62,60,48,174,58,58,58,48,6,10,7,11,14,3,Medium,Medium,1,,18.0,,,,,,,,,,,25.0,,,,BelgianProLeague,52.0
il ISR,"FW,MF",Standard Liège,21,2001,21,3,501,5.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1000000.0,Osher Davida,2166,O. Davida,21,66,75,177,74,Left,69,MF,9,1900000,4000,317,65,66,57,67,62,326,70,64,65,60,67,366,82,77,74,58,75,342,72,77,61,67,65,261,57,23,62,58,61,72,21,28,23,53,14,15,6,7,11,4,Medium,Medium,1,,4.0,,,,,,,,,,,3.0,,,,BelgianProLeague,23.0
be BEL,MF,Kortrijk,20,2002,14,4,450,5.0,1,1,2,1,0,0,0,0,0.2,0.2,0.4,0.2,0.4,,,,,,,,,,,,,400000.0,Dion De Neve,2760,D. De Neve,21,63,72,182,68,Left,64,MF,9,1100000,2000,257,60,56,37,56,48,270,65,43,36,58,68,370,79,73,74,60,84,264,71,67,57,29,40,246,34,49,50,56,57,148,53,52,43,42,15,6,7,7,7,3,Medium,Medium,1,,10.0,,,,,,,,,,,4.0,,,,BelgianProLeague,49.0
be BEL,MF,Cercle Brugge,22,2000,30,29,"2,439",27.1,1,4,5,1,0,0,7,1,0.04,0.15,0.18,0.04,0.18,,,,,,,,,,,,,3000000.0,Olivier Deman,1699,O. Deman,22,69,78,181,70,Left,70,MF,9,3100000,7000,324,58,67,63,71,65,306,69,58,48,58,73,356,76,78,76,59,67,363,73,81,84,63,62,296,74,49,70,58,45,132,44,43,45,53,10,15,5,10,13,3,Medium,Medium,1,,51.0,,,,,,,,,,,48.0,,,,BelgianProLeague,49.0
fr FRA,"DF,MF",R.F.C. Seraing,23,1999,2,0,78,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,350000.0,Mahamadou Dembélé,3089,M. Dembélé,23,61,67,186,78,Right,63,MF,6,475000,2000,208,33,32,67,51,25,197,49,27,28,39,54,255,53,32,58,49,63,284,51,75,65,74,19,229,60,62,29,39,39,183,56,64,63,47,7,11,10,13,6,3,Medium,Medium,1,,0.0,,,,,,,,,,,1.0,,,,BelgianProLeague,62.0
be BEL,MF,Zulte Waregem,18,2004,2,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,100000.0,Dylan Demuynck,3231,D. Demuynck,18,60,75,177,62,Left,61,MF,15,575000,850,258,52,54,44,56,52,264,71,50,36,44,63,358,78,71,76,54,79,217,58,34,47,37,41,211,34,26,51,53,47,81,28,28,25,45,13,7,5,12,8,3,High,Low,1,,0.0,,,,,,,,,,,0.0,,,,BelgianProLeague,26.0
be BEL,MF,Oostende,23,1999,23,18,"1,325",14.7,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,500000.0,Sieben Dewaele,2171,S. Dewaele,23,66,72,180,74,Right,67,MF,6,1200000,3000,276,68,40,51,72,45,299,63,48,50,71,67,332,63,68,70,63,68,297,53,63,64,58,59,275,58,64,47,65,41,190,60,66,64,50,11,10,9,15,5,4,Medium,Medium,1,,36.0,,,,,,,,,,,26.0,,,,BelgianProLeague,64.0
gn GUI,"MF,DF",Eupen,18,2003,10,2,341,3.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,350000.0,Ibrahim Diakité,2357,I. Diakité,18,65,77,178,75,Right,65,MF,12,1600000,2000,248,59,37,58,60,34,264,64,53,35,51,61,324,70,72,60,58,64,300,51,71,71,63,44,247,54,60,51,39,43,192,61,66,65,56,9,12,12,14,9,3,Medium,Medium,1,,5.0,,,,,,,,,,,4.0,,,,BelgianProLeague,60.0
ro ROU,"FW,MF",Standard Liège,23,1999,19,13,"1,020",11.3,4,0,4,4,0,0,4,0,0.35,0.0,0.35,0.35,0.35,,,,,,,,,,,,,1400000.0,Denis Drăguș,2091,D. Drăguș,22,67,73,185,80,Right,69,MF,6,1700000,6000,314,53,69,66,59,67,276,70,63,37,40,66,372,78,81,78,62,73,340,59,76,72,71,62,256,68,12,64,53,59,45,16,10,19,46,7,12,9,11,7,2,Medium,Low,1,,14.0,,,,,,,,,,,2.0,,,,BelgianProLeague,12.0
be BEL,MF,Sint-Truiden,20,2002,8,3,371,4.1,1,0,1,1,0,0,1,0,0.24,0.0,0.24,0.24,0.24,,,,,,,,,,,,,300000.0,Olivier Dumont,3355,O. Dumont,20,59,69,183,69,Right,61,MF,10,500000,2000,270,58,42,52,65,53,298,60,55,56,65,62,314,59,67,73,50,65,256,58,58,51,41,48,257,52,52,50,62,41,150,49,54,47,39,6,6,14,8,5,5,Medium,Medium,1,,2.0,,,,,,,,,,,7.0,,,,BelgianProLeague,52.0
be BEL,"MF,FW",Anderlecht,16,2006,6,2,269,3.0,1,0,1,1,0,0,1,0,0.33,0.0,0.33,0.33,0.33,,,,,,,,,,,,,8500000.0,Julien Duranville,816,J. Duranville,16,64,86,170,59,Right,66,MF,22,1800000,1000,259,53,61,33,61,51,320,76,63,55,56,70,389,89,84,87,44,85,308,64,82,48,51,63,209,43,15,48,55,48,68,17,28,23,51,10,6,9,15,11,3,Medium,Medium,1,,4.0,,,,,,,,,,,1.0,,,,BelgianProLeague,15.0
be BEL,MF,Oostende,18,2004,8,2,305,3.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,700000.0,Pierre Dwomoh,2559,P. Dwomoh,18,64,80,188,69,Right,66,MF,16,1500000,2000,271,58,53,46,68,46,317,76,54,50,65,72,328,73,72,75,45,63,297,53,70,53,70,51,283,74,48,51,61,49,156,41,59,56,60,7,12,14,12,15,3,High,Medium,1,,4.0,,,,,,,,,,,6.0,,,,BelgianProLeague,48.0
dk DEN,"DF,MF",Kortrijk,21,2001,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1000000.0,Nikolas Dyhr,1703,N. Dyhr,21,69,75,177,66,Left,69,MF,6,2100000,8000,289,66,55,52,67,49,299,66,57,45,62,69,377,77,84,75,64,77,323,64,70,76,66,47,297,58,62,66,59,52,190,63,65,62,56,13,13,11,8,11,3,High,High,1,,0.0,,,,,,,,,,,0.0,,,,BelgianProLeague,62.0
nl NED,MF,Antwerp,22,2000,27,22,"1,876",20.8,5,7,12,5,0,0,4,0,0.24,0.34,0.58,0.24,0.58,,,,,,,,,,,,,6000000.0,Jurgen Ekkelenkamp,1435,J. Ekkelenkamp,22,72,78,188,83,Right,74,MF,6,3800000,13000,329,62,69,66,74,58,353,74,71,63,70,75,314,68,50,68,71,57,357,69,69,78,73,68,329,66,57,76,75,55,178,62,61,55,51,13,6,12,14,6,4,Medium,Medium,1,,20.0,,,,,,,,,,,12.0,,,,BelgianProLeague,57.0
gm GAM,"MF,FW",Zulte Waregem,20,2001,33,31,"2,716",30.2,7,6,13,7,0,0,7,0,0.23,0.2,0.43,0.23,0.43,,,,,,,,,,,,,3000000.0,Alieu Fadera,2175,A. Fadera,20,66,76,181,69,Right,67,MF,10,1900000,3000,291,53,65,58,64,51,293,64,66,37,60,66,375,84,84,77,57,73,345,70,77,72,65,61,262,52,39,59,61,51,165,57,57,51,56,9,11,10,11,15,4,High,Medium,1,,78.0,,,,,,,,,,,22.0,,,,BelgianProLeague,39.0
be BEL,"MF,FW",Gent,17,2005,19,8,769,8.5,0,2,2,0,0,0,0,0,0.0,0.23,0.23,0.0,0.23,,,,,,,,,,,,,2800000.0,Malick Fofana,2555,M. Fofana,17,64,82,169,61,Left,65,MF,18,1500000,650,254,52,57,32,60,53,301,74,55,52,50,70,389,83,78,88,54,86,277,55,80,49,37,56,219,31,23,47,60,58,50,19,16,15,50,11,6,13,11,9,4,Medium,Medium,1,,10.0,,,,,,,,,,,4.0,,,,BelgianProLeague,23.0
be BEL,"MF,FW",Gent,17,2005,19,8,769,8.5,0,2,2,0,0,0,0,0,0.0,0.23,0.23,0.0,0.23,,,,,,,,,,,,,2800000.0,Malick Fofana,2555,M. Fofana,17,64,82,169,61,Left,65,MF,18,1500000,650,254,52,57,32,60,53,301,74,55,52,50,70,389,83,78,88,54,86,277,55,80,49,37,56,219,31,23,47,60,58,50,19,16,15,50,11,6,13,11,9,4,Medium,Medium,1,,54.0,,,,,,,,,,,29.0,,,,Ligue2,23.0
us USA,"MF,DF",Standard Liège,23,1998,22,18,"1,687",18.7,4,1,5,4,0,0,3,0,0.21,0.05,0.27,0.21,0.27,,,,,,,,,,,,,2500000.0,Marlon Fossey,1828,M. Fossey,23,68,73,179,76,Right,68,MF,5,1700000,5000,255,64,44,49,64,34,264,66,47,38,50,63,398,84,85,84,67,78,311,42,89,74,61,45,289,48,62,70,60,49,180,61,61,58,44,9,6,8,11,10,3,High,Medium,1,,20.0,,,,,,,,,,,34.0,,,,BelgianProLeague,62.0
ar ARG,MF,Genk,20,2002,8,0,80,0.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1000000.0,Matías Galarza,1983,M. Galarza,20,67,77,180,72,Right,69,MF,10,2100000,4000,293,59,52,50,70,62,337,68,71,58,68,72,365,73,68,76,65,83,282,52,54,64,58,54,323,69,66,66,70,52,183,56,64,63,55,7,12,13,10,13,3,Medium,Medium,1,,2.0,,,,,,,,,,,0.0,,,,BelgianProLeague,66.0
fr FRA,"FW,MF",Cercle Brugge,21,2001,23,6,691,7.7,2,4,6,2,0,0,0,0,0.26,0.52,0.78,0.26,0.78,,,,,,,,,,,,,1800000.0,Yann Gboho,1992,Y. Gboho,21,67,76,178,64,Right,70,MF,9,2300000,5000,297,62,61,50,65,59,320,75,61,53,59,72,376,79,74,81,65,77,282,64,45,65,52,56,267,50,30,63,64,60,104,34,36,34,56,7,15,11,13,10,2,Medium,Medium,1,,6.0,,,,,,,,,,,4.0,,,,BelgianProLeague,30.0
be BEL,MF,Genk,20,2002,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,600000.0,Jay-Dee Geusens,2554,J. Geusens,20,64,75,185,76,Right,66,MF,11,1300000,3000,288,69,57,52,67,43,351,65,73,71,71,71,301,64,57,58,58,64,328,70,59,65,61,73,286,59,40,50,67,70,126,42,43,41,59,9,13,13,12,12,3,Medium,Medium,1,,0.0,,,,,,,,,,,1.0,,,,BelgianProLeague,40.0
es ESP,"DF,MF",Anderlecht,21,2000,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2000000.0,Sergio Gómez,276,Sergio Gómez,21,74,83,171,68,Left,76,MF,9,9000000,53000,334,77,67,47,74,69,371,76,75,76,69,75,382,76,65,85,73,83,347,72,71,76,58,70,367,68,73,72,76,78,212,70,72,70,48,11,7,9,11,10,3,High,Medium,1,,0.0,,,,,,,,,,,0.0,,,,BelgianProLeague,73.0
be BEL,"MF,FW",R.F.C. Seraing,21,2001,19,4,476,5.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,300000.0,Valentin Guillaume,3235,V. Guillaume,21,60,68,183,72,Left,62,MF,8,550000,2000,267,58,53,54,60,42,287,60,53,55,59,60,300,61,69,62,56,52,324,58,60,72,77,57,281,57,54,60,61,49,163,53,58,52,55,10,9,14,13,9,3,High,High,1,,2.0,,,,,,,,,,,7.0,,,,BelgianProLeague,54.0
be BEL,MF,Anderlecht,20,2002,3,1,96,1.1,1,0,1,1,0,0,0,0,0.94,0.0,0.94,0.94,0.94,,,,,,,,,,,,,1700000.0,Anouar Ait El Hadj,1694,A. Ait El Hadj,20,69,79,168,70,Right,71,MF,10,3100000,6000,283,63,57,32,73,58,342,75,65,63,65,74,383,77,67,83,65,91,329,66,71,83,53,56,267,62,44,57,68,36,132,46,48,38,50,6,14,9,13,8,3,Medium,Medium,1,,2.0,,,,,,,,,,,0.0,,,,BelgianProLeague,44.0
jp JPN,"MF,DF",Sint-Truiden,23,1999,32,31,"2,755",30.6,0,2,2,0,0,0,3,0,0.0,0.07,0.07,0.0,0.07,,,,,,,,,,,,,1800000.0,Daiki Hashioka,1696,D. Hashioka,23,69,74,184,81,Right,69,MF,5,2000000,6000,310,68,58,65,66,53,307,64,64,53,60,66,330,72,73,58,68,59,356,62,75,86,73,60,300,66,57,64,63,50,193,66,65,62,40,11,6,10,7,6,3,Medium,High,1,,36.0,,,,,,,,,,,49.0,,,,BelgianProLeague,57.0
be BEL,"MF,FW",Charleroi,23,1999,33,20,"1,722",19.1,6,1,7,5,1,1,3,0,0.31,0.05,0.37,0.26,0.31,,,,,,,,,,,,,2000000.0,Daan Heymans,1829,D. Heymans,23,68,73,193,79,Right,71,MF,5,1800000,6000,339,58,71,72,70,68,332,66,67,62,68,69,298,53,62,62,69,52,338,72,59,72,68,67,317,57,53,72,66,69,161,48,61,52,50,5,13,14,12,6,3,High,Medium,1,,19.0,,,,,,,,,,,8.0,,,,BelgianProLeague,53.0
ir IRN,"MF,FW",Charleroi,21,2000,23,12,"1,097",12.2,2,2,4,2,0,0,3,0,0.16,0.16,0.33,0.16,0.33,,,,,,,,,,,,,800000.0,Amirhossein Hosseinzadeh,2167,A. Hosseinzadeh,21,66,73,178,80,Right,68,MF,7,1800000,4000,320,57,60,63,67,73,326,71,61,61,62,71,332,69,69,68,61,65,337,72,70,55,71,69,266,57,26,62,56,65,121,33,47,41,44,14,7,9,6,8,3,Medium,Medium,1,,19.0,,,,,,,,,,,11.0,,,,BelgianProLeague,26.0
dz ALG,"MF,FW",Kortrijk,22,2000,16,13,"1,220",13.6,4,1,5,4,0,0,4,0,0.3,0.07,0.37,0.3,0.37,,,,,,,,,,,,,3300000.0,Abdelkahar Kadri,1589,A. Kadri,22,70,77,170,69,Right,72,MF,7,3200000,8000,309,60,67,48,72,62,347,79,68,63,62,75,373,76,71,79,64,83,320,70,69,57,59,65,318,71,63,64,66,54,187,58,66,63,49,7,9,8,13,12,4,Medium,Medium,1,,32.0,,,,,,,,,,,20.0,,,,BelgianProLeague,63.0
