Club,Player,Market Value (€)
FC Toulouse,Maxime Dupé,1000000.0
FC Toulouse,Isak Pettersson,800000.0
FC Toulouse,Mauro Goicoechea,250000.0
FC Toulouse,Florentin Bloch,250000.0
FC Toulouse,Thomas Himeur,0.0
FC Toulouse,Bafodé Diakité,5000000.0
FC Toulouse,Agustín Rogel,1500000.0
FC Toulouse,Ruben Gabrielsen,1000000.0
FC Toulouse,Sébastien Dewaest,1000000.0
FC Toulouse,Anthony Rouault,1000000.0
FC Toulouse,Moussa Diarra,450000.0
FC Toulouse,Jean-Philippe Célestin,0.0
FC Toulouse,Kévin Keben,0.0
FC Toulouse,Deiver Machado,900000.0
FC Toulouse,Mathieu Gonçalves,450000.0
FC Toulouse,Tom Rapnouil,0.0
FC Toulouse,Kelvin Amian,3500000.0
FC Toulouse,Steven Moreira,1000000.0
FC Toulouse,Sacha Semaoun,0.0
FC Toulouse,Ibrahim Sangaré,9000000.0
FC Toulouse,Kalidou Sidibé,1300000.0
FC Toulouse,Stijn Spierings,1200000.0
FC Toulouse,Sam Sanna,600000.0
FC Toulouse,Manu Koné,7000000.0
FC Toulouse,Brecht Dejaegere,2200000.0
FC Toulouse,Branco van den Boomen,1000000.0
FC Toulouse,Samuel Kasongo,175000.0
FC Toulouse,Steve Mvoué,0.0
FC Toulouse,Naatan Skyttä,250000.0
FC Toulouse,Iliès Soudani,0.0
FC Toulouse,Amine Adli,6000000.0
FC Toulouse,Adil Taoui,400000.0
FC Toulouse,Nathan Ngoumou,450000.0
FC Toulouse,Mamady Bangré,0.0
FC Toulouse,Janis Antiste,3000000.0
FC Toulouse,Aaron Leya Iseka,2500000.0
FC Toulouse,Wesley Saïd,1500000.0
FC Toulouse,Rhys Healey,1200000.0
FC Toulouse,Efthymios Koulouris,1200000.0
FC Toulouse,Vakoun Bayo,1000000.0
FC Toulouse,Firmin Mubele,600000.0
FC Toulouse,Stéphane Zobo,150000.0
FC Toulouse,Paul Bonneau,0.0
Amiens SC,Régis Gurtner,800000.0
Amiens SC,Yohann Thuram,300000.0
Amiens SC,Grégoire Coudert,200000.0
Amiens SC,Prince Gouano,1000000.0
Amiens SC,Nicholas Opoku,1000000.0
Amiens SC,Molla Wagué,800000.0
Amiens SC,Nathan Monzango,800000.0
Amiens SC,Emmanuel Lomotey,500000.0
Amiens SC,Aurélien Chedjou,300000.0
Amiens SC,Racine Coly,1300000.0
Amiens SC,Adam Lewis,500000.0
Amiens SC,Sanasi Sy,500000.0
Amiens SC,Matthéo Xantippe,0.0
Amiens SC,Mickaël Alphonse,650000.0
Amiens SC,Valentin Gendrey,500000.0
Amiens SC,Youssouf Assogba,350000.0
Amiens SC,Bandeira,150000.0
Amiens SC,Alexis Blin,2500000.0
Amiens SC,Eddy Gnahoré,1000000.0
Amiens SC,Gaoussou Traoré,400000.0
Amiens SC,Ayman Ouhatti,0.0
Amiens SC,Mathis Lachuer,0.0
Amiens SC,Arnaud Lusamba,2000000.0
Amiens SC,Bongani Zungu,1000000.0
Amiens SC,Sambou Yatabaré,350000.0
Amiens SC,Saman Ghoddos,3000000.0
Amiens SC,Iron Gomis,1500000.0
Amiens SC,Driss Khalid,200000.0
Amiens SC,Jonathan Bumbu,150000.0
Amiens SC,Stiven Mendoza,2000000.0
Amiens SC,Amadou Ciss,1000000.0
Amiens SC,Jayson Papeau,600000.0
Amiens SC,Charbel Gomez,200000.0
Amiens SC,Juan Otero,3500000.0
Amiens SC,Adama Diakhaby,2500000.0
Amiens SC,Cheick Timite,1000000.0
Amiens SC,Chadrac Akolo,800000.0
Amiens SC,Abou Ouattara,800000.0
Amiens SC,Florian Bianchini,500000.0
Amiens SC,Serhou Guirassy,12000000.0
Amiens SC,Moussa Konaté,2500000.0
Amiens SC,Stephen Odey,1600000.0
Amiens SC,Jack Lahne,700000.0
Amiens SC,Mustapha Sangaré,300000.0
Amiens SC,Darell Tokpa,300000.0
Amiens SC,Joshua Adeyileka,0.0
ESTAC Troyes,Gauthier Gallon,1500000.0
ESTAC Troyes,Sébastien Rénot,250000.0
ESTAC Troyes,Ryan Bouallak,200000.0
ESTAC Troyes,Jimmy Giraudon,1500000.0
ESTAC Troyes,Yoann Salmier,1500000.0
ESTAC Troyes,Stone Mambo,700000.0
ESTAC Troyes,Gabriel Mutombo,600000.0
ESTAC Troyes,Mahamadou Dembélé,350000.0
ESTAC Troyes,Rémy Vita,1000000.0
ESTAC Troyes,Terence Baya,400000.0
ESTAC Troyes,Enzo El Fattahi,0.0
ESTAC Troyes,Oualid El Hajjam,800000.0
ESTAC Troyes,Benrandy Abdallah,150000.0
ESTAC Troyes,Rui Pires,800000.0
ESTAC Troyes,Eden Massouema,300000.0
ESTAC Troyes,Rominigue Kouamé,2000000.0
ESTAC Troyes,Florian Tardieu,1500000.0
ESTAC Troyes,Tristan Dingomé,1300000.0
ESTAC Troyes,Rayan Raveloson,1000000.0
ESTAC Troyes,Filip Krastev,800000.0
ESTAC Troyes,Karim Azamoum,300000.0
ESTAC Troyes,Kemehlo Nguena,150000.0
ESTAC Troyes,Calvin Bombo,150000.0
ESTAC Troyes,Maxime Barthelmé,400000.0
ESTAC Troyes,Dylan Chambost,1300000.0
ESTAC Troyes,Brandon Dominguès,700000.0
ESTAC Troyes,Adel Berkane,100000.0
