Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
Diego Moreno,es ESP,"DF,MF",CD Mirandés,22,2001,10,5,542,6.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Diego Moreno,es ESP,DF,Cartagena,22,2001,15,5,519,5.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Pablo Moreno,es ESP,FW,FC Andorra,21,2002,10,1,253,2.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Raúl Moro,es ESP,"MF,FW",Valladolid,20,2002,30,18,"1,541",17.1,2,4,6,2,0,0,3,0,0.12,0.23,0.35,0.12,0.35
Morro,es ESP,GK,Villarreal B,22,2000,9,9,810,9.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Santiago Mouriño,uy URU,DF,Zaragoza,21,2002,28,25,"2,142",23.8,1,0,1,1,0,0,9,1,0.04,0.00,0.04,0.04,0.04
Iván Muñoz,es ESP,FW,Valladolid,18,2005,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Marcos Navarro,es ESP,DF,Levante,19,2004,3,0,56,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Pau Navarro,es ESP,"MF,DF",Villarreal B,18,2005,13,11,996,11.1,1,0,1,1,0,0,1,0,0.09,0.00,0.09,0.09,0.09
Sergio Navarro,es ESP,FW,Leganés,22,2001,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Fernando Niño,es ESP,FW,Burgos,22,2000,37,32,"2,638",29.3,6,4,10,6,0,0,8,0,0.20,0.14,0.34,0.20,0.34
Hugo Novoa,es ESP,MF,Villarreal B,20,2003,11,7,577,6.4,0,2,2,0,0,0,0,0,0.00,0.31,0.31,0.00,0.31
Núñez,es ESP,"DF,MF",Amorebieta,23,2000,39,35,"3,153",35.0,2,2,4,2,0,0,8,0,0.06,0.06,0.11,0.06,0.11
Rafael Nuñez,do DOM,MF,Elche,21,2002,6,2,188,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Lucas Oliveira Rosa,br BRA,"DF,MF",Valladolid,23,2000,35,11,"1,645",18.3,1,1,2,1,0,0,6,0,0.05,0.05,0.11,0.05,0.11
Jandro Orellana,es ESP,MF,FC Andorra,22,2000,31,28,"2,403",26.7,1,1,2,1,0,0,6,0,0.04,0.04,0.07,0.04,0.07
Ekhiotz Orobio,es ESP,MF,CD Mirandés,21,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Arnau Ortiz,es ESP,FW,Cartagena,21,2001,14,3,497,5.5,0,1,1,0,0,0,2,0,0.00,0.18,0.18,0.00,0.18
Arnau Ortiz,es ESP,MF,Eldense,21,2001,9,2,285,3.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Sydney Osazuwa,es ESP,FW,Leganés,16,2007,2,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Antonio Pacheco,es ESP,"MF,FW",Albacete,21,2002,27,3,604,6.7,1,1,2,1,0,0,1,0,0.15,0.15,0.30,0.15,0.30
Javi Pamies,es ESP,DF,Elche,20,2003,2,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Diego Pampín,es ESP,"DF,MF",FC Andorra,23,2000,34,30,"2,728",30.3,1,2,3,1,0,0,2,0,0.03,0.07,0.10,0.03,0.10
Pascu,es ESP,FW,Villarreal B,20,2003,39,29,"2,493",27.7,4,4,8,4,0,0,6,0,0.14,0.14,0.29,0.14,0.29
Alex Pastor,es ESP,DF,FC Andorra,23,1999,25,24,"2,142",23.8,1,1,2,1,0,0,4,0,0.04,0.04,0.08,0.04,0.08
Peque,es ESP,MF,Racing Sant,20,2002,40,34,"2,834",31.5,18,3,21,10,8,9,6,0,0.57,0.10,0.67,0.32,0.41
Hugo Perez,es ESP,DF,Villarreal B,20,2002,4,3,162,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Manuel Pozo,es ESP,MF,Valladolid,21,2001,1,1,60,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Arnau Puigmal,es ESP,"MF,DF",Elche,22,2001,13,7,592,6.6,0,4,4,0,0,0,1,0,0.00,0.61,0.61,0.00,0.61
Ruben Pulido Peñas,es ESP,DF,Huesca,22,2000,7,7,519,5.8,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Dani Queipo,es ESP,MF,Sporting Gijón,21,2002,26,3,640,7.1,3,0,3,3,0,0,3,0,0.42,0.00,0.42,0.42,0.42
Alberto Quintana,es ESP,DF,Valladolid,21,2001,6,2,253,2.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Luis Quintero,co COL,MF,Amorebieta,18,2004,18,2,365,4.1,0,1,1,0,0,0,1,0,0.00,0.25,0.25,0.00,0.25
Ramón,es ESP,GK,CD Mirandés,23,1999,35,35,"3,150",35.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Ramon,br BRA,"DF,MF",Espanyol,22,2001,13,3,448,5.0,0,2,2,0,0,0,2,0,0.00,0.40,0.40,0.00,0.40
Pablo Ramon,es ESP,DF,CD Mirandés,22,2001,35,33,"2,980",33.1,0,1,1,0,0,0,9,0,0.00,0.03,0.03,0.00,0.03
Abraham Rando,es ESP,DF,Villarreal B,22,2001,17,12,"1,109",12.3,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00
Rebollo,es ESP,GK,Zaragoza,23,1999,9,9,810,9.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Daniel Requena,es ESP,"MF,FW",Villarreal B,19,2004,38,11,"1,366",15.2,1,0,1,1,0,0,7,0,0.07,0.00,0.07,0.07,0.07
Nico Ribaudo,es ESP,"MF,FW",Espanyol,22,2001,22,16,"1,330",14.8,4,3,7,4,0,0,6,1,0.27,0.20,0.47,0.27,0.47
Manuel Rico,es ESP,MF,Huesca,20,2003,5,1,108,1.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Lucas Ricoy,es ESP,FW,Burgos,20,2003,4,0,27,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
