Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
Aremu Afeez,ng NGA,MF,Kaiserslautern,23,1999,5,0,56,0.6,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00
Nikolas Agrafiotis,nl NED,FW,Wehen,23,2000,12,5,434,4.8,1,0,1,1,0,0,0,0,0.21,0.00,0.21,0.21,0.21
Xavier Amaechi,eng ENG,"FW,MF",Magdeburg,22,2001,16,9,699,7.8,1,1,2,1,0,0,2,0,0.13,0.13,0.26,0.13,0.26
Youssef Amyn,iq IRQ,"MF,FW",Braunschweig,19,2003,9,2,328,3.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Ilyas Ansah,de GER,"FW,MF",Paderborn 07,18,2004,24,14,"1,212",13.5,1,2,3,1,0,0,3,0,0.07,0.15,0.22,0.07,0.22
Shinta Appelkamp,de GER,MF,Düsseldorf,22,2000,25,19,"1,701",18.9,3,10,13,3,0,0,0,0,0.16,0.53,0.69,0.16,0.69
Jann-Fiete Arp,de GER,"FW,MF",Holstein Kiel,23,2000,17,8,770,8.6,5,2,7,5,0,0,2,0,0.58,0.23,0.82,0.58,0.82
Bright Arrey-Mbi,de GER,DF,Hannover 96,20,2003,32,28,"2,456",27.3,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Simon Asta,de GER,MF,Greuther Fürth,22,2001,32,32,"2,650",29.4,2,4,6,2,0,0,5,0,0.07,0.14,0.20,0.07,0.20
Aurel Badji Wagbe,de GER,MF,Holstein Kiel,19,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Florian Bähr,de GER,DF,Osnabrück,20,2003,5,0,47,0.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Scott Banks,sct SCO,MF,St. Pauli,21,2001,4,0,70,0.8,0,1,1,0,0,0,1,0,0.00,1.29,1.29,0.00,1.29
Nick Bätzner,de GER,MF,Wehen,23,2000,24,18,"1,544",17.2,1,1,2,1,0,0,3,0,0.06,0.06,0.12,0.06,0.12
Marcel Beifus,de GER,DF,Karlsruher,20,2002,21,13,"1,214",13.5,1,0,1,1,0,0,1,0,0.07,0.00,0.07,0.07,0.07
Louey Ben Farhat,tn TUN,MF,Karlsruher,17,2006,1,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Filip Bilbija,de GER,"MF,FW",Paderborn 07,23,2000,27,25,"2,020",22.4,5,5,10,5,0,0,4,1,0.22,0.22,0.45,0.22,0.45
Luca Böggemann,de GER,GK,Osnabrück,19,2004,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Calvin Brackelmann,de GER,DF,Paderborn 07,23,1999,13,8,738,8.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Jascha Brandt,de GER,DF,Paderborn 07,20,2003,1,0,23,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Nathaniel Brown,de GER,DF,Nürnberg,20,2003,29,27,"2,405",26.7,0,5,5,0,0,0,5,0,0.00,0.19,0.19,0.00,0.19
Taylan Bulut,de GER,MF,Schalke 04,17,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Daniel Bunk,de GER,MF,Düsseldorf,19,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Kerim Calhanoglu,de GER,"DF,MF",Greuther Fürth,20,2002,11,3,324,3.6,0,1,1,0,0,0,0,0,0.00,0.28,0.28,0.00,0.28
Kaan Caliskaner,de GER,FW,Braunschweig,23,1999,11,3,370,4.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Niklas Castelle,de GER,FW,Schalke 04,20,2002,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jens Castrop,de GER,MF,Nürnberg,20,2003,27,23,"2,026",22.5,3,2,5,3,0,0,11,2,0.13,0.09,0.22,0.13,0.22
Jason Ceka,de GER,"FW,MF",Magdeburg,23,1999,22,14,"1,131",12.6,1,6,7,1,0,0,4,0,0.08,0.48,0.56,0.08,0.56
Gustav Christensen,dk DEN,MF,Hertha BSC,18,2004,12,1,286,3.2,0,1,1,0,0,0,2,0,0.00,0.31,0.31,0.00,0.31
Darko Churlinov,mk MKD,"FW,MF",Schalke 04,23,2000,10,4,320,3.6,1,0,1,1,0,0,3,0,0.28,0.00,0.28,0.28,0.28
Ibrahima Cissé,ml MLI,DF,Schalke 04,22,2001,4,3,232,2.6,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00
