Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG
Yann Gboho,fr FRA,"MF,FW",Toulouse,22,2001,16,13,"1,193",13.3,3,2,5,3,0,0,1,0,1.2,1.2,1.7,2.9,65,48,97,0.23,0.15,0.38,0.23,0.38,0.09,0.13,0.22,0.09,0.22
Gelabert,es ESP,"MF,FW",Toulouse,22,2000,16,10,754,8.4,1,2,3,1,0,0,1,0,0.8,0.8,1.3,2.1,14,33,57,0.12,0.24,0.36,0.12,0.36,0.09,0.16,0.25,0.09,0.25
Angel Gomes,eng ENG,MF,Lille,22,2000,31,29,"2,571",28.6,0,8,8,0,0,0,5,0,2.0,2.0,6.2,8.2,49,204,71,0.00,0.28,0.28,0.00,0.28,0.07,0.22,0.29,0.07,0.29
Amine Gouiri,dz ALG,"FW,MF",Rennes,23,2000,31,24,"2,067",23.0,7,3,10,7,0,0,2,0,7.4,7.3,1.7,9.1,59,82,185,0.30,0.13,0.44,0.30,0.44,0.32,0.08,0.40,0.32,0.39
Axel Gueguin,fr FRA,"DF,FW",Montpellier,18,2005,3,1,132,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,3,6,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04
Evann Guessand,ci CIV,FW,Nice,22,2001,34,14,"1,553",17.3,6,0,6,4,2,2,1,0,8.4,6.8,1.4,8.2,40,34,114,0.35,0.00,0.35,0.23,0.23,0.48,0.08,0.56,0.39,0.47
Jaouen Hadjam,dz ALG,DF,Nantes,20,2003,8,0,112,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,6,10,17,0.00,0.00,0.00,0.00,0.00,0.03,0.29,0.32,0.03,0.32
Luis Henrique,br BRA,"FW,DF",Marseille,21,2001,15,8,784,8.7,1,0,1,1,0,0,0,0,1.3,1.3,0.7,2.0,30,40,84,0.11,0.00,0.11,0.11,0.11,0.15,0.08,0.23,0.15,0.23
Andrej Ilic,rs SRB,FW,Lille,23,2000,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Yanis Issoufou,fr FRA,MF,Montpellier,16,2006,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jérémy Jacquet,fr FRA,MF,Rennes,18,2005,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
