Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
Imanol Segovia,ar ARG,DF,Independiente Rivadavia,22,2001,1,0,5,0.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Imanol Segovia,ar ARG,DF,Talleres,22,2001,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Santiago Segovia,ar ARG,MF,Rosario Central,16,2007,4,1,133,1.5,1,0,1,1,0,0,1,0,0.68,0.00,0.68,0.68,0.68
Luis Sequeira,ar ARG,MF,Independiente Rivadavia,21,2003,19,11,997,11.1,1,1,2,1,0,0,6,1,0.09,0.09,0.18,0.09,0.18
Luis Sequeira,ar ARG,MF,Talleres,21,2003,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Kevin Silva,ar ARG,DF,Rosario Central,20,2003,1,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Mateo Silvetti,ar ARG,MF,Newell's OB,18,2006,20,13,"1,217",13.5,4,1,5,4,0,0,2,0,0.30,0.07,0.37,0.30,0.37
Santiago Simón,ar ARG,"MF,DF",River Plate,21,2002,24,21,"1,731",19.2,0,1,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05
Pablo Solari,ar ARG,"FW,MF",River Plate,22,2001,22,19,"1,483",16.5,6,1,7,6,0,0,3,0,0.36,0.06,0.42,0.36,0.42
Julio Soler,ar ARG,DF,Lanús,18,2005,19,18,"1,622",18.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Matías Sosa,ar ARG,MF,Defensa y Just,22,2001,7,2,185,2.1,1,0,1,1,0,0,1,0,0.49,0.00,0.49,0.49,0.49
Santiago Sosa,ar ARG,MF,San Lorenzo,19,2005,17,11,885,9.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
David Sotelo,ar ARG,MF,Newell's OB,20,2003,1,0,27,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Sheyko Studer,ar ARG,DF,Independiente Rivadavia,21,2002,14,13,"1,243",13.8,2,0,2,2,0,0,4,0,0.14,0.00,0.14,0.14,0.14
Ian Subiabre,ar ARG,FW,River Plate,17,2007,1,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Vicente Taborda,ar ARG,MF,Platense,22,2001,14,9,762,8.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Vicente Taborda,ar ARG,MF,Boca Juniors,22,2001,2,1,79,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Patricio Tanda,ar ARG,MF,Unión,21,2002,11,1,246,2.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Ignacio Tapia,ar ARG,MF,Belgrano,19,2004,2,1,60,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Diego Tarzia,ar ARG,"FW,MF",Independiente,20,2003,19,11,909,10.1,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Fabricio Tirado,ar ARG,MF,Newell's OB,19,2004,2,1,62,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Agustín Toledo,ar ARG,MF,Huracán,23,2000,6,2,184,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Nicolás Tolosa,ar ARG,DF,Barracas Central,22,2001,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Santiago Toloza,ar ARG,MF,Independiente,21,2002,3,1,131,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Gonzalo Trindade,ar ARG,DF,Cen. Córdoba–SdE,19,2004,5,4,359,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Mariano Troilo,ar ARG,DF,Belgrano,20,2003,21,16,"1,570",17.4,1,0,1,1,0,0,8,0,0.06,0.00,0.06,0.06,0.06
Manuel Tucker,ar ARG,FW,Platense,19,2004,1,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Silvio Ulariaga,ar ARG,FW,Godoy Cruz,21,2002,5,5,371,4.1,2,0,2,1,1,1,0,0,0.49,0.00,0.49,0.24,0.24
Agustín Urzi,ar ARG,"MF,FW",Racing Club,23,2000,13,6,610,6.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Javier Vallejo,ar ARG,MF,Independiente,20,2004,4,2,169,1.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Claudio Valverde,ar ARG,DF,Godoy Cruz,21,2002,3,0,51,0.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Lucas Varaldo,ar ARG,FW,Cen. Córdoba–SdE,21,2002,20,16,"1,308",14.5,3,2,5,2,1,1,0,0,0.21,0.14,0.34,0.14,0.28
Lautaro Vargas,ar ARG,"DF,MF",Unión,18,2005,25,22,"1,798",20.0,0,2,2,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10
Kevin Vázquez,ar ARG,MF,Cen. Córdoba–SdE,22,2001,24,23,"2,086",23.2,2,0,2,2,0,0,4,0,0.09,0.00,0.09,0.09,0.09
Román Vega,ar ARG,DF,Arg Juniors,20,2004,22,21,"1,832",20.4,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
Juan Velazquez,ar ARG,MF,Belgrano,19,2004,26,22,"1,808",20.1,0,3,3,0,0,0,3,0,0.00,0.15,0.15,0.00,0.15
Pedro Velurtas,ar ARG,"DF,MF",Barracas Central,22,2001,7,6,504,5.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Lionel Verde,ar ARG,MF,Unión,19,2004,8,2,335,3.7,1,0,1,1,0,0,1,0,0.27,0.00,0.27,0.27,0.27
Gastón Verón,ar ARG,"FW,MF",Arg Juniors,22,2001,17,12,901,10.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Camilo Viganoni,ar ARG,FW,Tigre,20,2003,5,3,225,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Rodrigo Villagra,ar ARG,MF,River Plate,22,2001,15,10,997,11.1,0,1,1,0,0,0,4,0,0.00,0.09,0.09,0.00,0.09
Agustín Villalobos,ar ARG,DF,Godoy Cruz,20,2003,2,0,26,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Lautaro Villegas,ar ARG,MF,Banfield,20,2003,6,1,152,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Galván Vittar,ar ARG,DF,Cen. Córdoba–SdE,19,2004,1,0,27,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Emiliano Viveros,ar ARG,"MF,FW",Arg Juniors,21,2002,21,8,806,9.0,0,2,2,0,0,0,1,0,0.00,0.22,0.22,0.00,0.22
Daniel Zabala,ar ARG,DF,River Plate,21,2003,3,2,146,1.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
David Zalazar,ar ARG,"FW,MF",Gimnasia–LP,21,2002,25,9,"1,053",11.7,1,0,1,1,0,0,2,0,0.09,0.00,0.09,0.09,0.09
Maximiliano Zalazar,ar ARG,MF,Barracas Central,22,2001,18,14,992,11.0,1,0,1,1,0,0,2,0,0.09,0.00,0.09,0.09,0.09
Franco Zapiola,ar ARG,MF,Platense,22,2001,5,2,172,1.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Franco Zapiola,ar ARG,MF,Estudiantes,22,2001,2,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Exequiel Zeballos,ar ARG,"MF,FW",Boca Juniors,21,2002,20,11,"1,046",11.6,1,2,3,1,0,0,2,0,0.09,0.17,0.26,0.09,0.26
Felipe Zenobio,ar ARG,GK,Tigre,23,2000,25,25,"2,194",24.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Kevin Zenon,ar ARG,MF,Boca Juniors,22,2001,18,17,"1,379",15.3,2,1,3,2,0,0,1,0,0.13,0.07,0.20,0.13,0.20
Iker Zufiaurre,ar ARG,FW,Boca Juniors,18,2005,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
