Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG
Jørgen Strand Larsen,no NOR,FW,Celta Vigo,23,2000,37,36,"2,863",31.8,13,3,16,13,0,0,5,0,14.5,14.5,2.5,17.0,33,25,183,0.41,0.09,0.50,0.41,0.50,0.46,0.08,0.54,0.46,0.54
Williot Swedberg,se SWE,"FW,MF",Celta Vigo,19,2004,15,4,439,4.9,5,0,5,5,0,0,1,0,2.3,2.3,0.2,2.5,7,6,26,1.03,0.00,1.03,1.03,1.03,0.47,0.04,0.51,0.47,0.51
Yassin Tallal,es ESP,FW,Getafe,18,2005,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
César Tárrega,es ESP,DF,Valencia,21,2002,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Marciano Tchami,gw GNB,"FW,MF",Almería,19,2004,6,0,43,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,1,1,3,0.00,0.00,0.00,0.00,0.00,0.06,0.10,0.17,0.06,0.17
Aurélien Tchouaméni,fr FRA,"MF,DF",Real Madrid,23,2000,27,22,"1,987",22.1,3,1,4,3,0,0,7,0,1.3,1.3,0.9,2.1,28,111,15,0.14,0.05,0.18,0.14,0.18,0.06,0.04,0.10,0.06,0.10
Ramón Terrats,es ESP,"MF,DF",Villarreal,22,2000,19,6,785,8.7,0,2,2,0,0,0,4,0,0.4,0.4,1.6,1.9,19,38,54,0.00,0.23,0.23,0.00,0.23,0.04,0.18,0.22,0.04,0.22
Pablo Torre,es ESP,"MF,FW",Girona,20,2003,26,4,701,7.8,0,2,2,0,0,0,1,0,0.8,0.8,0.9,1.6,25,65,40,0.00,0.26,0.26,0.00,0.26,0.10,0.11,0.21,0.10,0.21
Raúl Torrente,es ESP,DF,Granada,21,2001,17,14,"1,250",13.9,0,0,0,0,0,0,4,0,0.2,0.2,0.4,0.6,4,33,2,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04
Ferrán Torres,es ESP,FW,Barcelona,23,2000,29,12,"1,211",13.5,7,2,9,7,0,0,2,0,5.5,5.5,2.7,8.2,30,44,113,0.52,0.15,0.67,0.52,0.67,0.41,0.20,0.61,0.41,0.61
