Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG.1
Jamie Gittens,eng ENG,"FW,MF",Dortmund,18,2004,25,14,"1,058",11.8,1,4,5,1,0,0,1,0,0.09,0.34,0.43,0.09,0.43,2.2,2.2,2.8,5.0,64.0,26.0,105.0,0.19,0.24,0.43,0.19,0.43
Ryan Gravenberch,nl NED,FW,Bayern Munich,21,2002,1,0,10,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,1.0,3.0,0.0,1.92,1.92,0.0,1.92
Brajan Gruda,de GER,"MF,FW",Mainz 05,19,2004,28,19,"1,641",18.2,4,3,7,4,0,0,5,0,0.22,0.16,0.38,0.22,0.38,3.5,3.5,4.1,7.6,100.0,71.0,167.0,0.19,0.23,0.42,0.19,0.42
Ilia Gruev,bg BUL,MF,Werder Bremen,23,2000,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isak Hansen-Aarøen,no NOR,MF,Werder Bremen,18,2004,3,0,27,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,2.0,2.0,3.0,0.0,0.22,0.22,0.0,0.22
Piero Hincapié,ec ECU,DF,Leverkusen,21,2002,26,16,"1,484",16.5,1,2,3,1,0,0,2,0,0.06,0.12,0.18,0.06,0.18,1.9,1.9,0.5,2.5,34.0,102.0,50.0,0.12,0.03,0.15,0.12,0.15
Adam Hložek,cz CZE,"MF,FW",Leverkusen,21,2002,23,5,459,5.1,2,3,5,2,0,0,1,0,0.39,0.59,0.98,0.39,0.98,3.1,3.1,0.9,4.0,14.0,13.0,33.0,0.6,0.18,0.78,0.6,0.78
Benedict Hollerbach,de GER,"FW,MF",Union Berlin,22,2001,28,15,"1,282",14.2,5,0,5,5,0,0,2,0,0.35,0.0,0.35,0.35,0.35,3.4,3.4,1.3,4.7,49.0,39.0,126.0,0.24,0.09,0.33,0.24,0.33
Fraser Hornby,sct SCO,"FW,MF",Darmstadt 98,23,1999,7,1,217,2.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.3,1.0,7.0,2.0,7.0,0.27,0.14,0.41,0.27,0.41
Denis Huseinbasic,ba BIH,MF,Köln,22,2001,26,18,"1,627",18.1,0,3,3,0,0,0,5,0,0.0,0.17,0.17,0.0,0.17,0.3,0.3,0.7,1.0,35.0,93.0,29.0,0.02,0.04,0.06,0.02,0.06
Joel Imasuen,us USA,FW,Werder Bremen,18,2004,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nuha Jatta,gm GAM,FW,RB Leipzig,17,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Jurásek,cz CZE,DF,Hoffenheim,22,2000,13,4,496,5.5,0,1,1,0,0,0,1,0,0.0,0.18,0.18,0.0,0.18,0.2,0.2,1.0,1.1,12.0,12.0,38.0,0.03,0.18,0.21,0.03,0.21
Ozan Kabak,tr TUR,DF,Hoffenheim,23,2000,28,28,"2,282",25.4,4,0,4,4,0,0,11,1,0.16,0.0,0.16,0.16,0.16,2.2,2.2,1.1,3.3,21.0,110.0,11.0,0.09,0.04,0.13,0.09,0.13
Jakub Kamiński,pl POL,"FW,MF",Wolfsburg,21,2002,17,4,473,5.3,0,2,2,0,0,0,0,0,0.0,0.38,0.38,0.0,0.38,0.5,0.5,0.7,1.1,13.0,18.0,53.0,0.09,0.13,0.22,0.09,0.22
Mikkel Kaufmann,dk DEN,FW,Union Berlin,22,2001,18,4,486,5.4,1,0,1,1,0,0,0,0,0.19,0.0,0.19,0.19,0.19,1.3,1.3,1.0,2.3,6.0,11.0,34.0,0.24,0.18,0.42,0.24,0.42
Yannik Keitel,de GER,"DF,MF",Freiburg,23,2000,15,11,920,10.2,1,0,1,1,0,0,0,0,0.1,0.0,0.1,0.1,0.1,0.7,0.7,0.4,1.1,4.0,48.0,7.0,0.07,0.04,0.11,0.07,0.11
Thomas Keller,de GER,"MF,FW",Heidenheim,23,1999,2,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Aljoscha Kemlein,de GER,MF,Union Berlin,18,2004,2,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.14,0.0,0.14,0.14,0.14
Luca Kilian,de GER,DF,Köln,23,1999,13,6,635,7.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,12.0,1.0,0.0,0.01,0.01,0.0,0.01
Christoph Klarer,at AUT,DF,Darmstadt 98,23,2000,30,28,"2,354",26.2,2,2,4,2,0,0,9,0,0.08,0.08,0.15,0.08,0.15,1.2,1.2,0.9,2.1,9.0,64.0,11.0,0.05,0.04,0.08,0.05,0.08
Ansgar Knauff,de GER,"MF,DF",Eint Frankfurt,21,2002,31,24,"2,109",23.4,7,2,9,7,0,0,7,1,0.3,0.09,0.38,0.3,0.38,5.7,5.7,2.3,8.0,77.0,57.0,164.0,0.24,0.1,0.34,0.24,0.34
Mert Kömür,de GER,"MF,DF",Augsburg,18,2005,4,1,118,1.3,1,0,1,1,0,0,0,0,0.76,0.0,0.76,0.76,0.76,0.2,0.2,0.0,0.2,7.0,4.0,9.0,0.15,0.02,0.17,0.15,0.17
Manu Koné,fr FRA,MF,Gladbach,22,2001,22,18,"1,561",17.3,1,0,1,1,0,0,4,1,0.06,0.0,0.06,0.06,0.06,1.2,1.2,1.2,2.4,42.0,70.0,56.0,0.07,0.07,0.14,0.07,0.14
Odilon Kossounou,ci CIV,DF,Leverkusen,22,2001,22,21,"1,811",20.1,1,0,1,1,0,0,3,0,0.05,0.0,0.05,0.05,0.05,0.6,0.6,0.7,1.3,48.0,141.0,23.0,0.03,0.03,0.06,0.03,0.06
Matej Kovar,cz CZE,GK,Leverkusen,23,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
