Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
Kobamelo Kodisang,za RSA,MF,Moreirense,23,1999,31,19,"1,617",18.0,1,3,4,1,0,0,0,0,0.06,0.17,0.22,0.06,0.22
Koba Koindredi,fr FRA,MF,Estoril,21,2001,11,6,566,6.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Koba Koindredi,fr FRA,MF,Sporting CP,21,2001,4,0,32,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Orkun Kökçü,tr TUR,MF,Benfica,22,2000,27,23,"1,786",19.8,7,8,15,6,1,1,7,0,0.35,0.40,0.76,0.30,0.71
Kevin Krygård,no NOR,"DF,MF",Casa Pia,23,2000,3,0,59,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Matías Lacava,ve VEN,"MF,FW",Vizela,20,2002,20,18,"1,334",14.8,0,4,4,0,0,0,7,2,0.00,0.27,0.27,0.00,0.27
Tom Lacoux,fr FRA,MF,Famalicão,21,2002,9,5,364,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
André Lacximicant,pt POR,MF,Casa Pia,22,2001,13,1,218,2.4,1,1,2,1,0,0,0,0,0.41,0.41,0.83,0.41,0.83
Leonardo Lelo,pt POR,"MF,DF",Casa Pia,23,2000,33,33,"2,942",32.7,1,2,3,1,0,0,0,0,0.03,0.06,0.09,0.03,0.09
Marcos Leonardo,br BRA,FW,Benfica,20,2003,14,3,331,3.7,7,0,7,7,0,0,1,0,1.90,0.00,1.90,1.90,1.90
Otso Liimatta,fi FIN,MF,Famalicão,19,2004,12,5,464,5.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Danny Loader,eng ENG,FW,Porto,22,2000,16,1,246,2.7,1,2,3,1,0,0,1,0,0.37,0.73,1.10,0.37,1.10
Julien Lomboto,,MF,Rio Ave,21,2002,2,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Né lopes,pt POR,DF,Gil Vicente FC,23,2000,5,3,258,2.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Thomas Luciano,br BRA,DF,Gil Vicente FC,21,2002,4,0,28,0.3,1,0,1,1,0,0,1,0,3.21,0.00,3.21,3.21,3.21
Florentino Luís,pt POR,MF,Benfica,23,1999,30,17,"1,680",18.7,0,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00
Luismi,gq EQG,"FW,MF",Moreirense,22,2001,15,10,940,10.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Rodrigo Macedo,pt POR,FW,Moreirense,20,2003,5,0,65,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Tiago Machado,pt POR,FW,Boavista,19,2004,5,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Madson,br BRA,MF,Moreirense,23,1999,25,14,"1,337",14.9,5,1,6,5,0,0,2,0,0.34,0.07,0.40,0.34,0.40
Miguel Maga,pt POR,MF,Vitória,20,2002,22,8,892,9.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Magrão,br BRA,GK,Rio Ave,23,2000,7,7,630,7.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Pedro Malheiro,pt POR,"DF,MF",Boavista,22,2001,23,23,"1,971",21.9,2,2,4,2,0,0,9,1,0.09,0.09,0.18,0.09,0.18
Manuel Manu,pt POR,DF,Vitória,22,2001,23,19,"1,776",19.7,2,0,2,2,0,0,5,0,0.10,0.00,0.10,0.10,0.10
João Mário Lopes,pt POR,DF,Porto,23,2000,27,25,"2,063",22.9,2,1,3,2,0,0,5,0,0.09,0.04,0.13,0.09,0.13
Uladzislaŭ Marozaŭ,by BLR,FW,Arouca,22,2000,3,2,144,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Alejandro Marqués,ve VEN,FW,Estoril,22,2000,31,13,"1,361",15.1,9,1,10,8,1,1,3,0,0.60,0.07,0.66,0.53,0.60
Gustavo Marques,br BRA,DF,Benfica,21,2001,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
João Marques,pt POR,"FW,MF",Estoril,21,2002,32,22,"1,969",21.9,5,5,10,5,0,0,8,0,0.23,0.23,0.46,0.23,0.46
Nuno Matos,pt POR,DF,Braga,18,2004,1,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Rodrigo Melro,pt POR,MF,Chaves,19,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
João Mendes,pt POR,DF,Porto,23,2000,5,3,284,3.2,0,1,1,0,0,0,0,0,0.00,0.32,0.32,0.00,0.32
Joe Mendes,se SWE,DF,Braga,20,2002,17,11,890,9.9,0,2,2,0,0,0,1,0,0.00,0.20,0.20,0.00,0.20
Alex Mendez,us USA,MF,Vizela,22,2000,12,3,373,4.1,0,1,1,0,0,0,1,0,0.00,0.24,0.24,0.00,0.24
Miguel Menino,pt POR,MF,Sporting CP,20,2003,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Vinicius Mingotti,br BRA,FW,Moreirense,23,2000,16,6,488,5.4,1,0,1,1,0,0,2,0,0.18,0.00,0.18,0.18,0.18
Miro,ao ANG,FW,Gil Vicente FC,20,2003,5,1,160,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Cezary Miszta,pl POL,GK,Rio Ave,21,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Miguel Monteiro,pt POR,FW,Gil Vicente FC,20,2003,9,1,225,2.5,1,1,2,1,0,0,0,0,0.40,0.40,0.80,0.40,0.80
Morato,br BRA,DF,Benfica,22,2001,21,17,"1,525",16.9,0,1,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06
Hélder Morim,pt POR,MF,Chaves,22,2001,18,5,655,7.3,1,0,1,1,0,0,2,0,0.14,0.00,0.14,0.14,0.14
