Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG
Omari Hutchinson,eng ENG,"FW,MF",Ipswich Town,19,2003,44,20,"2,195",24.4,10,4,14,10,0,0,3,0,5.2,5.2,4.8,10.0,146,85,273,0.41,0.16,0.57,0.41,0.57,0.21,0.20,0.41,0.21,0.41
Adam Idah,ie IRL,FW,Norwich City,22,2001,28,12,"1,279",14.2,6,1,7,5,1,1,2,0,5.8,5.0,1.1,6.1,24,19,65,0.42,0.07,0.49,0.35,0.42,0.41,0.08,0.49,0.35,0.43
Tom Iorpenda,eng ENG,MF,Huddersfield,18,2005,2,0,52,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,5,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.08,0.04,0.08
Frederick Issaka,wls WAL,FW,Plymouth Argyle,17,2006,5,0,39,0.4,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0,2,1,0.00,0.00,0.00,0.00,0.00,0.47,0.14,0.61,0.47,0.61
Ben Jackson,eng ENG,"DF,MF",Huddersfield,22,2001,25,14,"1,337",14.9,1,1,2,1,0,0,3,0,0.1,0.1,0.6,0.7,30,29,42,0.07,0.07,0.13,0.07,0.13,0.01,0.04,0.05,0.01,0.05
Matty Jacob,eng ENG,DF,Hull City,22,2001,14,8,801,8.9,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,10,46,17,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
Jordan James,wls WAL,"MF,FW",Birmingham City,19,2004,42,25,"2,304",25.6,8,0,8,8,0,0,10,0,4.2,4.2,1.2,5.4,47,96,58,0.31,0.00,0.31,0.31,0.31,0.17,0.05,0.21,0.17,0.21
Nikola Jojić,rs SRB,MF,Stoke City,19,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Patrick Jones,wls WAL,"FW,MF",Huddersfield,20,2003,7,1,164,1.8,0,0,0,0,0,0,0,0,0.5,0.5,0.4,0.9,10,2,17,0.00,0.00,0.00,0.00,0.00,0.28,0.20,0.49,0.28,0.49
Mateo Joseph,es ESP,"FW,MF",Leeds United,19,2003,20,0,234,2.6,1,0,1,1,0,0,1,0,1.7,1.7,0.8,2.5,5,7,17,0.38,0.00,0.38,0.38,0.38,0.65,0.32,0.97,0.65,0.97
