Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Source_League
Ahmed Abdullahi,ng NGA,FW,Gent,19,2004,0.3,,0,,,,,,,,,,,0,,,,BelgianProLeague
Francis Abu,gh GHA,MF,Cercle Brugge,22,2001,4.5,,10,,,,,,,,,,,9,,,,BelgianProLeague
Tayo Adaramola,ie IRL,"DF,MF",RWD Molenbeek,19,2003,6.4,,14,,,,,,,,,,,5,,,,BelgianProLeague
Noah Adedeji,be BEL,MF,Genk,18,2005,0.2,,1,,,,,,,,,,,0,,,,BelgianProLeague
Jonathan Afolabi,ie IRL,FW,Kortrijk,23,2000,4.4,,1,,,,,,,,,,,0,,,,BelgianProLeague
Brian Agbor,cm CMR,DF,Gent,22,2001,2.3,,1,,,,,,,,,,,5,,,,BelgianProLeague
Carlos Alberto,br BRA,MF,RWD Molenbeek,21,2002,7.3,,8,,,,,,,,,,,9,,,,BelgianProLeague
Josimar Alcocer,cr CRC,MF,Westerlo,19,2004,0.3,,0,,,,,,,,,,,0,,,,BelgianProLeague
Ryan Alebiosu,eng ENG,MF,Kortrijk,21,2001,3.9,,2,,,,,,,,,,,2,,,,BelgianProLeague
Teddy Alloh,fr FRA,MF,Eupen,21,2002,2.2,,3,,,,,,,,,,,3,,,,BelgianProLeague
Mohamed Amoura,dz ALG,FW,Union SG,23,2000,15.9,,9,,,,,,,,,,,3,,,,BelgianProLeague
Francis Amuzu,be BEL,FW,Anderlecht,23,1999,6.3,,3,,,,,,,,,,,1,,,,BelgianProLeague
Stelios Andreou,cy CYP,DF,Charleroi,21,2002,26.8,,37,,,,,,,,,,,39,,,,BelgianProLeague
Nilson Angulo,ec ECU,"FW,MF",Anderlecht,20,2003,0.5,,0,,,,,,,,,,,0,,,,BelgianProLeague
Bill Antonio,zw ZIM,MF,Mechelen,20,2002,6.4,,5,,,,,,,,,,,5,,,,BelgianProLeague
Kristian Arnstad,no NOR,"DF,MF",Anderlecht,19,2003,7.2,,5,,,,,,,,,,,5,,,,BelgianProLeague
Tolu Arokodare,ng NGA,FW,Genk,22,2000,14.5,,3,,,,,,,,,,,4,,,,BelgianProLeague
Isaac Asante,gh GHA,MF,Mechelen,20,2002,0.1,,0,,,,,,,,,,,0,,,,BelgianProLeague
Dirk Asare,be BEL,MF,Mechelen,19,2004,0.0,,0,,,,,,,,,,,0,,,,BelgianProLeague
Christalino Atemona,de GER,DF,Kortrijk,21,2002,1.1,,1,,,,,,,,,,,2,,,,BelgianProLeague
Lynnt Audoor,be BEL,MF,Kortrijk,19,2003,4.5,,3,,,,,,,,,,,9,,,,BelgianProLeague
Felipe Augusto,br BRA,MF,Cercle Brugge,19,2004,4.9,,3,,,,,,,,,,,1,,,,BelgianProLeague
Gastón Ávila,ar ARG,DF,Antwerp,21,2001,2.0,,3,,,,,,,,,,,2,,,,BelgianProLeague
Youssouph Badji,sn SEN,"FW,MF",Charleroi,21,2001,10.4,,6,,,,,,,,,,,2,,,,BelgianProLeague
Bilal Bafdili,be BEL,"MF,FW",Mechelen,18,2004,1.9,,1,,,,,,,,,,,0,,,,BelgianProLeague
Brandon Baiye,be BEL,MF,Eupen,22,2000,23.0,,50,,,,,,,,,,,39,,,,BelgianProLeague
Michel-Ange Balikwisha,be BEL,"MF,FW",Antwerp,22,2001,19.8,,46,,,,,,,,,,,18,,,,BelgianProLeague
Sacha Banse,bf BFA,MF,Standard Liège,22,2001,0.5,,1,,,,,,,,,,,1,,,,BelgianProLeague
Ezechiel Banzuzi,nl NED,MF,OH Leuven,18,2005,19.4,,19,,,,,,,,,,,7,,,,BelgianProLeague
Víctor Barberá,es ESP,FW,Club Brugge,18,2004,0.4,,1,,,,,,,,,,,1,,,,BelgianProLeague
Joselpho Barnes,gh GHA,"FW,MF",Sint-Truiden,21,2001,4.8,,1,,,,,,,,,,,0,,,,BelgianProLeague
Norman Bassette,be BEL,FW,Mechelen,18,2004,6.4,,4,,,,,,,,,,,3,,,,BelgianProLeague
Emin Bayram,tr TUR,DF,Westerlo,20,2003,21.9,,39,,,,,,,,,,,59,,,,BelgianProLeague
Rafik Belghali,dz ALG,DF,Mechelen,21,2002,2.9,,7,,,,,,,,,,,5,,,,BelgianProLeague
Nadhir Benbouali,dz ALG,FW,Charleroi,23,2000,3.7,,4,,,,,,,,,,,0,,,,BelgianProLeague
Ján Bernát,sk SVK,MF,Westerlo,22,2001,0.0,,1,,,,,,,,,,,0,,,,BelgianProLeague
Adriano Bertaccini,be BEL,"MF,FW",Sint-Truiden,22,2000,0.4,,0,,,,,,,,,,,0,,,,BelgianProLeague
Nathan Bitumazala,fr FRA,MF,Eupen,20,2002,1.3,,0,,,,,,,,,,,0,,,,BelgianProLeague
Christopher Bonsu Baah,gh GHA,"MF,FW",Genk,18,2004,13.2,,20,,,,,,,,,,,7,,,,BelgianProLeague
Jordan Bos,au AUS,"DF,MF",Westerlo,20,2002,19.0,,26,,,,,,,,,,,24,,,,BelgianProLeague
Mohamed Bouchouari,be BEL,DF,Anderlecht,22,2000,0.0,,0,,,,,,,,,,,0,,,,BelgianProLeague
Mehdi Boukamir,ma MAR,DF,Charleroi,19,2004,5.2,,6,,,,,,,,,,,8,,,,BelgianProLeague
Jonatan Braut Brunes,no NOR,FW,OH Leuven,22,2000,11.8,,3,,,,,,,,,,,1,,,,BelgianProLeague
Archie Brown,eng ENG,"MF,DF",Gent,21,2002,18.3,,16,,,,,,,,,,,28,,,,BelgianProLeague
Etienne Camara,fr FRA,MF,Charleroi,20,2003,3.8,,5,,,,,,,,,,,5,,,,BelgianProLeague
Ilay Camara,be BEL,MF,RWD Molenbeek,20,2003,17.8,,24,,,,,,,,,,,20,,,,BelgianProLeague
Cihan Çanak,tr TUR,MF,Standard Liège,18,2005,6.9,,7,,,,,,,,,,,3,,,,BelgianProLeague
Antoine Colassin,be BEL,"FW,MF",Anderlecht,22,2001,0.1,,0,,,,,,,,,,,0,,,,BelgianProLeague
Kobe Corbanie,be BEL,DF,Antwerp,18,2005,1.6,,5,,,,,,,,,,,0,,,,BelgianProLeague
Soumaïla Coulibaly,fr FRA,DF,Antwerp,19,2003,15.1,,7,,,,,,,,,,,26,,,,BelgianProLeague
Niklo Dailly,be BEL,"MF,FW",RWD Molenbeek,21,2001,3.6,,4,,,,,,,,,,,1,,,,BelgianProLeague
Jesper Daland,no NOR,DF,Cercle Brugge,23,2000,28.1,,38,,,,,,,,,,,45,,,,BelgianProLeague
Isaak Davies,wls WAL,FW,Kortrijk,21,2001,19.2,,8,,,,,,,,,,,2,,,,BelgianProLeague
Maxim De Cuyper,be BEL,DF,Club Brugge,22,2000,24.0,,26,,,,,,,,,,,32,,,,BelgianProLeague
Dion De Neve,be BEL,"MF,DF",Kortrijk,21,2002,21.4,,44,,,,,,,,,,,21,,,,BelgianProLeague
Tibe De Vlieger,be BEL,MF,Gent,17,2005,0.4,,1,,,,,,,,,,,1,,,,BelgianProLeague
Nils De Wilde,be BEL,MF,Cercle Brugge,20,2003,8.0,,9,,,,,,,,,,,5,,,,BelgianProLeague
Zeno Debast,be BEL,DF,Anderlecht,19,2003,27.5,,29,,,,,,,,,,,24,,,,BelgianProLeague
Massimo Decoene,be BEL,MF,Kortrijk,19,2004,0.1,,0,,,,,,,,,,,1,,,,BelgianProLeague
Tristan Degreef,be BEL,MF,Anderlecht,18,2005,0.0,,0,,,,,,,,,,,0,,,,BelgianProLeague
Martin Delavallée,be BEL,GK,Charleroi,19,2004,0.0,,0,,,,,,,,,,,0,,,,BelgianProLeague
Mathias Delorge,be BEL,MF,Sint-Truiden,19,2004,29.5,,41,,,,,,,,,,,51,,,,BelgianProLeague
Olivier Deman,be BEL,MF,Cercle Brugge,23,2000,4.2,,12,,,,,,,,,,,9,,,,BelgianProLeague
Kévin Denkey,tg TOG,FW,Cercle Brugge,22,2000,27.7,,7,,,,,,,,,,,3,,,,BelgianProLeague
Sada Diallo,be BEL,DF,RWD Molenbeek,21,2002,1.0,,1,,,,,,,,,,,1,,,,BelgianProLeague
Noah Dodeigne,be BEL,DF,Standard Liège,20,2003,0.4,,0,,,,,,,,,,,0,,,,BelgianProLeague
Djovkar Doudaev,be BEL,DF,RWD Molenbeek,19,2003,2.3,,2,,,,,,,,,,,4,,,,BelgianProLeague
Mahamadou Doumbia,ml MLI,MF,Antwerp,19,2004,4.1,,7,,,,,,,,,,,1,,,,BelgianProLeague
Olivier Dumont,be BEL,MF,Sint-Truiden,21,2002,0.9,,2,,,,,,,,,,,2,,,,BelgianProLeague
Pierre Dwomoh,be BEL,MF,RWD Molenbeek,19,2004,25.3,,33,,,,,,,,,,,29,,,,BelgianProLeague
Malcolm Ebiowei,eng ENG,MF,RWD Molenbeek,19,2003,1.6,,3,,,,,,,,,,,2,,,,BelgianProLeague
Malamine Efekele,fr FRA,MF,Cercle Brugge,19,2004,2.0,,4,,,,,,,,,,,0,,,,BelgianProLeague
