Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
Zeno Van den Bosch,be BEL,DF,Antwerp,20,2003,23,12,"1,332",14.8,0,1,1,0,0,0,4,0,0.00,0.07,0.07,0.00,0.07
Thomas Van den Keybus,be BEL,MF,Westerlo,22,2001,25,13,"1,273",14.1,1,2,3,1,0,0,3,0,0.07,0.14,0.21,0.07,0.21
Stan Van Dessel,be BEL,MF,Sint-Truiden,22,2001,4,0,60,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Yentl Van Genechten,be BEL,"DF,MF",Eupen,22,2000,23,19,"1,569",17.4,2,0,2,2,0,0,1,0,0.11,0.00,0.11,0.11,0.11
Jannes Van Hecke,be BEL,"MF,DF",Mechelen,21,2002,17,3,416,4.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Rein Van Helden,be BEL,DF,Sint-Truiden,21,2002,29,29,"2,478",27.5,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00
Matteo Vandendaele,be BEL,DF,RWD Molenbeek,18,2005,2,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Maarten Vandevoordt,be BEL,GK,Genk,21,2002,30,30,"2,700",30.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Robert-Jan Vanwesemael,be BEL,MF,Sint-Truiden,21,2002,8,6,457,5.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Luis Vázquez,ar ARG,FW,Anderlecht,22,2001,28,3,695,7.7,7,1,8,6,1,1,2,0,0.91,0.13,1.04,0.78,0.91
Romeo Vermant,be BEL,FW,Westerlo,19,2004,7,6,490,5.4,2,2,4,2,0,0,2,0,0.37,0.37,0.73,0.37,0.73
Romeo Vermant,be BEL,FW,Club Brugge,19,2004,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Arthur Vermeeren,be BEL,MF,Antwerp,18,2005,21,21,"1,870",20.8,1,3,4,1,0,0,2,0,0.05,0.14,0.19,0.05,0.19
Yari Verschaeren,be BEL,"MF,FW",Anderlecht,22,2001,15,12,930,10.3,0,5,5,0,0,0,0,0,0.00,0.48,0.48,0.00,0.48
Hugo Vetlesen,no NOR,MF,Club Brugge,23,2000,28,23,"1,853",20.6,1,1,2,1,0,0,6,0,0.05,0.05,0.10,0.05,0.10
Martin Wasinski,be BEL,DF,Kortrijk,19,2004,7,6,566,6.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Owen Wijndal,nl NED,DF,Antwerp,23,1999,20,18,"1,542",17.1,1,0,1,1,0,0,0,0,0.06,0.00,0.06,0.06,0.06
Rihito Yamamoto,jp JPN,"MF,FW",Sint-Truiden,21,2001,28,5,731,8.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Kelvin Yeboah,it ITA,FW,Standard Liège,23,2000,6,5,441,4.9,4,1,5,4,0,0,0,0,0.82,0.20,1.02,0.82,1.02
Daisuke Yokota,jp JPN,"FW,MF",Gent,23,2000,4,4,316,3.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Lorenzo Youndje,cm CMR,MF,Eupen,18,2005,10,0,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Griffin Yow,us USA,MF,Westerlo,20,2002,20,18,"1,503",16.7,6,2,8,6,0,0,2,0,0.36,0.12,0.48,0.36,0.48
Alhassan Yusuf,ng NGA,MF,Antwerp,23,2000,20,11,"1,095",12.2,0,2,2,0,0,0,2,0,0.00,0.16,0.16,0.00,0.16
Kahveh Zahiroleslam,us USA,FW,Sint-Truiden,21,2002,18,16,"1,251",13.9,5,1,6,5,0,0,3,0,0.36,0.07,0.43,0.36,0.43
Adem Zorgane,dz ALG,MF,Charleroi,23,2000,23,20,"1,841",20.5,2,4,6,2,0,0,2,0,0.10,0.20,0.29,0.10,0.29
