Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG
Emile Dorval,fr FRA,DF,Bari,22,2001,36,30,"2,784",30.9,1,2,3,1,0,0,4,0,1.3,1.3,1.7,3.1,87,131,140,0.03,0.06,0.10,0.03,0.10,0.04,0.06,0.10,0.04,0.10
Giacomo Drago,it ITA,GK,Südtirol,22,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mikael Ellertsson,is ISL,"MF,DF",Venezia,21,2002,35,20,"1,680",18.7,2,3,5,2,0,0,5,0,1.8,1.8,2.3,4.1,34,47,79,0.11,0.16,0.27,0.11,0.27,0.10,0.12,0.22,0.10,0.22
Francesco Esposito,it ITA,FW,Spezia,18,2005,38,17,"1,786",19.8,3,0,3,3,0,0,4,0,5.7,5.4,1.8,7.2,12,39,114,0.15,0.00,0.15,0.15,0.15,0.29,0.09,0.38,0.27,0.36
Salvatore Esposito,it ITA,MF,Spezia,22,2000,37,34,"3,120",34.7,1,5,6,0,1,1,8,0,2.4,1.6,6.1,7.7,40,280,54,0.03,0.14,0.17,0.00,0.14,0.07,0.18,0.25,0.05,0.22
Sebastiano Esposito,it ITA,"MF,FW",Sampdoria,21,2002,22,18,"1,570",17.4,6,4,10,6,0,0,5,0,4.4,4.4,2.0,6.5,17,68,122,0.34,0.23,0.57,0.34,0.57,0.25,0.12,0.37,0.25,0.37
Estanis,es ESP,FW,Sampdoria,19,2003,15,8,808,9.0,3,0,3,3,0,0,4,0,1.9,1.9,1.8,3.6,34,36,67,0.33,0.00,0.33,0.33,0.33,0.21,0.20,0.41,0.21,0.41
Tomás Esteves,pt POR,"DF,MF",Pisa,21,2002,29,26,"2,223",24.7,1,2,3,1,0,0,8,0,0.9,0.9,1.3,2.2,64,110,84,0.04,0.08,0.12,0.04,0.12,0.04,0.05,0.09,0.04,0.09
Filippo Faggi,it ITA,MF,Bari,20,2003,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Giacomo Faticanti,it ITA,MF,Ternana,19,2004,9,5,420,4.7,0,1,1,0,0,0,1,0,0.1,0.1,1.2,1.3,2,24,3,0.00,0.21,0.21,0.00,0.21,0.02,0.26,0.28,0.02,0.28
Costantino Favasuli,it ITA,"DF,MF",Ternana,19,2004,29,7,"1,126",12.5,0,1,1,0,0,0,2,0,0.7,0.7,0.6,1.3,29,39,57,0.00,0.08,0.08,0.00,0.08,0.06,0.04,0.10,0.06,0.10
Mattia Felici,it ITA,"DF,FW",FeralpiSalò,22,2001,36,30,"2,657",29.5,4,5,9,4,0,0,7,1,2.2,2.2,5.2,7.5,131,89,219,0.14,0.17,0.30,0.14,0.30,0.08,0.18,0.25,0.08,0.25
Gabriele Ferrarini,it ITA,DF,FeralpiSalò,23,2000,3,2,167,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,6,6,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Matteo Ferro,it ITA,"MF,FW",Brescia,19,2004,10,0,132,1.5,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.3,6,6,17,0.00,0.00,0.00,0.00,0.00,0.11,0.13,0.24,0.11,0.24
Aldo Florenzi,it ITA,"FW,MF",Cosenza,21,2002,28,11,"1,070",11.9,0,1,1,0,0,0,8,0,1.4,1.4,0.5,1.9,20,38,69,0.00,0.08,0.08,0.00,0.08,0.11,0.04,0.16,0.11,0.16
Riccardo Fogliata,it ITA,MF,Brescia,19,2004,13,7,532,5.9,0,1,1,0,0,0,1,0,0.3,0.3,0.5,0.8,2,14,13,0.00,0.17,0.17,0.00,0.17,0.05,0.09,0.14,0.05,0.14
Alessandro Fontanarosa,it ITA,DF,Cosenza,20,2003,21,11,"1,074",11.9,0,0,0,0,0,0,7,0,0.3,0.3,0.1,0.4,15,61,10,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
Marco Frigerio,it ITA,MF,Calcio Lecco 1912,22,2001,7,2,203,2.3,0,0,0,0,0,0,1,0,0.9,0.9,0.1,1.0,5,8,12,0.00,0.00,0.00,0.00,0.00,0.39,0.05,0.44,0.39,0.44
Tommaso Fumagalli,it ITA,"MF,FW",Como,23,2000,5,0,90,1.0,0,1,1,0,0,0,1,0,0.1,0.1,0.7,0.8,1,1,6,0.00,1.00,1.00,0.00,1.00,0.08,0.70,0.78,0.08,0.78
Nicolas Galazzi,it ITA,"MF,DF",Brescia,22,2000,33,22,"1,764",19.6,3,7,10,3,0,0,6,0,1.4,1.4,3.1,4.6,46,71,113,0.15,0.36,0.51,0.15,0.51,0.07,0.16,0.23,0.07,0.23
