Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG
Álvaro Barreal,ar ARG,"MF,FW",Cruzeiro,23,2000,28,17,"1,488",16.5,2,4,6,2,0,0,6,0,2.4,2.4,1.6,4.0,29,69,113,0.12,0.24,0.36,0.12,0.36,0.14,0.10,0.24,0.14,0.24
Gabriel Barros,br BRA,"FW,MF",Atl Goianiense,22,2001,2,1,79,0.9,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0,3,4,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05
Lucas Belezi,br BRA,DF,Ath Paranaense,20,2003,9,9,793,8.8,1,0,1,1,0,0,2,0,0.8,0.8,0.1,0.9,3,15,3,0.11,0.00,0.11,0.11,0.11,0.09,0.01,0.10,0.09,0.10
Alexandro Bernabei,ar ARG,DF,Internacional,23,2000,23,23,"2,063",22.9,3,5,8,3,0,0,5,0,1.3,1.3,4.9,6.3,59,114,97,0.13,0.22,0.35,0.13,0.35,0.06,0.21,0.27,0.06,0.27
Facundo Bernal,uy URU,MF,Fluminense,20,2003,15,11,943,10.5,0,0,0,0,0,0,6,0,0.4,0.4,0.1,0.5,3,51,9,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05
Biel,br BRA,"FW,MF",Bahia,22,2001,26,4,904,10.0,5,4,9,5,0,0,2,0,4.5,4.5,3.4,7.9,37,41,100,0.50,0.40,0.90,0.50,0.90,0.45,0.34,0.79,0.45,0.79
Biro,br BRA,"MF,DF",Corinthians,19,2004,3,0,16,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,3,3,0.00,0.00,0.00,0.00,0.00,0.51,0.00,0.51,0.51,0.51
Damián Bobadilla,py PAR,MF,São Paulo,22,2001,18,14,"1,031",11.5,1,0,1,1,0,0,3,0,0.9,0.9,0.8,1.7,7,60,14,0.09,0.00,0.09,0.09,0.09,0.08,0.07,0.14,0.08,0.14
Thiago Borbas,uy URU,FW,Red Bull Bragantino,21,2002,21,9,956,10.6,2,0,2,2,0,0,3,0,2.0,2.0,0.3,2.4,2,12,40,0.19,0.00,0.19,0.19,0.19,0.19,0.03,0.23,0.19,0.23
Breno,br BRA,MF,Corinthians,18,2005,29,22,"1,780",19.8,0,0,0,0,0,0,5,0,1.4,1.4,1.0,2.4,24,118,55,0.00,0.00,0.00,0.00,0.00,0.07,0.05,0.12,0.07,0.12
José Breno,br BRA,MF,Vitória,19,2004,1,0,9,0.1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bruninho,br BRA,"FW,MF",Red Bull Bragantino,20,2003,2,1,79,0.9,0,1,1,0,0,0,0,0,0.2,0.2,0.1,0.2,0,4,7,0.00,1.14,1.14,0.00,1.14,0.18,0.08,0.26,0.18,0.26
Cadu,br BRA,"FW,MF",Atlético Mineiro,19,2004,20,12,"1,008",11.2,3,0,3,3,0,0,1,0,1.9,1.9,0.1,2.1,13,16,65,0.27,0.00,0.27,0.27,0.27,0.17,0.01,0.18,0.17,0.18
Calebe,br BRA,"MF,FW",Fortaleza,23,2000,7,0,127,1.4,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,4,8,12,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.31,0.15,0.31
Lucas Calegari,br BRA,DF,Fluminense,21,2002,2,0,80,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Luan Cândido,br BRA,DF,Red Bull Bragantino,22,2001,26,22,"1,953",21.7,1,0,1,0,1,1,5,0,1.5,0.8,0.1,0.9,7,50,16,0.05,0.00,0.05,0.00,0.00,0.07,0.01,0.08,0.03,0.04
Jan Carlos Hurtado,ve VEN,FW,Atl Goianiense,23,2000,19,9,865,9.6,2,0,2,2,0,0,2,1,1.7,1.7,0.6,2.3,9,15,41,0.21,0.00,0.21,0.21,0.21,0.18,0.06,0.24,0.18,0.24
João Carlos,br BRA,"MF,FW",Criciúma,22,2001,5,0,27,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,5,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.35,0.35,0.35
Gabriel Carvalho,br BRA,"FW,MF",Internacional,16,2007,24,15,"1,301",14.5,1,3,4,1,0,0,3,0,3.2,3.2,4.0,7.2,50,61,168,0.07,0.21,0.28,0.07,0.28,0.22,0.27,0.50,0.22,0.50
Christian,br BRA,"MF,FW",Ath Paranaense,23,2000,24,17,"1,507",16.7,1,0,1,1,0,0,7,0,1.8,1.8,1.8,3.6,15,58,102,0.06,0.00,0.06,0.06,0.06,0.11,0.11,0.22,0.11,0.22
Eliel Chrystian,br BRA,"FW,MF",Cuiabá,21,2003,23,3,510,5.7,2,0,2,2,0,0,2,0,2.2,2.2,0.1,2.3,8,4,30,0.35,0.00,0.35,0.35,0.35,0.39,0.01,0.40,0.39,0.40
Chumbinho,br BRA,"MF,FW",Red Bull Bragantino,20,2003,2,0,12,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,2,0.00,0.00,0.00,0.00,0.00,0.84,0.00,0.84,0.84,0.84
Claudinho,br BRA,DF,Criciúma,23,2000,34,23,"2,047",22.7,2,3,5,2,0,0,3,1,1.1,1.1,3.6,4.7,43,113,101,0.09,0.13,0.22,0.09,0.22,0.05,0.16,0.20,0.05,0.20
Clayton,br BRA,DF,Internacional,23,2000,8,5,535,5.9,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.5,1,15,0,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.09,0.04,0.09
Cleiton,br BRA,DF,Flamengo,20,2003,4,1,98,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
Mateus Cocão,br BRA,MF,Vasco da Gama,21,2002,32,25,"2,156",24.0,2,2,4,2,0,0,9,1,0.7,0.7,1.0,1.7,20,114,38,0.08,0.08,0.17,0.08,0.17,0.03,0.04,0.07,0.03,0.07
Robert Conceição,br BRA,"MF,DF",Atlético Mineiro,20,2003,3,0,22,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,1,4,6,0.00,0.00,0.00,0.00,0.00,0.95,0.75,1.70,0.95,1.70
Alejo Cruz,uy URU,"FW,MF",Atl Goianiense,23,2000,36,22,"2,156",24.0,2,2,4,1,1,1,4,0,2.4,1.7,3.7,5.3,69,115,151,0.08,0.08,0.17,0.04,0.13,0.10,0.15,0.25,0.07,0.22
Tomás Cuello,ar ARG,"FW,MF",Ath Paranaense,23,2000,32,23,"2,010",22.3,3,5,8,3,0,0,3,0,2.8,2.8,4.2,7.0,102,88,188,0.13,0.22,0.36,0.13,0.36,0.13,0.19,0.31,0.13,0.31
Cuiabano,br BRA,DF,Grêmio,20,2003,2,2,163,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,10,5,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
Cuiabano,br BRA,DF,Botafogo (RJ),20,2003,23,16,"1,476",16.4,4,1,5,4,0,0,5,0,1.8,1.8,1.4,3.2,37,40,128,0.24,0.06,0.30,0.24,0.30,0.11,0.08,0.19,0.11,0.19
