Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
Fredrik Oppegard,no NOR,DF,Heracles Almelo,20,2002,15,15,"1,349",15.0,0,1,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07
Alois Oroz,hr CRO,DF,Vitesse,22,2000,27,23,"1,891",21.0,1,0,1,1,0,0,9,0,0.05,0.00,0.05,0.05,0.05
Mohamed Oukhattou,nl NED,MF,Zwolle,18,2005,2,0,32,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Yassin Oukili,nl NED,MF,RKC Waalwijk,22,2001,32,32,"2,789",31.0,5,1,6,5,0,0,6,0,0.16,0.03,0.19,0.16,0.19
Rome-Jayden Owusu-Oduro,nl NED,GK,AZ Alkmaar,19,2004,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Igor Paixão,br BRA,"MF,FW",Feyenoord,23,2000,31,25,"1,924",21.4,9,3,12,9,0,0,3,0,0.42,0.14,0.56,0.42,0.56
Ivor Pandur,hr CRO,GK,Fortuna Sittard,23,2000,16,16,"1,440",16.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Troy Parrott,ie IRL,FW,Excelsior,21,2002,25,18,"1,588",17.6,10,4,14,10,0,0,2,1,0.57,0.23,0.79,0.57,0.79
Deron Payne,nl NED,DF,Volendam,20,2002,15,10,863,9.6,0,1,1,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10
Alexandre Penetra,pt POR,DF,AZ Alkmaar,21,2001,25,19,"1,756",19.5,0,1,1,0,0,0,0,0,0.00,0.05,0.05,0.00,0.05
Ricardo Pepi,us USA,MF,PSV Eindhoven,20,2003,27,1,484,5.4,7,2,9,6,1,1,2,0,1.30,0.37,1.67,1.12,1.49
